"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","388.00","388.15","375.50","387.25","378.00","377.90","378.57","452.35","317.60",2045552,"774,391,491.80",45690
"10-Apr-2018","EQ","379.00","390.50","378.60","377.35","387.65","387.25","386.78","452.35","317.60",3493681,"1,351,284,394.50",49906
"09-Apr-2018","EQ","380.65","382.80","376.35","379.30","376.40","377.35","379.03","452.35","317.60",1571745,"595,731,732.80",32393
"06-Apr-2018","EQ","378.45","383.60","374.65","375.95","381.00","379.30","379.51","452.35","317.60",2037081,"773,100,896.00",23142
"05-Apr-2018","EQ","372.00","379.80","371.50","367.80","377.00","375.95","375.55","452.35","317.60",3648555,"1,370,210,901.20",41802
"04-Apr-2018","EQ","368.00","373.70","363.75","366.40","368.00","367.80","369.06","452.35","317.60",5611445,"2,070,968,762.10",60620
"03-Apr-2018","EQ","368.50","371.00","362.70","369.70","366.50","366.40","365.37","452.35","317.60",2679172,"978,897,422.20",43148
"02-Apr-2018","EQ","356.00","371.90","356.00","354.10","370.00","369.70","364.13","452.35","317.60",2978988,"1,084,740,569.15",76400
"28-Mar-2018","EQ","364.50","364.50","351.05","365.50","356.00","354.10","355.65","452.35","316.80",4766456,"1,695,179,970.75",61035
"27-Mar-2018","EQ","368.15","369.40","361.90","365.15","366.00","365.50","365.72","452.35","316.80",2631162,"962,263,370.95",29134
"26-Mar-2018","EQ","364.40","368.70","351.50","362.40","365.75","365.15","359.89","452.35","316.80",3884338,"1,397,941,891.20",54155
"23-Mar-2018","EQ","355.00","367.00","350.45","358.25","365.90","362.40","356.07","452.35","316.80",4518979,"1,609,055,293.45",56845
"22-Mar-2018","EQ","365.00","365.00","354.10","363.70","358.30","358.25","359.40","452.35","316.80",3443184,"1,237,470,401.05",63535
"21-Mar-2018","EQ","372.90","373.75","362.30","370.00","364.00","363.70","366.74","452.35","316.80",2296120,"842,069,471.10",43985
"20-Mar-2018","EQ","364.30","371.80","360.15","364.30","370.15","370.00","368.06","452.35","316.80",1780257,"655,243,301.80",33292
"19-Mar-2018","EQ","370.00","371.50","355.25","370.50","364.45","364.30","361.82","452.35","316.80",5253759,"1,900,889,018.55",73004
"16-Mar-2018","EQ","377.90","382.25","367.45","382.15","371.50","370.50","372.87","452.35","304.10",4972566,"1,854,099,724.45",69604
"15-Mar-2018","EQ","383.60","386.40","380.30","382.10","381.60","382.15","383.46","452.35","304.10",1818766,"697,421,386.90",24680
"14-Mar-2018","EQ","383.10","384.75","376.85","385.20","383.80","382.10","379.80","452.35","304.10",3616289,"1,373,449,960.80",39696
"13-Mar-2018","EQ","387.00","391.40","381.15","386.60","386.00","385.20","386.99","452.35","304.10",2175696,"841,969,915.85",27859
"12-Mar-2018","EQ","382.00","389.20","377.00","377.90","387.50","386.60","381.95","452.35","304.10",3693431,"1,410,711,407.15",39637
"09-Mar-2018","EQ","392.00","393.65","373.80","387.95","379.90","377.90","383.01","452.35","296.45",5352078,"2,049,907,581.45",78145
"08-Mar-2018","EQ","379.00","393.00","369.70","376.95","389.90","387.95","379.50","452.35","296.45",11040375,"4,189,849,613.40",91084
"07-Mar-2018","EQ","398.95","398.95","372.25","405.25","379.10","376.95","385.83","452.35","296.45",6951930,"2,682,249,153.40",107220
"06-Mar-2018","EQ","406.70","413.75","395.15","403.95","395.60","405.25","407.94","452.35","296.45",3321338,"1,354,890,281.45",58381
"05-Mar-2018","EQ","404.95","411.45","400.10","406.10","404.10","403.95","404.92","452.35","296.45",3665892,"1,484,410,974.75",67844
"01-Mar-2018","EQ","408.35","413.75","405.00","408.35","406.50","406.10","407.99","452.35","291.00",1216685,"496,399,333.55",29972
