"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","2,008.00","2,050.00","2,008.00","2,033.40","2,045.00","2,044.55","2,044.00","2,096.00","765.05",37718,"77,095,532.55",
"08-Apr-2010","EQ","2,050.00","2,059.00","2,008.00","2,044.60","2,030.00","2,033.40","2,037.47","2,096.00","765.05",36729,"74,834,356.45",
"07-Apr-2010","EQ","2,068.80","2,068.80","2,040.00","2,042.90","2,045.00","2,044.60","2,045.71","2,096.00","765.05",24043,"49,184,981.05",
"06-Apr-2010","EQ","2,060.00","2,065.00","2,025.00","2,057.10","2,050.00","2,042.90","2,041.84","2,096.00","765.05",7526,"15,366,915.90",
"05-Apr-2010","EQ","2,042.00","2,091.00","2,020.00","2,021.25","2,057.75","2,057.10","2,056.08","2,096.00","765.05",17786,"36,569,451.60",
"01-Apr-2010","EQ","2,069.00","2,069.00","2,006.05","2,038.85","2,020.00","2,021.25","2,041.95","2,096.00","758.00",34010,"69,446,643.25",
"31-Mar-2010","EQ","2,050.00","2,090.00","2,026.10","2,070.15","2,045.00","2,038.85","2,065.51","2,096.00","758.00",45362,"93,695,738.70",
"30-Mar-2010","EQ","2,021.00","2,080.00","2,020.90","2,034.90","2,068.15","2,070.15","2,068.62","2,096.00","758.00",81778,"169,167,778.25",
"29-Mar-2010","EQ","2,009.00","2,096.00","1,994.85","2,005.85","2,060.00","2,034.90","2,026.25","2,096.00","758.00",156656,"317,424,629.95",
"26-Mar-2010","EQ","1,975.00","2,059.90","1,962.15","1,962.15","1,996.35","2,005.85","1,991.05","2,059.90","735.30",143357,"285,430,714.70",
"25-Mar-2010","EQ","1,960.00","1,985.00","1,960.00","1,968.10","1,969.00","1,962.15","1,964.69","2,031.00","735.30",64809,"127,329,589.35",
"23-Mar-2010","EQ","1,985.00","1,995.50","1,961.40","1,968.55","1,965.00","1,968.10","1,971.75","2,031.00","735.30",24609,"48,522,803.55",
"22-Mar-2010","EQ","1,994.40","2,014.50","1,961.05","1,994.40","1,965.10","1,968.55","1,991.19","2,031.00","735.30",15696,"31,253,755.45",
"19-Mar-2010","EQ","2,000.95","2,023.85","1,985.00","1,994.60","1,995.00","1,994.40","1,999.51","2,031.00","708.10",21883,"43,755,224.30",
"18-Mar-2010","EQ","1,984.90","2,001.00","1,955.00","1,969.40","1,995.00","1,994.60","1,991.80","2,031.00","708.10",205009,"408,336,157.25",
"17-Mar-2010","EQ","1,911.10","1,978.00","1,910.15","1,905.10","1,972.05","1,969.40","1,958.60","2,031.00","708.10",112478,"220,299,244.35",
"16-Mar-2010","EQ","1,897.00","1,990.35","1,875.00","1,897.35","1,892.30","1,905.10","1,897.62","2,031.00","708.10",98759,"187,407,258.55",
"15-Mar-2010","EQ","1,920.00","1,929.00","1,885.00","1,918.15","1,893.50","1,897.35","1,907.59","2,031.00","708.10",15489,"29,546,593.95",
"12-Mar-2010","EQ","1,945.00","1,959.00","1,902.05","1,942.00","1,912.50","1,918.15","1,929.58","2,031.00","700.05",12579,"24,272,158.15",
"11-Mar-2010","EQ","1,853.70","1,958.00","1,853.70","1,939.85","1,950.00","1,942.00","1,933.68","2,031.00","700.05",9563,"18,491,772.50",
"10-Mar-2010","EQ","1,932.35","1,959.45","1,925.00","1,944.70","1,940.00","1,939.85","1,942.26","2,031.00","700.05",34447,"66,905,013.90",
"09-Mar-2010","EQ","1,935.00","1,959.95","1,935.00","1,942.70","1,951.70","1,944.70","1,948.60","2,031.00","700.05",10608,"20,670,723.40",
"08-Mar-2010","EQ","1,980.00","1,980.00","1,937.00","1,962.05","1,941.65","1,942.70","1,952.32","2,031.00","700.05",10828,"21,139,717.70",
"05-Mar-2010","EQ","1,974.00","1,990.00","1,951.50","1,968.20","1,951.50","1,962.05","1,967.87","2,031.00","700.05",15445,"30,393,779.80",
"04-Mar-2010","EQ","1,988.00","1,995.55","1,925.50","1,981.20","1,960.95","1,968.20","1,973.50","2,031.00","700.05",49800,"98,280,159.50",
"03-Mar-2010","EQ","1,879.95","2,000.45","1,865.00","1,869.95","1,965.00","1,981.20","1,924.40","2,031.00","700.05",121308,"233,444,898.80",
"02-Mar-2010","EQ","1,756.00","1,883.05","1,756.00","1,809.95","1,870.00","1,869.95","1,859.53","2,031.00","700.05",28784,"53,524,706.00",
"26-Feb-2010","EQ","1,746.00","1,825.00","1,742.00","1,765.35","1,819.50","1,809.95","1,787.85","2,031.00","700.05",24372,"43,573,518.55",
"25-Feb-2010","EQ","1,751.00","1,774.95","1,712.15","1,761.45","1,760.00","1,765.35","1,756.47","2,031.00","700.05",181235,"318,334,464.40",
"24-Feb-2010","EQ","1,825.00","1,825.00","1,742.50","1,785.20","1,758.00","1,761.45","1,766.44","2,031.00","700.05",72266,"127,653,723.50",
"23-Feb-2010","EQ","1,851.00","1,851.00","1,760.00","1,825.50","1,800.10","1,785.20","1,784.99","2,031.00","700.05",62141,"110,921,087.80",
"22-Feb-2010","EQ","1,875.00","1,879.80","1,820.00","1,859.10","1,825.00","1,825.50","1,840.33","2,031.00","700.05",11995,"22,074,770.00",
"19-Feb-2010","EQ","1,850.05","1,868.00","1,840.10","1,857.85","1,864.00","1,859.10","1,852.73","2,031.00","700.05",7279,"13,485,989.00",
"18-Feb-2010","EQ","1,899.70","1,899.70","1,851.00","1,889.70","1,852.00","1,857.85","1,875.21","2,031.00","700.05",88421,"165,807,738.80",
"17-Feb-2010","EQ","1,920.00","1,927.00","1,878.00","1,912.00","1,885.00","1,889.70","1,896.65","2,031.00","700.05",41459,"78,633,228.30",
"16-Feb-2010","EQ","2,031.00","2,031.00","1,892.65","1,934.50","1,914.00","1,912.00","1,911.72","2,031.00","700.05",23910,"45,709,160.25",
"15-Feb-2010","EQ","1,989.75","1,989.75","1,905.00","1,944.75","1,935.00","1,934.50","1,933.13","2,025.00","700.05",38557,"74,535,833.90",
"11-Feb-2010","EQ","1,993.70","1,999.00","1,930.00","1,979.60","1,940.00","1,944.75","1,959.73","2,025.00","700.05",37162,"72,827,410.25",
"10-Feb-2010","EQ","1,980.00","2,025.00","1,945.00","1,962.70","1,980.00","1,979.60","1,993.61","2,025.00","700.05",51411,"102,493,725.25",
"09-Feb-2010","EQ","1,944.05","1,983.00","1,944.05","1,947.75","1,956.30","1,962.70","1,968.38","1,995.00","700.05",50888,"100,167,043.60",
"08-Feb-2010","EQ","1,960.00","1,985.00","1,945.00","1,965.95","1,948.05","1,947.75","1,955.85","1,995.00","700.05",40737,"79,675,625.60",
"06-Feb-2010","EQ","1,951.95","1,973.75","1,942.05","1,936.25","1,960.05","1,965.95","1,964.80","1,995.00","700.05",7706,"15,140,731.15",
"05-Feb-2010","EQ","1,865.00","1,995.00","1,865.00","1,918.20","1,955.00","1,936.25","1,959.02","1,995.00","700.05",187249,"366,825,139.05",
"04-Feb-2010","EQ","1,914.00","1,925.50","1,885.00","1,914.60","1,925.50","1,918.20","1,909.36","1,935.00","700.05",14869,"28,390,236.55",
