"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2014","EQ","2,017.90","2,028.00","1,990.65","2,022.15","2,000.00","2,007.55","2,005.08","2,195.00","1,680.00",255157,"511,611,129.70",14939
"10-Apr-2014","EQ","2,039.00","2,041.70","2,011.90","2,031.30","2,020.00","2,022.15","2,023.29","2,195.00","1,680.00",219894,"444,909,690.10",23557
"09-Apr-2014","EQ","2,045.00","2,054.00","1,994.90","2,022.60","2,040.00","2,031.30","2,017.99","2,195.00","1,680.00",300812,"607,036,124.20",21806
"07-Apr-2014","EQ","2,006.55","2,057.90","2,006.55","2,028.90","2,027.10","2,022.60","2,033.03","2,195.00","1,680.00",218150,"443,504,676.70",13888
"04-Apr-2014","EQ","2,054.90","2,055.30","2,017.20","2,053.35","2,024.20","2,028.90","2,029.12","2,195.00","1,656.00",297397,"603,455,550.75",23102
"03-Apr-2014","EQ","2,065.00","2,069.00","2,025.00","2,053.60","2,053.00","2,053.35","2,044.79","2,195.00","1,656.00",402747,"823,532,827.40",24527
"02-Apr-2014","EQ","2,073.45","2,080.00","2,025.40","2,065.20","2,047.40","2,053.60","2,058.94","2,195.00","1,656.00",217385,"447,582,534.20",22474
"01-Apr-2014","EQ","2,083.60","2,084.00","2,045.05","2,083.60","2,060.55","2,065.20","2,061.49","2,195.00","1,656.00",129157,"266,255,552.40",9569
"31-Mar-2014","EQ","2,068.70","2,100.00","2,061.40","2,058.00","2,074.20","2,083.60","2,086.80","2,195.00","1,656.00",273254,"570,225,092.80",25220
"28-Mar-2014","EQ","2,080.00","2,096.80","2,049.60","2,072.35","2,066.60","2,058.00","2,071.12","2,195.00","1,656.00",347600,"719,920,929.70",33193
"27-Mar-2014","EQ","2,038.60","2,084.70","2,027.70","2,039.60","2,070.00","2,072.35","2,067.28","2,195.00","1,656.00",500824,"1,035,343,721.65",21710
"26-Mar-2014","EQ","2,026.00","2,058.70","2,021.00","2,014.05","2,040.00","2,039.60","2,040.58","2,195.00","1,656.00",248113,"506,294,025.25",18205
"25-Mar-2014","EQ","2,014.00","2,035.70","2,000.80","2,021.45","2,018.00","2,014.05","2,017.76","2,195.00","1,656.00",233046,"470,231,007.10",13819
"24-Mar-2014","EQ","1,983.20","2,024.70","1,979.75","1,981.10","2,023.00","2,021.45","2,011.44","2,195.00","1,656.00",158949,"319,716,441.75",12415
"22-Mar-2014","EQ","1,979.00","1,994.40","1,975.00","1,977.85","1,985.00","1,981.10","1,982.07","2,195.00","1,656.00",6324,"12,534,604.30",451
"21-Mar-2014","EQ","1,972.90","1,987.45","1,972.00","1,972.90","1,978.00","1,977.85","1,978.71","2,195.00","1,656.00",280359,"554,749,139.90",26153
"20-Mar-2014","EQ","2,012.85","2,014.95","1,968.10","2,008.70","1,977.05","1,972.90","1,988.29","2,195.00","1,656.00",143305,"284,932,151.45",16739
"19-Mar-2014","EQ","2,002.05","2,014.00","1,998.00","1,994.90","2,011.00","2,008.70","2,006.75","2,195.00","1,656.00",325884,"653,968,556.05",20854
"18-Mar-2014","EQ","1,990.00","2,001.00","1,973.05","1,974.30","1,998.00","1,994.90","1,992.09","2,195.00","1,656.00",223972,"446,171,879.20",11852
"14-Mar-2014","EQ","1,973.90","1,990.90","1,955.00","1,966.70","1,973.15","1,974.30","1,975.75","2,195.00","1,656.00",208702,"412,344,005.20",10374
"13-Mar-2014","EQ","1,970.25","2,007.75","1,957.30","1,959.00","1,976.05","1,966.70","1,981.69","2,195.00","1,656.00",162751,"322,521,827.80",9501
