"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","1,760.00","1,806.35","1,755.40","1,749.90","1,778.15","1,778.00","1,773.63","2,160.00","1,258.55",118708,"210,544,125.15",5488
"08-Apr-2016","EQ","1,763.00","1,771.00","1,740.05","1,763.85","1,755.00","1,749.90","1,754.10","2,160.00","1,258.55",127143,"223,021,588.95",1201
"07-Apr-2016","EQ","1,774.95","1,776.80","1,753.20","1,765.45","1,760.05","1,763.85","1,766.86","2,160.00","1,258.55",11308,"19,979,700.05",1221
"06-Apr-2016","EQ","1,741.20","1,783.00","1,741.20","1,748.80","1,769.00","1,765.45","1,768.73","2,160.00","1,258.55",24566,"43,450,679.70",2660
"05-Apr-2016","EQ","1,751.35","1,755.00","1,737.00","1,751.30","1,754.00","1,748.80","1,746.60","2,160.00","1,258.55",27371,"47,806,284.20",1770
"04-Apr-2016","EQ","1,762.00","1,763.95","1,747.50","1,746.75","1,750.00","1,751.30","1,753.60","2,160.00","1,258.55",36360,"63,760,872.30",2360
"01-Apr-2016","EQ","1,712.00","1,764.95","1,712.00","1,711.10","1,746.00","1,746.75","1,743.58","2,160.00","1,258.55",140548,"245,057,206.05",6347
"31-Mar-2016","EQ","1,710.05","1,725.20","1,685.60","1,696.55","1,715.00","1,711.10","1,708.89","2,160.00","1,258.55",97174,"166,059,676.55",5127
"30-Mar-2016","EQ","1,701.00","1,729.00","1,672.80","1,666.90","1,688.00","1,696.55","1,702.29","2,160.00","1,258.55",23998,"40,851,466.15",2175
"29-Mar-2016","EQ","1,675.00","1,697.05","1,652.50","1,684.85","1,669.00","1,666.90","1,669.05","2,160.00","1,258.55",22912,"38,241,372.00",1959
"28-Mar-2016","EQ","1,728.50","1,745.00","1,652.85","1,724.80","1,675.00","1,684.85","1,713.83","2,160.00","1,258.55",47776,"81,879,834.40",3680
"23-Mar-2016","EQ","1,658.30","1,738.00","1,653.00","1,664.55","1,725.90","1,724.80","1,697.38","2,160.00","1,258.55",94970,"161,199,706.00",5149
"22-Mar-2016","EQ","1,659.80","1,675.00","1,646.05","1,649.55","1,655.35","1,664.55","1,661.41","2,160.00","1,258.55",192989,"320,633,178.10",11691
