"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","425.00","435.70","423.25","426.80","425.10","424.60","428.07","445.00","240.40",3363140,"1,439,644,440.80",
"08-Apr-2010","EQ","432.00","435.70","424.10","431.65","425.05","426.80","430.40","445.00","240.40",1328810,"571,913,369.90",
"07-Apr-2010","EQ","411.35","433.30","411.35","417.05","431.45","431.65","428.88","445.00","240.40",2604943,"1,117,196,206.30",
"06-Apr-2010","EQ","418.50","418.85","409.10","417.25","415.50","417.05","413.70","445.00","240.40",982761,"406,565,596.25",
"05-Apr-2010","EQ","412.00","420.00","411.10","410.50","416.80","417.25","415.63","445.00","240.40",1562481,"649,411,648.25",
"01-Apr-2010","EQ","409.00","413.45","407.10","410.60","410.25","410.50","410.29","445.00","229.15",927047,"380,355,079.40",
"31-Mar-2010","EQ","410.00","411.90","400.40","400.40","409.15","410.60","406.32","445.00","229.15",2074631,"842,973,005.95",
"30-Mar-2010","EQ","402.00","402.95","399.00","400.60","399.00","400.40","401.74","445.00","229.15",2828428,"1,136,295,419.60",
"29-Mar-2010","EQ","402.00","402.75","396.20","401.55","402.00","400.60","400.70","445.00","229.15",1899434,"761,109,834.75",
"26-Mar-2010","EQ","402.00","405.80","400.30","401.70","400.75","401.55","401.81","445.00","222.00",2903844,"1,166,806,040.20",
"25-Mar-2010","EQ","408.00","408.00","400.00","407.85","402.00","401.70","401.80","445.00","222.00",4042232,"1,624,149,892.65",
"23-Mar-2010","EQ","409.25","413.00","405.00","407.65","407.00","407.85","407.60","445.00","222.00",972006,"396,188,520.45",
"22-Mar-2010","EQ","415.00","419.80","405.65","414.10","406.30","407.65","413.09","445.00","222.00",905319,"373,979,716.80",
"19-Mar-2010","EQ","417.15","423.50","412.30","418.45","413.00","414.10","417.18","445.00","209.15",750790,"313,216,901.50",
"18-Mar-2010","EQ","422.00","424.40","416.45","420.95","417.00","418.45","418.82","445.00","209.15",422679,"177,025,879.45",
"17-Mar-2010","EQ","414.90","424.75","414.90","414.05","420.00","420.95","420.97","445.00","209.15",555126,"233,690,496.40",
"16-Mar-2010","EQ","409.00","417.00","401.05","411.15","412.10","414.05","414.66","445.00","209.15",589998,"244,646,977.25",
"15-Mar-2010","EQ","416.50","417.95","409.10","419.20","411.35","411.15","412.00","445.00","209.15",685887,"282,584,929.65",
"12-Mar-2010","EQ","418.25","424.60","417.15","417.25","418.95","419.20","421.38","445.00","199.55",1577814,"664,864,738.10",
"11-Mar-2010","EQ","409.00","419.00","406.60","407.40","418.25","417.25","413.68","445.00","199.55",1505117,"622,634,429.00",
"10-Mar-2010","EQ","409.00","410.70","405.15","407.60","407.80","407.40","408.61","445.00","199.55",888884,"363,207,715.65",
"09-Mar-2010","EQ","411.95","413.50","404.55","411.20","406.90","407.60","407.98","445.00","199.55",612036,"249,698,593.25",
"08-Mar-2010","EQ","413.65","417.20","410.05","408.85","411.55","411.20","413.43","445.00","199.55",1713442,"708,396,091.00",
"05-Mar-2010","EQ","405.00","410.90","402.50","400.10","408.90","408.85","407.55","445.00","191.35",1233143,"502,570,485.10",
"04-Mar-2010","EQ","402.00","402.25","395.55","400.10","401.10","400.10","399.19","445.00","191.35",1417461,"565,832,241.95",
"03-Mar-2010","EQ","395.00","402.30","393.15","392.60","399.90","400.10","399.00","445.00","191.35",1185049,"472,829,256.00",
"02-Mar-2010","EQ","403.05","403.55","390.90","398.80","393.00","392.60","393.85","445.00","191.35",1674473,"659,493,394.75",
"26-Feb-2010","EQ","404.80","412.00","396.10","399.15","399.00","398.80","403.58","445.00","191.35",2359740,"952,337,341.75",
