"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","2,030.00","2,072.00","2,030.00","2,017.25","2,062.90","2,056.95","2,056.01","2,079.65","1,036.00",365094,"750,638,691.05",
"08-Apr-2010","EQ","2,035.00","2,060.00","2,006.10","2,038.10","2,024.00","2,017.25","2,034.34","2,079.65","1,036.00",374813,"762,498,322.90",
"07-Apr-2010","EQ","2,058.00","2,075.95","2,020.00","2,039.10","2,046.00","2,038.10","2,049.11","2,079.65","1,036.00",475419,"974,184,141.75",
"06-Apr-2010","EQ","2,050.00","2,078.80","2,028.50","2,038.25","2,035.35","2,039.10","2,045.62","2,079.65","1,036.00",535341,"1,095,106,241.05",
"05-Apr-2010","EQ","1,954.00","2,059.00","1,948.10","1,945.25","2,059.00","2,038.25","2,004.99","2,079.65","1,036.00",607069,"1,217,170,122.40",
"01-Apr-2010","EQ","1,965.00","1,978.80","1,938.15","1,944.40","1,946.00","1,945.25","1,953.63","2,079.65","1,015.25",398203,"777,939,418.45",
"31-Mar-2010","EQ","2,001.00","2,030.00","1,936.00","1,967.35","1,948.90","1,944.40","1,976.03","2,079.65","1,015.25",594801,"1,175,343,318.40",
"30-Mar-2010","EQ","2,048.80","2,057.95","1,961.55","2,006.20","1,965.00","1,967.35","2,011.08","2,079.65","1,015.25",688516,"1,384,661,583.95",
"29-Mar-2010","EQ","2,012.00","2,036.65","2,000.00","2,010.75","2,006.00","2,006.20","2,019.52","2,079.65","1,015.25",336444,"679,455,195.30",
"26-Mar-2010","EQ","2,027.70","2,079.65","1,990.90","2,023.60","2,007.55","2,010.75","2,029.23","2,079.65","990.10",1204017,"2,443,231,269.50",
"25-Mar-2010","EQ","1,920.00","2,058.00","1,920.00","1,938.10","2,040.00","2,023.60","1,985.47","2,058.00","990.10",1211336,"2,405,069,569.30",
"23-Mar-2010","EQ","1,958.80","1,977.55","1,927.00","1,949.95","1,939.05","1,938.10","1,944.49","1,977.90","990.10",261757,"508,984,498.80",
"22-Mar-2010","EQ","1,950.00","1,967.50","1,935.25","1,968.20","1,950.25","1,949.95","1,952.38","1,977.90","990.10",335754,"655,520,765.30",
"19-Mar-2010","EQ","1,949.00","1,977.90","1,935.00","1,934.60","1,966.00","1,968.20","1,963.29","1,977.90","950.00",461442,"905,943,927.05",
"18-Mar-2010","EQ","1,931.50","1,943.70","1,925.00","1,931.50","1,940.00","1,934.60","1,931.44","1,954.00","950.00",324542,"626,834,822.80",
"17-Mar-2010","EQ","1,938.00","1,943.75","1,916.30","1,913.95","1,930.00","1,931.50","1,927.99","1,954.00","950.00",204551,"394,372,476.05",
"16-Mar-2010","EQ","1,910.75","1,939.05","1,905.00","1,910.75","1,911.35","1,913.95","1,916.48","1,954.00","950.00",189726,"363,606,842.20",
"15-Mar-2010","EQ","1,931.00","1,944.70","1,903.20","1,918.55","1,910.65","1,910.75","1,915.38","1,954.00","950.00",373530,"715,450,633.60",
"12-Mar-2010","EQ","1,860.40","1,932.05","1,860.40","1,912.15","1,918.00","1,918.55","1,918.07","1,954.00","922.00",373725,"716,832,189.45",
"11-Mar-2010","EQ","1,941.25","1,944.70","1,901.30","1,939.65","1,908.25","1,912.15","1,911.38","1,954.00","922.00",670880,"1,282,309,469.80",
"10-Mar-2010","EQ","1,889.80","1,954.00","1,878.20","1,875.95","1,954.00","1,939.65","1,922.31","1,954.00","922.00",567857,"1,091,597,128.35",
"09-Mar-2010","EQ","1,901.60","1,918.50","1,868.20","1,913.90","1,876.00","1,875.95","1,879.22","1,927.90","922.00",441606,"829,876,375.95",
"08-Mar-2010","EQ","1,880.00","1,927.90","1,876.00","1,870.60","1,912.85","1,913.90","1,910.81","1,927.90","922.00",686239,"1,311,273,398.35",
"05-Mar-2010","EQ","1,799.00","1,894.70","1,799.00","1,800.40","1,874.00","1,870.60","1,839.06","1,894.70","896.00",360018,"662,095,870.70",
"04-Mar-2010","EQ","1,809.90","1,811.85","1,781.00","1,811.80","1,801.70","1,800.40","1,794.34","1,819.75","896.00",275290,"493,963,360.65",
"03-Mar-2010","EQ","1,810.00","1,819.75","1,795.00","1,794.50","1,811.00","1,811.80","1,803.80","1,819.75","896.00",296134,"534,167,484.35",
"02-Mar-2010","EQ","1,790.00","1,808.00","1,780.00","1,777.65","1,793.00","1,794.50","1,795.40","1,808.70","896.00",407909,"732,358,532.85",
"26-Feb-2010","EQ","1,691.65","1,800.00","1,690.25","1,700.25","1,798.00","1,777.65","1,749.88","1,808.70","890.05",414280,"724,941,734.30",
"25-Feb-2010","EQ","1,675.65","1,713.00","1,643.35","1,672.25","1,700.00","1,700.25","1,670.93","1,808.70","890.05",906439,"1,514,598,131.65",
"24-Feb-2010","EQ","1,688.00","1,689.00","1,652.40","1,693.85","1,676.00","1,672.25","1,669.76","1,808.70","890.05",283000,"472,540,760.60",
"23-Feb-2010","EQ","1,690.00","1,715.00","1,675.60","1,707.25","1,701.00","1,693.85","1,696.10","1,808.70","890.05",325274,"551,696,919.85",
"22-Feb-2010","EQ","1,724.85","1,724.85","1,695.40","1,680.35","1,709.00","1,707.25","1,705.70","1,808.70","890.05",211647,"361,007,046.30",
"19-Feb-2010","EQ","1,671.55","1,698.00","1,659.20","1,703.00","1,681.40","1,680.35","1,678.23","1,808.70","890.05",238997,"401,090,956.40",
"18-Feb-2010","EQ","1,708.70","1,718.00","1,688.20","1,698.40","1,701.90","1,703.00","1,704.05","1,808.70","890.05",230212,"392,292,289.20",
"17-Feb-2010","EQ","1,700.45","1,709.90","1,680.30","1,695.40","1,693.25","1,698.40","1,700.25","1,808.70","890.05",575364,"978,262,794.00",
"16-Feb-2010","EQ","1,714.70","1,714.70","1,677.00","1,704.35","1,701.00","1,695.40","1,695.56","1,808.70","890.05",292129,"495,321,794.65",
"15-Feb-2010","EQ","1,690.00","1,725.00","1,662.50","1,690.95","1,705.00","1,704.35","1,705.56","1,808.70","890.05",747800,"1,275,414,176.40",
"11-Feb-2010","EQ","1,638.00","1,701.00","1,621.00","1,630.65","1,670.00","1,690.95","1,671.51","1,808.70","876.05",769067,"1,285,502,516.60",
"10-Feb-2010","EQ","1,630.00","1,639.00","1,592.00","1,618.30","1,637.00","1,630.65","1,625.12","1,808.70","876.05",867135,"1,409,196,792.60",
"09-Feb-2010","EQ","1,569.40","1,625.00","1,561.30","1,578.25","1,618.50","1,618.30","1,611.69","1,808.70","876.05",632885,"1,020,013,754.10",
"08-Feb-2010","EQ","1,588.70","1,619.90","1,567.20","1,584.35","1,568.00","1,578.25","1,594.37","1,808.70","876.05",286278,"456,433,996.45",
"06-Feb-2010","EQ","1,585.00","1,594.65","1,572.25","1,585.40","1,582.00","1,584.35","1,584.38","1,808.70","861.25",12213,"19,350,093.50",
"05-Feb-2010","EQ","1,575.00","1,595.50","1,522.65","1,600.45","1,578.25","1,585.40","1,580.85","1,808.70","861.25",289159,"457,116,457.85",
"04-Feb-2010","EQ","1,595.00","1,623.70","1,568.60","1,599.60","1,600.00","1,600.45","1,598.91","1,808.70","861.25",193176,"308,871,039.00",
"03-Feb-2010","EQ","1,585.00","1,631.95","1,572.20","1,568.45","1,597.00","1,599.60","1,608.11","1,808.70","861.25",472444,"759,742,817.75",
"02-Feb-2010","EQ","1,599.40","1,605.00","1,550.00","1,580.95","1,582.00","1,568.45","1,569.94","1,808.70","861.25",338167,"530,900,405.70",
"01-Feb-2010","EQ","1,588.70","1,588.70","1,536.30","1,559.00","1,578.80","1,580.95","1,568.96","1,808.70","861.25",209979,"329,448,904.05",
"29-Jan-2010","EQ","1,525.25","1,575.00","1,495.00","1,539.10","1,566.60","1,559.00","1,530.04","1,808.70","835.00",432901,"662,357,154.90",
"28-Jan-2010","EQ","1,565.00","1,571.95","1,522.00","1,550.15","1,533.10","1,539.10","1,544.12","1,808.70","835.00",1502871,"2,320,612,758.45",
"27-Jan-2010","EQ","1,609.80","1,638.50","1,540.25","1,621.45","1,560.30","1,550.15","1,553.02","1,808.70","835.00",790006,"1,226,898,719.80",
"25-Jan-2010","EQ","1,649.00","1,658.70","1,616.00","1,649.40","1,620.00","1,621.45","1,626.30","1,808.70","835.00",299520,"487,108,765.10",
"22-Jan-2010","EQ","1,632.50","1,665.00","1,595.00","1,653.20","1,662.00","1,649.40","1,625.90","1,808.70","817.00",364642,"592,871,445.85",
"21-Jan-2010","EQ","1,675.10","1,692.00","1,645.30","1,688.65","1,646.40","1,653.20","1,665.32","1,808.70","817.00",210985,"351,356,684.95",
"20-Jan-2010","EQ","1,665.00","1,694.00","1,647.70","1,664.10","1,694.00","1,688.65","1,675.64","1,808.70","817.00",347805,"582,796,990.85",
"19-Jan-2010","EQ","1,694.60","1,700.80","1,656.10","1,694.60","1,660.05","1,664.10","1,665.81","1,808.70","817.00",178910,"298,030,954.55",
"18-Jan-2010","EQ","1,616.00","1,697.00","1,601.00","1,625.35","1,693.90","1,694.60","1,671.07","1,808.70","817.00",383077,"640,147,520.20",
"15-Jan-2010","EQ","1,630.00","1,640.00","1,616.00","1,621.30","1,622.10","1,625.35","1,629.16","1,808.70","771.50",215112,"350,450,967.10",
"14-Jan-2010","EQ","1,635.00","1,643.30","1,615.20","1,625.75","1,617.00","1,621.30","1,624.77","1,808.70","771.50",451344,"733,331,953.00",
"13-Jan-2010","EQ","1,640.10","1,661.00","1,607.50","1,644.75","1,627.00","1,625.75","1,627.33","1,808.70","771.50",559327,"910,209,954.45",
"12-Jan-2010","EQ","1,676.40","1,688.80","1,632.30","1,676.40","1,646.10","1,644.75","1,649.56","1,808.70","771.50",381602,"629,476,035.70",
"11-Jan-2010","EQ","1,650.00","1,688.45","1,648.00","1,645.20","1,680.00","1,676.40","1,676.85","1,808.70","771.50",249598,"418,537,557.25",
"08-Jan-2010","EQ","1,659.70","1,667.40","1,616.10","1,653.20","1,659.00","1,645.20","1,636.98","1,808.70","751.25",471781,"772,298,032.90",
"07-Jan-2010","EQ","1,705.00","1,705.00","1,637.00","1,695.40","1,650.00","1,653.20","1,663.97","1,808.70","751.25",433144,"720,738,307.75",
"06-Jan-2010","EQ","1,721.00","1,721.00","1,683.60","1,717.40","1,694.05","1,695.40","1,694.98","1,808.70","751.25",512455,"868,598,775.70",
"05-Jan-2010","EQ","1,723.00","1,730.00","1,711.15","1,712.95","1,715.00","1,717.40","1,716.86","1,808.70","751.25",373950,"642,018,322.30",
"04-Jan-2010","EQ","1,732.90","1,738.50","1,702.30","1,717.70","1,713.95","1,712.95","1,717.78","1,808.70","751.25",333481,"572,845,368.80",
"31-Dec-2009","EQ","1,718.00","1,728.70","1,707.00","1,705.75","1,723.70","1,717.70","1,718.05","1,808.70","751.25",403648,"693,485,994.90",
"30-Dec-2009","EQ","1,743.80","1,749.70","1,701.00","1,743.80","1,705.50","1,705.75","1,708.38","1,808.70","751.25",512936,"876,287,125.45",
"29-Dec-2009","EQ","1,735.00","1,777.10","1,725.00","1,735.40","1,743.75","1,743.80","1,755.80","1,808.70","751.25",411794,"723,027,313.50",
"24-Dec-2009","EQ","1,703.35","1,740.00","1,703.35","1,704.40","1,735.10","1,735.40","1,729.97","1,808.70","751.25",356623,"616,945,871.55",
"23-Dec-2009","EQ","1,705.00","1,719.00","1,692.20","1,698.75","1,697.60","1,704.40","1,706.92","1,808.70","751.25",221057,"377,326,311.20",
"22-Dec-2009","EQ","1,675.00","1,705.00","1,668.10","1,670.10","1,704.00","1,698.75","1,686.81","1,808.70","751.25",274276,"462,651,722.05",
"21-Dec-2009","EQ","1,675.00","1,685.15","1,655.05","1,672.90","1,670.00","1,670.10","1,670.17","1,808.70","751.25",268113,"447,793,220.70",
"18-Dec-2009","EQ","1,688.80","1,696.00","1,660.00","1,664.65","1,678.00","1,672.90","1,676.39","1,808.70","751.25",544518,"912,822,767.00",
"17-Dec-2009","EQ","1,656.90","1,686.00","1,640.00","1,654.30","1,670.00","1,664.65","1,666.24","1,808.70","751.25",189783,"316,223,286.35",
"16-Dec-2009","EQ","1,655.00","1,669.70","1,643.00","1,660.20","1,665.10","1,654.30","1,655.73","1,808.70","751.25",236364,"391,354,163.65",
"15-Dec-2009","EQ","1,695.90","1,697.85","1,652.50","1,684.40","1,666.80","1,660.20","1,676.61","1,808.70","751.25",668912,"1,121,506,398.00",
"14-Dec-2009","EQ","1,673.00","1,697.80","1,662.25","1,670.10","1,687.00","1,684.40","1,686.32","1,808.70","751.25",582489,"982,265,167.80",
"11-Dec-2009","EQ","1,690.00","1,704.70","1,658.50","1,676.40","1,673.00","1,670.10","1,679.13","1,808.70","751.25",190702,"320,212,795.05",
"10-Dec-2009","EQ","1,703.00","1,703.00","1,669.05","1,700.10","1,674.10","1,676.40","1,678.50","1,808.70","751.25",308702,"518,156,288.30",
"09-Dec-2009","EQ","1,665.00","1,713.00","1,662.20","1,671.00","1,703.50","1,700.10","1,699.68","1,808.70","751.25",408864,"694,936,634.80",
"08-Dec-2009","EQ","1,681.00","1,683.90","1,650.05","1,676.90","1,673.00","1,671.00","1,667.12","1,808.70","751.25",276975,"461,750,461.95",
"07-Dec-2009","EQ","1,666.00","1,686.70","1,655.10","1,665.90","1,678.00","1,676.90","1,670.39","1,808.70","751.25",316742,"529,082,986.55",
"04-Dec-2009","EQ","1,692.20","1,699.00","1,650.00","1,693.70","1,674.95","1,665.90","1,671.48","1,808.70","720.05",362922,"606,615,141.85",
"03-Dec-2009","EQ","1,709.00","1,720.00","1,684.00","1,705.65","1,693.40","1,693.70","1,705.02","1,808.70","720.05",306802,"523,103,985.50",
"02-Dec-2009","EQ","1,750.00","1,757.00","1,700.00","1,730.60","1,704.00","1,705.65","1,714.92","1,808.70","720.05",412336,"707,122,940.65",
"01-Dec-2009","EQ","1,733.90","1,752.00","1,722.00","1,725.40","1,738.10","1,730.60","1,734.52","1,808.70","720.05",657781,"1,140,931,556.85",
"30-Nov-2009","EQ","1,758.80","1,775.00","1,719.25","1,747.75","1,720.00","1,725.40","1,742.47","1,808.70","720.05",358105,"623,986,790.55",
"27-Nov-2009","EQ","1,698.00","1,758.70","1,694.00","1,740.50","1,758.70","1,747.75","1,717.20","1,808.70","712.30",417928,"717,667,036.90",
"26-Nov-2009","EQ","1,715.00","1,808.70","1,715.00","1,724.45","1,740.00","1,740.50","1,752.04","1,808.70","712.30",1235974,"2,165,479,907.05",
"25-Nov-2009","EQ","1,690.00","1,733.00","1,680.00","1,689.60","1,732.05","1,724.45","1,717.53","1,774.70","712.30",559819,"961,505,204.10",
"24-Nov-2009","EQ","1,653.00","1,699.00","1,653.00","1,653.50","1,689.10","1,689.60","1,686.67","1,774.70","712.30",719013,"1,212,740,177.05",
"23-Nov-2009","EQ","1,650.00","1,697.00","1,642.65","1,651.80","1,647.30","1,653.50","1,667.85","1,774.70","712.30",421012,"702,183,407.55",
"20-Nov-2009","EQ","1,640.00","1,675.00","1,626.15","1,640.55","1,647.20","1,651.80","1,655.02","1,774.70","691.25",248100,"410,610,932.10",
"19-Nov-2009","EQ","1,675.00","1,697.50","1,630.05","1,666.40","1,637.00","1,640.55","1,665.88","1,774.70","691.25",275347,"458,694,455.80",
"18-Nov-2009","EQ","1,691.10","1,694.90","1,651.00","1,686.40","1,667.00","1,666.40","1,674.41","1,774.70","691.25",236545,"396,073,000.05",
"17-Nov-2009","EQ","1,660.00","1,703.00","1,633.85","1,647.10","1,680.90","1,686.40","1,682.74","1,774.70","691.25",883211,"1,486,217,357.50",
"16-Nov-2009","EQ","1,598.00","1,654.00","1,591.30","1,578.90","1,648.00","1,647.10","1,625.16","1,774.70","691.25",801664,"1,302,835,359.45",
"13-Nov-2009","EQ","1,517.25","1,593.00","1,515.00","1,520.90","1,574.90","1,578.90","1,555.96","1,774.70","691.25",467815,"727,902,317.00",
"12-Nov-2009","EQ","1,520.00","1,535.25","1,502.40","1,513.70","1,521.10","1,520.90","1,520.17","1,774.70","691.25",312112,"474,464,261.20",
"11-Nov-2009","EQ","1,500.00","1,518.80","1,477.00","1,496.85","1,516.00","1,513.70","1,505.36","1,774.70","691.25",331789,"499,460,467.25",
"10-Nov-2009","EQ","1,560.00","1,560.00","1,485.00","1,554.30","1,485.00","1,496.85","1,508.73","1,774.70","691.25",641213,"967,418,012.60",
"09-Nov-2009","EQ","1,515.00","1,565.00","1,515.00","1,529.40","1,557.00","1,554.30","1,548.55","1,774.70","691.25",317369,"491,461,601.65",
"06-Nov-2009","EQ","1,567.00","1,588.00","1,522.00","1,567.80","1,530.00","1,529.40","1,556.00","1,774.70","691.25",395812,"615,883,011.95",
"05-Nov-2009","EQ","1,509.15","1,574.85","1,492.00","1,521.20","1,568.00","1,567.80","1,521.46","1,774.70","691.25",286236,"435,496,354.30",
"04-Nov-2009","EQ","1,518.85","1,535.95","1,460.50","1,511.35","1,525.05","1,521.20","1,509.94","1,774.70","691.25",357350,"539,577,086.40",
"03-Nov-2009","EQ","1,570.00","1,578.95","1,476.05","1,565.75","1,516.00","1,511.35","1,527.37","1,774.70","691.25",772531,"1,179,942,482.30",
"30-Oct-2009","EQ","1,555.00","1,584.00","1,545.55","1,544.85","1,565.00","1,565.75","1,567.92","1,774.70","661.10",278766,"437,082,570.25",
"29-Oct-2009","EQ","1,560.00","1,589.00","1,535.00","1,573.55","1,550.00","1,544.85","1,546.09","1,774.70","661.10",337488,"521,786,683.70",
"28-Oct-2009","EQ","1,580.10","1,591.90","1,560.00","1,587.65","1,584.00","1,573.55","1,568.66","1,774.70","661.10",261529,"410,250,440.45",
"27-Oct-2009","EQ","1,571.25","1,613.80","1,571.25","1,598.50","1,587.50","1,587.65","1,589.49","1,774.70","661.10",413051,"656,540,920.10",
"26-Oct-2009","EQ","1,551.30","1,620.00","1,545.25","1,582.80","1,595.00","1,598.50","1,572.70","1,774.70","661.10",463621,"729,138,067.45",
"23-Oct-2009","EQ","1,601.20","1,626.80","1,551.25","1,595.00","1,585.00","1,582.80","1,597.48","1,774.70","661.10",519513,"829,911,258.80",
"22-Oct-2009","EQ","1,620.00","1,649.00","1,589.00","1,610.45","1,590.05","1,595.00","1,608.91","1,774.70","661.10",707193,"1,137,811,420.40",
"21-Oct-2009","EQ","1,659.90","1,681.80","1,601.35","1,657.80","1,609.20","1,610.45","1,648.94","1,774.70","661.10",379835,"626,326,635.50",
