"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","853.00","867.85","845.10","850.40","865.35","864.30","854.06","950.95","766.40",943737,"806,012,323.55",25458
"08-Apr-2016","EQ","861.00","863.00","845.80","860.00","850.90","850.40","851.05","950.95","766.40",712487,"606,361,877.35",25513
"07-Apr-2016","EQ","870.00","874.85","855.05","871.70","857.60","860.00","865.08","950.95","766.40",848064,"733,644,630.30",28234
"06-Apr-2016","EQ","869.00","872.90","863.00","868.50","870.00","871.70","870.07","950.95","766.40",1041648,"906,304,031.10",39878
"05-Apr-2016","EQ","870.20","882.85","862.30","872.20","864.90","868.50","873.79","950.95","766.40",1096886,"958,444,988.60",38504
"04-Apr-2016","EQ","863.10","874.95","861.30","867.80","870.10","872.20","867.23","950.95","766.40",960124,"832,644,087.95",41454
"01-Apr-2016","EQ","867.10","874.90","856.00","869.50","866.90","867.80","864.45","950.95","766.40",1096484,"947,851,148.35",37265
"31-Mar-2016","EQ","855.50","875.70","855.50","861.65","872.70","869.50","867.86","950.95","766.40",2635929,"2,287,604,878.40",60551
"30-Mar-2016","EQ","862.00","878.95","858.90","861.15","860.30","861.65","869.39","950.95","766.40",1453623,"1,263,761,785.90",49136
"29-Mar-2016","EQ","860.30","871.35","858.60","863.65","859.15","861.15","863.07","950.95","766.40",1389839,"1,199,533,181.75",32987
"28-Mar-2016","EQ","876.00","876.10","860.20","873.60","861.90","863.65","866.26","950.95","766.40",2033190,"1,761,271,326.30",49297
"23-Mar-2016","EQ","870.00","877.35","860.55","870.15","872.70","873.60","869.41","950.95","766.40",1373555,"1,194,180,500.75",50243
"22-Mar-2016","EQ","876.05","880.65","862.40","879.65","866.50","870.15","868.56","950.95","766.40",2024654,"1,758,537,572.55",56896
"21-Mar-2016","EQ","847.10","883.00","847.10","848.35","880.10","879.65","867.22","950.95","766.40",1587554,"1,376,757,019.75",53767
"18-Mar-2016","EQ","850.00","852.00","838.00","849.65","845.45","848.35","843.98","957.25","766.40",1848223,"1,559,864,169.25",38235
"17-Mar-2016","EQ","848.10","855.00","843.00","844.15","845.50","849.65","851.33","957.25","766.40",1970969,"1,677,944,504.85",58260
"16-Mar-2016","EQ","844.90","845.85","831.00","840.80","840.95","844.15","837.68","957.25","766.40",1511400,"1,266,064,848.05",41117
"15-Mar-2016","EQ","852.10","856.80","835.55","857.15","843.75","840.80","843.41","957.25","766.40",1330602,"1,122,247,061.35",55981
"14-Mar-2016","EQ","855.05","860.00","845.00","851.60","855.75","857.15","852.97","957.25","766.40",825367,"704,015,867.65",27708
"11-Mar-2016","EQ","842.00","857.95","831.50","837.55","856.00","851.60","843.53","981.00","766.40",1527676,"1,288,636,091.10",26368
"10-Mar-2016","EQ","837.00","841.00","829.00","839.65","837.00","837.55","832.54","981.00","766.40",1140147,"949,213,358.25",28735
"09-Mar-2016","EQ","826.55","843.90","826.55","826.25","842.20","839.65","833.36","981.00","766.40",1929618,"1,608,060,264.20",43961
"08-Mar-2016","EQ","848.00","848.00","824.00","848.75","825.10","826.25","828.53","981.00","766.40",1342346,"1,112,169,581.60",42788
"04-Mar-2016","EQ","848.50","855.90","841.45","848.90","849.00","848.75","849.48","981.00","766.40",1331537,"1,131,115,325.75",40809
"03-Mar-2016","EQ","855.50","856.10","845.75","849.25","848.00","848.90","849.65","981.00","766.40",746384,"634,166,017.90",33215
"02-Mar-2016","EQ","830.00","855.00","830.00","824.15","849.50","849.25","847.80","981.00","766.40",1221727,"1,035,777,455.15",41061
"01-Mar-2016","EQ","829.85","829.85","818.10","830.40","825.50","824.15","825.04","981.00","766.40",1777318,"1,466,359,446.45",58782
"29-Feb-2016","EQ","851.00","851.70","823.50","849.90","826.00","830.40","835.80","981.00","766.40",1974971,"1,650,675,085.40",45736
"26-Feb-2016","EQ","848.00","852.65","841.10","842.80","847.00","849.90","847.80","981.00","766.40",1191495,"1,010,147,503.20",41008
"25-Feb-2016","EQ","837.70","846.20","832.40","836.75","844.00","842.80","840.72","981.00","766.40",859877,"722,916,462.35",45439
"24-Feb-2016","EQ","836.90","844.90","828.20","836.85","839.00","836.75","837.31","981.00","766.40",1062120,"889,322,244.65",73079
"23-Feb-2016","EQ","858.45","858.45","834.20","861.65","834.50","836.85","841.61","981.00","766.40",590731,"497,162,562.80",27570
"22-Feb-2016","EQ","827.00","866.00","826.35","827.60","858.00","861.65","853.64","981.00","766.40",1883688,"1,607,986,156.95",67140
"19-Feb-2016","EQ","831.85","831.85","813.45","827.40","827.50","827.60","822.51","981.00","766.40",620200,"510,118,293.50",32127
"18-Feb-2016","EQ","814.05","830.50","812.50","812.55","825.00","827.40","823.65","981.00","766.40",1179011,"971,095,929.25",43952
"17-Feb-2016","EQ","800.50","814.00","789.75","803.20","811.50","812.55","805.23","981.00","766.40",783633,"631,003,196.70",25458
