"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","939.00","962.00","936.50","937.00","958.60","960.80","951.08","989.30","784.00",921823,"876,723,074.85",23394
"08-Apr-2016","EQ","940.00","946.80","935.00","939.60","937.75","937.00","940.51","989.30","784.00",1035958,"974,326,917.55",71335
"07-Apr-2016","EQ","955.00","958.95","937.50","955.40","938.95","939.60","947.87","989.30","784.00",865013,"819,921,190.65",54183
"06-Apr-2016","EQ","951.20","959.10","947.05","951.30","956.50","955.40","954.62","989.30","784.00",1055612,"1,007,704,805.30",23901
"05-Apr-2016","EQ","959.80","964.00","946.40","961.30","947.20","951.30","955.68","989.30","784.00",1278350,"1,221,692,668.80",34832
"04-Apr-2016","EQ","961.30","970.00","956.00","961.30","960.00","961.30","963.42","989.30","784.00",1501960,"1,447,022,731.40",37936
"01-Apr-2016","EQ","966.65","969.00","950.75","967.60","961.00","961.30","961.21","989.30","784.00",933728,"897,507,868.75",42793
"31-Mar-2016","EQ","946.20","970.00","936.60","946.70","966.35","967.60","963.13","989.30","784.00",2973760,"2,864,108,416.40",79748
"30-Mar-2016","EQ","939.00","948.80","935.50","928.05","946.00","946.70","941.62","989.30","784.00",1817471,"1,711,373,856.70",55189
"29-Mar-2016","EQ","917.90","930.50","912.80","914.80","930.00","928.05","926.07","989.30","784.00",1120607,"1,037,762,323.85",25801
"28-Mar-2016","EQ","927.00","939.00","911.65","928.05","921.00","914.80","917.17","989.30","784.00",4743485,"4,350,583,179.60",28692
"23-Mar-2016","EQ","929.00","934.50","925.00","928.00","926.80","928.05","930.14","989.30","784.00",1426779,"1,327,109,486.50",38506
"22-Mar-2016","EQ","932.40","937.00","922.70","932.20","929.50","928.00","928.32","989.30","784.00",1462833,"1,357,976,456.25",30003
"21-Mar-2016","EQ","930.00","936.50","922.80","929.00","931.65","932.20","930.88","989.30","784.00",1120071,"1,042,647,777.75",30177
"18-Mar-2016","EQ","911.55","934.75","903.25","912.55","930.00","929.00","922.00","989.30","784.00",1678210,"1,547,310,159.75",34627
"17-Mar-2016","EQ","926.50","928.00","901.35","915.65","904.80","912.55","916.02","989.30","784.00",2374275,"2,174,889,332.70",47056
"16-Mar-2016","EQ","921.80","927.00","909.30","918.40","917.90","915.65","916.40","989.30","784.00",1558572,"1,428,281,205.65",36106
"15-Mar-2016","EQ","921.90","931.95","916.80","921.10","917.70","918.40","923.68","989.30","784.00",1027959,"949,509,935.50",19063
"14-Mar-2016","EQ","929.00","932.00","918.10","926.70","919.70","921.10","923.48","989.30","784.00",1238350,"1,143,586,178.35",28155
"11-Mar-2016","EQ","921.05","933.15","918.05","927.25","923.50","926.70","926.03","989.30","784.00",1436095,"1,329,874,201.85",27885
"10-Mar-2016","EQ","934.00","935.25","919.00","934.45","927.60","927.25","929.64","989.30","784.00",1128913,"1,049,488,196.50",20459
"09-Mar-2016","EQ","913.00","937.45","912.25","921.05","933.00","934.45","928.88","989.30","784.00",1631962,"1,515,895,407.90",58576
"08-Mar-2016","EQ","916.00","927.55","904.00","915.90","921.00","921.05","918.83","989.30","784.00",1879422,"1,726,860,123.40",115253
"04-Mar-2016","EQ","898.80","921.30","880.95","895.75","920.00","915.90","902.64","989.30","784.00",1327247,"1,198,026,185.85",71166
"03-Mar-2016","EQ","885.00","898.10","884.25","882.60","897.95","895.75","892.05","989.30","784.00",1973901,"1,760,821,833.10",48106
"02-Mar-2016","EQ","874.90","896.50","871.00","860.80","886.50","882.60","888.16","989.30","784.00",2349698,"2,086,914,854.80",67076
"01-Mar-2016","EQ","837.00","867.60","834.00","830.00","858.35","860.80","857.13","989.30","784.00",1330369,"1,140,296,801.90",79309
"29-Feb-2016","EQ","817.50","839.45","802.00","816.35","836.10","830.00","814.49","989.30","784.00",3045853,"2,480,808,161.75",64318
"26-Feb-2016","EQ","815.00","822.50","813.20","807.75","816.50","816.35","816.49","989.30","784.00",1045114,"853,324,485.30",39674
"25-Feb-2016","EQ","822.00","823.95","804.75","821.90","808.20","807.75","810.82","989.30","784.00",1480299,"1,200,253,021.65",33022
"24-Feb-2016","EQ","835.65","838.00","818.90","839.65","821.00","821.90","826.43","989.30","784.00",1034245,"854,733,676.90",72255
"23-Feb-2016","EQ","842.00","845.55","830.75","844.60","841.90","839.65","837.57","989.30","784.00",1908481,"1,598,484,285.95",99714
