"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2014","EQ","3,210.00","3,255.60","3,165.00","3,201.20","3,237.95","3,235.15","3,202.00","3,849.95","2,186.00",2334792,"7,476,007,910.45",124553
"10-Apr-2014","EQ","3,254.50","3,257.75","3,186.15","3,254.55","3,199.00","3,201.20","3,211.37","3,849.95","2,186.00",2657905,"8,535,512,792.85",71570
"09-Apr-2014","EQ","3,281.05","3,309.80","3,230.50","3,293.40","3,250.45","3,254.55","3,251.93","3,849.95","2,186.00",1333085,"4,335,099,174.20",115036
"07-Apr-2014","EQ","3,298.00","3,314.45","3,256.00","3,316.05","3,288.95","3,293.40","3,285.07","3,849.95","2,186.00",887193,"2,914,489,258.05",56028
"04-Apr-2014","EQ","3,351.00","3,356.00","3,306.10","3,338.15","3,309.00","3,316.05","3,332.80","3,849.95","2,186.00",490698,"1,635,395,922.80",42189
"03-Apr-2014","EQ","3,339.50","3,348.00","3,319.05","3,322.05","3,336.10","3,338.15","3,333.91","3,849.95","2,186.00",587527,"1,958,759,475.55",68049
"02-Apr-2014","EQ","3,348.80","3,350.00","3,310.50","3,313.95","3,323.25","3,322.05","3,335.00","3,849.95","2,186.00",705550,"2,353,012,163.50",74225
"01-Apr-2014","EQ","3,283.05","3,325.00","3,275.00","3,282.80","3,314.00","3,313.95","3,309.76","3,849.95","2,186.00",1078544,"3,569,724,436.95",97887
"31-Mar-2014","EQ","3,285.30","3,304.95","3,230.05","3,262.60","3,287.00","3,282.80","3,267.31","3,849.95","2,186.00",1147116,"3,747,983,271.70",101552
"28-Mar-2014","EQ","3,240.10","3,279.00","3,227.30","3,231.05","3,255.00","3,262.60","3,254.10","3,849.95","2,186.00",893353,"2,907,061,197.85",66210
"27-Mar-2014","EQ","3,248.00","3,262.90","3,215.95","3,248.90","3,230.35","3,231.05","3,236.02","3,849.95","2,186.00",1699921,"5,500,978,550.65",57445
"26-Mar-2014","EQ","3,260.00","3,268.95","3,230.60","3,254.40","3,246.00","3,248.90","3,254.18","3,849.95","2,186.00",1057321,"3,440,709,905.65",66197
"25-Mar-2014","EQ","3,248.00","3,279.70","3,246.00","3,275.80","3,251.00","3,254.40","3,262.19","3,849.95","2,186.00",943508,"3,077,903,656.15",77162
"24-Mar-2014","EQ","3,272.20","3,318.45","3,270.00","3,296.05","3,275.60","3,275.80","3,281.14","3,849.95","2,186.00",1020043,"3,346,904,364.00",94384
"22-Mar-2014","EQ","3,294.00","3,313.80","3,281.20","3,305.65","3,294.00","3,296.05","3,298.25","3,849.95","2,186.00",51669,"170,417,244.20",3151
"21-Mar-2014","EQ","3,330.00","3,338.00","3,270.50","3,303.05","3,312.00","3,305.65","3,300.59","3,849.95","2,186.00",1547540,"5,107,797,719.55",76457
"20-Mar-2014","EQ","3,270.00","3,349.50","3,270.00","3,271.75","3,303.10","3,303.05","3,315.04","3,849.95","2,186.00",1002879,"3,324,587,291.30",57561
"19-Mar-2014","EQ","3,350.00","3,357.85","3,238.75","3,350.55","3,271.25","3,271.75","3,271.96","3,849.95","2,186.00",1972231,"6,453,064,648.60",143832
"18-Mar-2014","EQ","3,400.00","3,411.90","3,340.00","3,394.15","3,344.00","3,350.55","3,372.61","3,849.95","2,186.00",1475539,"4,976,424,867.70",104770
"14-Mar-2014","EQ","3,340.00","3,403.90","3,335.05","3,357.60","3,390.00","3,394.15","3,382.39","3,849.95","2,186.00",1395943,"4,721,627,215.05",95242
"13-Mar-2014","EQ","3,420.00","3,439.90","3,340.00","3,671.30","3,361.00","3,357.60","3,385.34","3,849.95","2,186.00",5098860,"17,261,392,183.30",256451
"12-Mar-2014","EQ","3,673.40","3,703.35","3,652.00","3,675.35","3,674.00","3,671.30","3,670.07","3,849.95","2,186.00",492513,"1,807,558,196.55",45369
"11-Mar-2014","EQ","3,653.00","3,708.90","3,631.05","3,671.60","3,676.20","3,675.35","3,677.62","3,849.95","2,186.00",515534,"1,895,936,686.85",35319
"10-Mar-2014","EQ","3,729.70","3,729.70","3,645.30","3,740.30","3,680.00","3,671.60","3,672.18","3,849.95","2,186.00",929059,"3,411,673,945.85",64998
"07-Mar-2014","EQ","3,827.00","3,834.00","3,708.30","3,831.90","3,740.00","3,740.30","3,751.88","3,849.95","2,186.00",1884093,"7,068,894,064.20",99935
"06-Mar-2014","EQ","3,838.00","3,849.95","3,817.35","3,821.70","3,837.95","3,831.90","3,829.70","3,849.95","2,186.00",778289,"2,980,613,527.35",65047
"05-Mar-2014","EQ","3,827.90","3,844.40","3,809.90","3,799.55","3,828.00","3,821.70","3,828.50","3,849.95","2,186.00",617938,"2,365,776,020.20",48641
"04-Mar-2014","EQ","3,770.00","3,824.45","3,761.90","3,798.25","3,799.00","3,799.55","3,798.75","3,849.95","2,186.00",867239,"3,294,424,418.00",49982
"03-Mar-2014","EQ","3,825.00","3,849.95","3,791.95","3,824.85","3,795.00","3,798.25","3,812.78","3,849.95","2,186.00",900522,"3,433,492,207.10",55090
"28-Feb-2014","EQ","3,761.10","3,837.15","3,761.10","3,807.50","3,828.65","3,824.85","3,812.58","3,837.15","2,186.00",1229937,"4,689,238,736.65",76621
"26-Feb-2014","EQ","3,780.00","3,817.80","3,772.10","3,782.90","3,817.00","3,807.50","3,800.42","3,817.80","2,186.00",919021,"3,492,666,508.25",48908
"25-Feb-2014","EQ","3,755.00","3,792.10","3,755.00","3,749.90","3,784.00","3,782.90","3,782.72","3,799.00","2,186.00",1012439,"3,829,772,494.25",33909
"24-Feb-2014","EQ","3,746.00","3,753.70","3,730.00","3,750.70","3,751.50","3,749.90","3,746.04","3,799.00","2,186.00",544701,"2,040,472,153.45",38487
"21-Feb-2014","EQ","3,736.00","3,755.40","3,727.25","3,711.25","3,754.95","3,750.70","3,741.75","3,799.00","2,186.00",689748,"2,580,864,424.50",61267
