"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2014","EQ","277.10","280.70","271.05","277.20","271.70","272.10","273.98","320.60","186.00",693144,"189,910,520.30",9377
"10-Apr-2014","EQ","281.05","282.40","274.10","280.90","276.50","277.20","276.51","320.60","186.00",1255849,"347,258,827.30",12131
"09-Apr-2014","EQ","275.00","282.20","275.00","274.25","280.80","280.90","278.30","320.60","186.00",767963,"213,724,363.90",15712
"07-Apr-2014","EQ","283.00","286.00","272.10","281.60","274.40","274.25","277.01","320.60","186.00",850960,"235,727,483.45",11582
"04-Apr-2014","EQ","268.10","284.75","264.30","273.45","281.60","281.60","272.45","320.60","186.00",4201817,"1,144,794,604.25",26348
"03-Apr-2014","EQ","277.00","278.75","270.00","276.90","273.00","273.45","272.56","320.60","186.00",798130,"217,536,229.15",27876
"02-Apr-2014","EQ","274.30","279.45","273.65","273.95","279.10","276.90","276.43","320.60","186.00",459902,"127,128,452.05",7179
"01-Apr-2014","EQ","280.70","283.90","272.65","281.65","273.40","273.95","277.90","320.60","186.00",464186,"128,998,493.55",9033
"31-Mar-2014","EQ","276.00","285.00","275.05","275.05","281.70","281.65","280.07","320.60","186.00",511510,"143,259,658.25",16419
"28-Mar-2014","EQ","271.90","278.00","270.00","270.00","277.10","275.05","273.34","320.60","186.00",391189,"106,927,771.65",13227
"27-Mar-2014","EQ","260.90","274.40","260.50","263.15","268.80","270.00","270.64","320.60","186.00",1364135,"369,184,382.25",18561
"26-Mar-2014","EQ","261.75","267.70","260.60","261.75","260.60","263.15","264.35","320.60","186.00",576046,"152,275,284.20",10734
"25-Mar-2014","EQ","255.00","263.60","251.55","255.15","263.60","261.75","259.38","320.60","186.00",1616275,"419,222,445.30",23903
"24-Mar-2014","EQ","245.35","256.00","243.75","246.00","255.00","255.15","249.85","320.60","186.00",1503471,"375,647,488.45",23419
"22-Mar-2014","EQ","245.00","249.90","245.00","242.10","246.20","246.00","246.50","320.60","186.00",97044,"23,921,796.40",2107
"21-Mar-2014","EQ","250.50","253.00","241.00","253.10","244.95","242.10","245.13","320.60","186.00",1638115,"401,558,929.80",32562
"20-Mar-2014","EQ","255.00","258.80","249.10","261.25","253.25","253.10","253.77","320.60","186.00",1491910,"378,606,167.40",23327
"19-Mar-2014","EQ","270.00","271.70","259.05","268.30","260.10","261.25","264.60","320.60","186.00",892092,"236,049,820.40",14603
"18-Mar-2014","EQ","270.50","275.00","266.85","269.00","267.00","268.30","271.37","320.60","186.00",556520,"151,023,895.80",10201
"14-Mar-2014","EQ","276.00","282.00","265.35","276.00","269.00","269.00","272.36","320.60","186.00",1029559,"280,414,637.60",18471
"13-Mar-2014","EQ","264.00","289.50","260.00","264.80","276.50","276.00","279.73","320.60","186.00",2007190,"561,478,837.05",30433
"12-Mar-2014","EQ","269.05","269.05","261.00","269.90","265.00","264.80","264.51","320.60","186.00",288389,"76,282,510.90",9575
"11-Mar-2014","EQ","270.00","275.00","269.00","268.75","270.25","269.90","270.83","320.60","186.00",752580,"203,819,259.75",17784
"10-Mar-2014","EQ","267.00","273.45","266.00","267.25","268.80","268.75","269.67","320.60","186.00",835533,"225,319,529.30",8933
"07-Mar-2014","EQ","265.00","270.80","260.10","264.45","265.50","267.25","266.04","320.60","186.00",844606,"224,698,337.35",13616
"06-Mar-2014","EQ","257.00","266.15","247.90","255.20","265.90","264.45","256.61","320.60","186.00",2270824,"582,715,779.40",33598
