"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","315.95","318.40","310.55","311.35","311.80","312.20","314.99","320.45","184.10",6847386,"2,156,870,064.60",54405
"10-Apr-2018","EQ","312.90","314.75","307.05","309.40","311.80","311.35","311.81","320.45","184.10",3478934,"1,084,770,634.35",31858
"09-Apr-2018","EQ","308.00","313.00","306.70","308.20","309.40","309.40","310.44","320.45","184.10",3191991,"990,925,242.10",28002
"06-Apr-2018","EQ","305.50","309.30","304.50","308.40","307.80","308.20","306.74","320.45","184.10",2787944,"855,166,475.70",18018
"05-Apr-2018","EQ","301.05","309.35","300.60","295.85","307.90","308.40","305.76","320.45","184.10",4210195,"1,287,328,774.60",34593
"04-Apr-2018","EQ","304.50","307.25","293.65","303.05","295.50","295.85","300.99","320.45","184.10",5561514,"1,673,952,272.75",40002
"03-Apr-2018","EQ","294.95","304.55","292.30","296.55","304.10","303.05","300.17","320.45","184.10",5214588,"1,565,247,245.55",48138
"02-Apr-2018","EQ","290.00","297.45","288.25","288.15","296.55","296.55","292.56","320.45","184.10",2582307,"755,476,098.05",32673
"28-Mar-2018","EQ","296.90","298.20","286.40","298.85","287.40","288.15","291.87","320.45","177.70",5122171,"1,494,991,875.55",36602
"27-Mar-2018","EQ","299.45","300.00","295.10","293.90","299.75","298.85","298.14","320.45","177.70",4209223,"1,254,955,606.95",34659
"26-Mar-2018","EQ","286.00","296.00","285.00","286.00","295.00","293.90","289.61","320.45","177.70",3302313,"956,391,542.45",37017
"23-Mar-2018","EQ","279.90","288.10","276.35","286.00","286.90","286.00","281.38","320.45","177.70",6571245,"1,849,029,389.10",33651
"22-Mar-2018","EQ","288.00","290.90","284.85","288.40","285.50","286.00","287.97","320.45","177.70",3731255,"1,074,491,007.30",37883
"21-Mar-2018","EQ","288.75","291.30","285.25","285.50","287.40","288.40","288.28","320.45","177.70",3943743,"1,136,918,264.65",29940
"20-Mar-2018","EQ","280.10","288.75","279.65","283.60","285.35","285.50","285.68","320.45","177.70",5586853,"1,596,066,938.15",44457
"19-Mar-2018","EQ","290.25","290.25","280.05","290.25","284.30","283.60","283.64","320.45","177.70",3716523,"1,054,169,111.05",21641
"16-Mar-2018","EQ","295.00","295.00","288.80","295.15","289.95","290.25","291.22","320.45","177.50",7106321,"2,069,528,359.70",55425
"15-Mar-2018","EQ","299.80","300.95","294.10","300.45","294.80","295.15","296.71","320.45","177.50",3721114,"1,104,098,570.40",30576
"14-Mar-2018","EQ","300.20","303.80","298.20","303.50","299.70","300.45","301.14","320.45","177.50",3032723,"913,288,994.80",22606
"13-Mar-2018","EQ","298.80","304.60","295.80","297.85","303.50","303.50","300.34","320.45","177.50",4161207,"1,249,787,517.40",36318
"12-Mar-2018","EQ","295.20","299.90","291.80","291.95","299.10","297.85","295.49","320.45","177.50",4186325,"1,237,013,734.70",32295
"09-Mar-2018","EQ","291.00","294.20","284.70","289.25","292.80","291.95","290.53","320.45","175.15",8084115,"2,348,699,967.40",40389
"08-Mar-2018","EQ","294.00","296.30","284.20","289.50","289.50","289.25","288.99","320.45","175.15",5748695,"1,661,307,446.90",36826
"07-Mar-2018","EQ","293.00","293.80","286.15","293.50","289.80","289.50","289.72","320.45","175.15",7208335,"2,088,420,772.75",41212
"06-Mar-2018","EQ","298.70","301.90","292.10","291.65","293.35","293.50","296.64","320.45","175.15",9755916,"2,893,973,893.35",73016
"05-Mar-2018","EQ","299.40","300.10","289.00","305.50","292.70","291.65","293.13","320.45","175.15",9282086,"2,720,879,363.05",73914
"01-Mar-2018","EQ","315.00","317.80","303.00","312.20","304.15","305.50","311.42","320.45","175.15",6417443,"1,998,548,229.40",43680
"28-Feb-2018","EQ","313.30","315.50","310.35","318.10","311.50","312.20","312.73","320.45","175.15",6391843,"1,998,895,651.20",51823
"27-Feb-2018","EQ","319.00","320.45","314.25","316.10","316.50","318.10","317.54","320.45","175.15",6081243,"1,931,045,740.20",47069
"26-Feb-2018","EQ","310.75","316.90","308.45","306.95","316.00","316.10","312.25","316.90","175.15",5314911,"1,659,594,154.25",37278
