"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2014","EQ","795.20","808.00","792.00","803.25","804.90","805.65","801.27","812.00","588.00",780936,"625,743,572.90",27765
"10-Apr-2014","EQ","782.55","812.00","780.25","784.55","800.00","803.25","798.66","812.00","588.00",1224427,"977,900,858.20",31109
"09-Apr-2014","EQ","774.80","785.00","767.15","769.45","785.00","784.55","776.67","807.35","588.00",1044819,"811,478,915.90",35786
"07-Apr-2014","EQ","757.00","772.00","752.90","755.10","767.50","769.45","762.17","807.35","588.00",846392,"645,098,534.00",29598
"04-Apr-2014","EQ","752.20","761.00","750.00","759.80","753.50","755.10","755.50","807.35","588.00",509684,"385,065,967.00",19275
"03-Apr-2014","EQ","771.30","771.80","755.55","769.55","760.40","759.80","760.40","807.35","588.00",754872,"574,002,639.00",27089
"02-Apr-2014","EQ","768.00","773.30","758.95","763.70","772.00","769.55","765.14","807.35","588.00",1148295,"878,604,605.60",23411
"01-Apr-2014","EQ","781.50","782.10","752.00","781.05","763.00","763.70","765.07","807.35","588.00",804588,"615,562,822.45",43744
"31-Mar-2014","EQ","780.30","784.70","768.30","778.00","780.00","781.05","778.40","807.35","588.00",762073,"593,195,552.35",34041
"28-Mar-2014","EQ","776.70","788.00","767.00","771.90","780.30","778.00","776.06","807.35","588.00",1097615,"851,816,085.10",28579
"27-Mar-2014","EQ","771.60","779.95","761.00","771.55","767.60","771.90","770.93","807.35","588.00",1420067,"1,094,776,639.75",35163
"26-Mar-2014","EQ","775.00","779.90","763.35","772.65","769.80","771.55","772.19","807.35","588.00",859268,"663,514,317.85",44521
"25-Mar-2014","EQ","765.00","777.45","765.00","765.55","773.50","772.65","770.82","807.35","588.00",828786,"638,842,564.55",24416
"24-Mar-2014","EQ","744.30","769.85","744.30","741.25","769.85","765.55","762.39","807.35","588.00",913587,"696,507,796.50",32030
"22-Mar-2014","EQ","746.00","749.55","737.20","744.10","743.00","741.25","740.72","807.35","588.00",45351,"33,592,455.95",1457
"21-Mar-2014","EQ","753.50","755.00","738.35","747.25","741.40","744.10","745.24","807.35","588.00",1018554,"759,066,392.30",30188
"20-Mar-2014","EQ","765.00","765.00","742.00","762.40","750.00","747.25","750.47","807.35","588.00",813158,"610,247,184.90",17229
"19-Mar-2014","EQ","767.65","769.75","756.75","765.30","764.00","762.40","761.74","807.35","588.00",569588,"433,879,261.65",27896
"18-Mar-2014","EQ","757.40","775.00","757.40","755.95","765.00","765.30","763.90","807.35","588.00",831145,"634,912,020.15",19317
"14-Mar-2014","EQ","756.65","761.40","733.00","764.35","756.75","755.95","746.89","807.35","588.00",803453,"600,092,450.80",24920
"13-Mar-2014","EQ","745.00","776.65","743.10","744.85","763.25","764.35","767.54","807.35","588.00",1001207,"768,467,530.75",27683
"12-Mar-2014","EQ","745.25","752.70","735.05","744.20","743.10","744.85","744.70","807.35","588.00",689681,"513,603,430.80",32309
"11-Mar-2014","EQ","755.80","757.65","734.50","752.40","749.05","744.20","744.86","807.35","588.00",722103,"537,865,698.10",23404
"10-Mar-2014","EQ","710.00","755.00","700.35","711.55","753.00","752.40","736.90","807.35","588.00",1474855,"1,086,827,794.05",40349
"07-Mar-2014","EQ","697.70","717.50","691.35","687.35","712.00","711.55","706.39","807.35","588.00",1856207,"1,311,197,506.05",45895
"06-Mar-2014","EQ","683.00","691.45","678.00","680.80","690.40","687.35","685.54","807.35","588.00",614541,"421,291,824.85",26901
"05-Mar-2014","EQ","681.00","684.20","670.60","676.70","681.00","680.80","678.45","807.35","588.00",715217,"485,238,550.65",44345
"04-Mar-2014","EQ","671.00","678.90","665.45","669.95","676.30","676.70","674.26","807.35","588.00",689246,"464,728,532.10",18651
"03-Mar-2014","EQ","682.00","692.65","668.00","684.50","669.45","669.95","680.91","807.35","588.00",450227,"306,562,464.70",24008
"28-Feb-2014","EQ","685.40","694.00","675.95","685.40","684.30","684.50","684.07","807.35","588.00",932185,"637,681,366.25",24723
"26-Feb-2014","EQ","675.10","690.90","675.10","675.75","685.50","685.40","686.55","807.35","588.00",755679,"518,811,334.15",31340
"25-Feb-2014","EQ","680.30","683.40","672.15","677.60","674.95","675.75","677.66","807.35","588.00",437969,"296,795,816.30",28972
"24-Feb-2014","EQ","668.10","680.85","662.00","672.05","679.50","677.60","671.18","807.35","588.00",737179,"494,777,770.55",25838
"21-Feb-2014","EQ","670.00","677.80","664.50","669.75","668.95","672.05","671.36","807.35","588.00",476116,"319,646,276.25",28436
"20-Feb-2014","EQ","681.70","682.90","666.75","685.90","669.20","669.75","672.70","807.35","588.00",569856,"383,341,674.00",29604
"19-Feb-2014","EQ","680.00","688.40","670.50","680.30","688.00","685.90","679.92","807.35","588.00",1117922,"760,095,593.30",28335
"18-Feb-2014","EQ","651.00","683.00","648.05","650.75","680.95","680.30","670.57","807.35","588.00",1066159,"714,938,915.30",34876
"17-Feb-2014","EQ","647.20","653.35","643.10","646.45","653.00","650.75","648.27","807.35","588.00",463833,"300,691,029.00",22635
"14-Feb-2014","EQ","638.00","653.30","630.50","636.80","647.00","646.45","644.41","807.35","588.00",802791,"517,324,246.25",19271
"13-Feb-2014","EQ","649.00","654.10","632.50","649.55","634.40","636.80","641.83","807.35","588.00",389287,"249,854,910.45",18894
"12-Feb-2014","EQ","650.00","656.30","644.10","647.25","648.10","649.55","651.95","807.35","588.00",522187,"340,437,437.20",23950
"11-Feb-2014","EQ","648.90","652.00","640.65","647.25","646.00","647.25","648.32","807.35","588.00",491337,"318,545,420.85",14284
"10-Feb-2014","EQ","661.85","661.85","644.00","658.85","645.00","647.25","649.99","807.35","588.00",739896,"480,925,823.20",26761
"07-Feb-2014","EQ","662.00","666.50","652.40","660.50","656.00","658.85","658.67","807.35","588.00",718389,"473,179,192.30",41047
"06-Feb-2014","EQ","672.00","676.10","652.50","667.50","659.95","660.50","662.37","807.35","588.00",1090566,"722,357,244.50",29745
"05-Feb-2014","EQ","665.00","671.40","650.35","665.30","670.75","667.50","660.85","807.35","588.00",831542,"549,523,275.25",28586
"04-Feb-2014","EQ","648.00","667.85","643.60","654.95","665.20","665.30","659.39","807.35","588.00",507935,"334,927,305.80",22797
"03-Feb-2014","EQ","651.30","658.00","649.80","657.05","655.10","654.95","651.77","807.35","588.00",1159223,"755,542,257.85",19491
"31-Jan-2014","EQ","649.50","661.30","648.75","650.05","656.50","657.05","656.45","807.35","588.00",557033,"365,665,520.55",18369
"30-Jan-2014","EQ","650.10","660.00","647.75","664.00","648.00","650.05","652.23","807.35","588.00",842363,"549,416,326.00",24462
