"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","5,980.00","6,008.95","5,855.40","5,975.65","5,873.00","5,870.75","5,883.64","7,349.00","4,981.00",25180,"148,149,960.50",5714
"08-Apr-2016","EQ","5,924.95","6,006.00","5,851.00","5,888.55","6,005.00","5,975.65","5,941.38","7,349.00","4,981.00",22133,"131,500,670.65",5149
"07-Apr-2016","EQ","5,799.45","5,950.05","5,748.00","5,724.15","5,922.10","5,888.55","5,845.51","7,349.00","4,981.00",39466,"230,699,042.50",6995
"06-Apr-2016","EQ","5,738.00","5,749.05","5,704.00","5,738.95","5,730.00","5,724.15","5,725.83","7,349.00","4,981.00",30696,"175,760,206.60",6765
"05-Apr-2016","EQ","5,632.00","5,777.00","5,632.00","5,683.55","5,725.00","5,738.95","5,709.46","7,349.00","4,981.00",31231,"178,312,218.80",5358
"04-Apr-2016","EQ","5,630.00","5,724.95","5,607.00","5,638.20","5,700.00","5,683.55","5,671.45","7,349.00","4,981.00",21694,"123,036,422.30",6485
"01-Apr-2016","EQ","5,690.00","5,749.00","5,558.05","5,757.35","5,630.00","5,638.20","5,615.62","7,349.00","4,981.00",37393,"209,984,844.20",8882
"31-Mar-2016","EQ","5,445.05","5,849.00","5,400.00","5,479.80","5,700.00","5,757.35","5,637.68","7,349.00","4,981.00",72171,"406,877,349.50",17630
"30-Mar-2016","EQ","5,354.80","5,501.65","5,354.80","5,335.90","5,501.00","5,479.80","5,439.31","7,349.00","4,981.00",47816,"260,086,131.65",11956
"29-Mar-2016","EQ","5,340.00","5,390.00","5,310.00","5,353.50","5,340.00","5,335.90","5,354.69","7,349.00","4,981.00",15640,"83,747,290.40",4193
"28-Mar-2016","EQ","5,299.00","5,375.00","5,282.55","5,253.15","5,355.00","5,353.50","5,323.72","7,349.00","4,981.00",69661,"370,855,369.45",4116
"23-Mar-2016","EQ","5,311.10","5,340.00","5,210.00","5,260.35","5,250.00","5,253.15","5,276.84","7,349.00","4,981.00",107792,"568,801,557.45",7817
"22-Mar-2016","EQ","5,250.00","5,349.00","5,155.00","5,231.55","5,300.00","5,260.35","5,216.18","7,349.00","4,981.00",46192,"240,945,831.20",10185
"21-Mar-2016","EQ","5,200.00","5,250.00","5,200.00","5,186.25","5,220.00","5,231.55","5,227.82","7,349.00","4,981.00",52834,"276,206,384.90",4967
"18-Mar-2016","EQ","5,097.30","5,260.00","5,043.00","5,096.85","5,189.00","5,186.25","5,141.41","7,420.00","4,981.00",51696,"265,790,397.35",11894
"17-Mar-2016","EQ","5,040.00","5,114.70","5,030.05","5,011.75","5,085.00","5,096.85","5,090.22","7,420.00","4,981.00",34979,"178,050,681.05",9910
"16-Mar-2016","EQ","5,054.90","5,059.95","5,005.00","5,053.75","5,010.00","5,011.75","5,012.19","7,420.00","4,981.00",91850,"460,369,567.85",4497
"15-Mar-2016","EQ","5,117.40","5,117.40","5,040.80","5,103.10","5,069.30","5,053.75","5,054.86","7,420.00","4,981.00",99413,"502,518,446.25",4754
"14-Mar-2016","EQ","5,173.00","5,173.00","5,090.00","5,163.15","5,090.00","5,103.10","5,107.31","7,420.00","4,981.00",61213,"312,634,055.45",6189
"11-Mar-2016","EQ","5,189.95","5,249.90","5,100.00","5,177.80","5,166.05","5,163.15","5,171.26","7,505.00","4,981.00",35312,"182,607,436.55",6591
"10-Mar-2016","EQ","5,223.00","5,241.65","5,106.35","5,209.80","5,200.00","5,177.80","5,151.39","7,505.00","4,981.00",63711,"328,199,953.25",5528
"09-Mar-2016","EQ","5,275.30","5,307.45","5,182.00","5,320.80","5,196.70","5,209.80","5,219.35","7,505.00","4,981.00",47123,"245,951,580.30",4107
"08-Mar-2016","EQ","5,300.00","5,429.00","5,276.10","5,285.25","5,297.90","5,320.80","5,359.50","7,505.00","4,981.00",53547,"286,984,981.55",12951
"04-Mar-2016","EQ","5,218.00","5,325.05","5,166.00","5,217.75","5,252.00","5,285.25","5,262.32","7,505.00","4,981.00",26291,"138,351,697.70",6459
"03-Mar-2016","EQ","5,110.00","5,243.00","5,080.00","5,078.20","5,210.00","5,217.75","5,190.20","7,505.00","4,981.00",33110,"171,847,683.60",6325
"02-Mar-2016","EQ","5,080.00","5,105.00","5,045.00","5,052.25","5,080.00","5,078.20","5,073.08","7,505.00","4,981.00",29138,"147,819,458.60",5987
"01-Mar-2016","EQ","5,050.00","5,117.25","5,000.55","5,008.00","5,050.00","5,052.25","5,054.02","7,505.00","4,981.00",41530,"209,893,643.80",7699
"29-Feb-2016","EQ","5,144.90","5,144.90","4,981.00","5,111.20","5,010.00","5,008.00","5,012.08","7,505.00","4,981.00",52942,"265,349,294.95",12263
"26-Feb-2016","EQ","5,190.00","5,190.00","5,101.00","5,142.90","5,108.00","5,111.20","5,115.25","7,505.00","5,001.05",36011,"184,205,443.00",2995
"25-Feb-2016","EQ","5,199.40","5,200.00","5,090.95","5,199.40","5,200.00","5,142.90","5,137.59","7,505.00","5,001.05",31388,"161,258,614.35",3297
"24-Feb-2016","EQ","5,185.00","5,204.90","5,135.00","5,192.25","5,195.50","5,199.40","5,190.00","7,505.00","5,001.05",11843,"61,465,228.40",3419
"23-Feb-2016","EQ","5,309.95","5,309.95","5,180.00","5,279.35","5,183.65","5,192.25","5,205.24","7,505.00","5,001.05",21387,"111,324,443.75",3319
