"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","169.30","170.60","167.70","168.40","168.25","168.50","168.72","188.00","153.15",5656579,"954,396,087.45",22625
"10-Apr-2018","EQ","169.90","170.40","168.15","169.65","168.40","168.40","169.22","188.00","153.15",2172698,"367,669,354.15",24025
"09-Apr-2018","EQ","169.00","170.45","168.45","169.45","168.80","169.65","169.58","188.00","153.15",3275669,"555,497,345.00",32015
"06-Apr-2018","EQ","168.40","170.00","167.15","168.95","169.55","169.45","168.64","188.00","153.15",2612270,"440,527,019.25",30613
"05-Apr-2018","EQ","167.00","169.75","166.80","166.55","169.35","168.95","168.95","188.00","153.15",3263955,"551,454,347.60",29520
"04-Apr-2018","EQ","169.15","169.35","165.50","169.35","165.80","166.55","167.63","188.00","153.15",3331860,"558,508,846.30",33605
"03-Apr-2018","EQ","170.80","171.90","168.60","170.40","169.05","169.35","169.63","188.00","153.15",3717328,"630,568,254.50",19861
"02-Apr-2018","EQ","169.90","170.85","168.10","169.70","170.55","170.40","169.53","188.00","153.15",2805938,"475,695,199.70",38453
"28-Mar-2018","EQ","170.70","171.00","166.45","171.05","170.00","169.70","169.35","188.00","153.15",8449015,"1,430,804,830.55",58036
"27-Mar-2018","EQ","170.25","171.50","168.45","169.85","170.85","171.05","170.42","188.00","153.15",3496078,"595,791,013.05",17083
"26-Mar-2018","EQ","169.95","171.00","168.75","170.05","169.55","169.85","169.92","188.00","153.15",5500046,"934,547,468.90",58112
"23-Mar-2018","EQ","168.90","171.80","168.30","170.95","169.95","170.05","170.44","188.00","153.15",9023161,"1,537,865,458.35",30636
"22-Mar-2018","EQ","169.00","171.20","168.50","170.35","171.00","170.95","170.12","188.00","153.15",3726928,"634,027,477.25",19028
"21-Mar-2018","EQ","167.50","170.85","165.65","166.40","170.00","170.35","169.80","188.00","153.15",5721685,"971,538,186.30",35283
"20-Mar-2018","EQ","166.40","167.30","164.65","167.00","167.00","166.40","165.60","188.00","153.15",3150362,"521,698,861.15",22138
"19-Mar-2018","EQ","165.00","167.90","163.65","164.85","166.85","167.00","166.52","188.00","153.15",5021670,"836,221,061.35",31930
"16-Mar-2018","EQ","167.80","169.45","163.65","169.90","165.00","164.85","165.38","188.00","153.15",12378708,"2,047,172,520.20",59092
"15-Mar-2018","EQ","169.00","170.15","167.30","169.70","170.00","169.90","168.88","188.00","153.15",3652747,"616,861,452.40",15633
"14-Mar-2018","EQ","169.30","170.15","168.15","169.40","168.95","169.70","169.34","188.00","153.15",3707403,"627,825,029.45",22914
"13-Mar-2018","EQ","169.40","170.75","167.30","171.15","169.00","169.40","169.17","188.00","153.15",3126930,"528,978,932.20",27486
"12-Mar-2018","EQ","164.80","172.75","164.10","164.40","170.75","171.15","168.31","188.00","153.15",2911168,"489,976,893.35",28445
"09-Mar-2018","EQ","165.10","165.30","162.55","165.30","164.60","164.40","164.06","188.00","153.15",3737738,"613,227,489.60",29001
"08-Mar-2018","EQ","164.00","166.00","162.25","163.50","164.75","165.30","164.37","188.00","153.15",4538911,"746,059,168.15",24040
"07-Mar-2018","EQ","163.00","164.70","161.90","163.35","163.60","163.50","163.56","188.00","153.15",2609001,"426,739,728.95",26330
"06-Mar-2018","EQ","164.30","164.95","162.20","163.30","163.00","163.35","163.74","188.00","153.15",5114754,"837,468,247.95",25298
"05-Mar-2018","EQ","161.50","165.10","160.05","163.00","165.10","163.30","161.89","188.00","153.15",3287892,"532,265,474.35",31544
"01-Mar-2018","EQ","163.70","163.75","162.00","163.25","163.05","163.00","162.99","188.00","153.15",2146760,"349,911,085.40",16761
