"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","1,061.00","1,072.50","1,060.50","1,061.60","1,064.15","1,063.80","1,065.91","1,277.65","802.35",499348,"532,259,855.80",
"08-Apr-2010","EQ","1,086.70","1,086.70","1,057.10","1,082.90","1,058.25","1,061.60","1,066.83","1,277.65","802.35",841797,"898,052,200.35",
"07-Apr-2010","EQ","1,093.95","1,096.00","1,078.10","1,084.85","1,081.15","1,082.90","1,084.19","1,277.65","802.35",499608,"541,668,080.75",
"06-Apr-2010","EQ","1,097.00","1,097.00","1,078.00","1,096.95","1,085.00","1,084.85","1,085.07","1,277.65","802.35",513289,"556,954,846.60",
"05-Apr-2010","EQ","1,093.00","1,110.00","1,083.50","1,084.45","1,096.95","1,096.95","1,091.10","1,277.65","802.35",420309,"458,599,609.75",
"01-Apr-2010","EQ","1,101.00","1,107.00","1,079.75","1,098.70","1,083.00","1,084.45","1,087.11","1,277.65","745.60",501226,"544,885,700.40",
"31-Mar-2010","EQ","1,098.10","1,111.00","1,088.20","1,097.30","1,092.55","1,098.70","1,100.01","1,277.65","745.60",1000780,"1,100,869,123.25",
"30-Mar-2010","EQ","1,096.50","1,112.10","1,092.00","1,093.05","1,097.00","1,097.30","1,104.02","1,277.65","745.60",594149,"655,955,318.35",
"29-Mar-2010","EQ","1,084.10","1,098.90","1,076.05","1,079.90","1,093.50","1,093.05","1,091.07","1,277.65","745.60",487800,"532,222,783.05",
"26-Mar-2010","EQ","1,060.00","1,084.00","1,060.00","1,056.65","1,077.80","1,079.90","1,078.17","1,277.65","745.60",1197020,"1,290,588,973.40",
"25-Mar-2010","EQ","1,069.00","1,070.00","1,050.55","1,069.25","1,053.95","1,056.65","1,060.79","1,277.65","745.60",1102967,"1,170,016,158.10",
"23-Mar-2010","EQ","1,062.25","1,074.05","1,058.30","1,059.15","1,068.25","1,069.25","1,067.66","1,277.65","745.60",861409,"919,689,180.50",
"22-Mar-2010","EQ","1,054.00","1,069.20","1,046.60","1,056.85","1,059.00","1,059.15","1,062.63","1,277.65","745.60",691042,"734,322,760.40",
"19-Mar-2010","EQ","1,058.00","1,063.00","1,045.15","1,054.20","1,061.00","1,056.85","1,051.57","1,277.65","695.10",831004,"873,855,249.15",
"18-Mar-2010","EQ","1,077.45","1,077.45","1,050.00","1,073.50","1,056.10","1,054.20","1,058.01","1,277.65","695.10",1170057,"1,237,927,729.40",
