"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","1,037.00","1,045.50","1,033.00","1,036.35","1,039.20","1,040.30","1,040.40","1,089.75","818.00",2356318,"2,451,516,879.40",51362
"08-Apr-2016","EQ","1,035.90","1,054.45","1,031.20","1,037.25","1,035.00","1,036.35","1,041.82","1,089.75","818.00",3065701,"3,193,915,290.95",64946
"07-Apr-2016","EQ","1,034.90","1,048.00","1,022.10","1,033.75","1,034.80","1,037.25","1,037.23","1,089.75","818.00",2009055,"2,083,849,370.30",61885
"06-Apr-2016","EQ","1,032.10","1,036.70","1,022.60","1,026.95","1,034.40","1,033.75","1,029.94","1,089.75","818.00",1597975,"1,645,826,295.95",55920
"05-Apr-2016","EQ","1,031.35","1,042.40","1,022.20","1,035.05","1,027.30","1,026.95","1,031.04","1,089.75","818.00",2345148,"2,417,937,240.45",61672
"04-Apr-2016","EQ","1,040.00","1,042.20","1,025.30","1,034.45","1,035.75","1,035.05","1,032.19","1,089.75","818.00",1973260,"2,036,784,076.65",77242
"01-Apr-2016","EQ","1,039.10","1,046.30","1,025.00","1,045.20","1,035.00","1,034.45","1,033.05","1,089.75","796.45",2830115,"2,923,641,415.80",61004
"31-Mar-2016","EQ","1,041.00","1,056.00","1,032.70","1,047.05","1,045.00","1,045.20","1,045.52","1,089.75","796.45",7047985,"7,368,811,911.15",128999
"30-Mar-2016","EQ","1,042.70","1,051.75","1,042.70","1,036.25","1,047.40","1,047.05","1,047.52","1,089.75","796.45",3303780,"3,460,764,578.35",94538
"29-Mar-2016","EQ","1,023.80","1,042.00","1,020.20","1,020.40","1,034.00","1,036.25","1,034.32","1,089.75","796.45",3627901,"3,752,397,078.30",57044
"28-Mar-2016","EQ","1,030.00","1,031.70","1,015.65","1,029.20","1,022.50","1,020.40","1,022.77","1,089.75","796.45",4130553,"4,224,624,948.65",84002
"23-Mar-2016","EQ","1,046.90","1,046.90","1,022.40","1,047.85","1,027.25","1,029.20","1,031.48","1,089.75","796.45",3841654,"3,962,605,795.30",90954
"22-Mar-2016","EQ","1,037.00","1,052.25","1,035.65","1,037.30","1,049.35","1,047.85","1,044.68","1,089.75","796.45",3504967,"3,661,562,667.25",93579
"21-Mar-2016","EQ","1,027.95","1,041.50","1,022.75","1,027.20","1,040.00","1,037.30","1,030.59","1,089.75","796.45",2904852,"2,993,700,833.65",79043
"18-Mar-2016","EQ","1,018.25","1,030.15","1,015.70","1,016.00","1,028.30","1,027.20","1,024.00","1,089.75","796.45",3207246,"3,284,213,965.25",69238
"17-Mar-2016","EQ","1,027.00","1,036.90","1,012.00","1,021.75","1,014.50","1,016.00","1,026.51","1,089.75","796.45",3847740,"3,949,732,218.00",90226
"16-Mar-2016","EQ","1,021.00","1,025.80","1,005.45","1,020.50","1,024.40","1,021.75","1,015.77","1,089.75","796.45",2529074,"2,568,957,742.75",50367
"15-Mar-2016","EQ","1,024.00","1,027.85","1,015.10","1,019.75","1,019.55","1,020.50","1,021.64","1,089.75","796.45",2397332,"2,449,201,924.40",56909
"14-Mar-2016","EQ","1,019.10","1,026.40","1,012.95","1,014.50","1,019.75","1,019.75","1,018.41","1,089.75","796.45",2715590,"2,765,572,642.30",82702
"11-Mar-2016","EQ","1,014.90","1,029.55","1,010.60","1,011.75","1,015.40","1,014.50","1,019.42","1,089.75","796.45",3501676,"3,569,686,912.50",88004
"10-Mar-2016","EQ","1,042.05","1,045.90","1,009.00","1,041.70","1,009.15","1,011.75","1,018.42","1,089.75","796.45",4733124,"4,820,313,422.55",144977
"09-Mar-2016","EQ","1,020.00","1,043.90","1,018.60","1,027.00","1,041.90","1,041.70","1,033.70","1,089.75","796.45",2709831,"2,801,141,034.45",79794
"08-Mar-2016","EQ","1,007.50","1,030.90","1,007.50","1,006.40","1,023.00","1,027.00","1,021.65","1,089.75","796.45",3022554,"3,087,984,351.45",86702
"04-Mar-2016","EQ","1,014.00","1,015.00","1,003.50","1,012.85","1,007.50","1,006.40","1,007.65","1,089.75","796.45",2054428,"2,070,143,078.90",51720
"03-Mar-2016","EQ","1,010.00","1,018.00","997.50","1,001.50","1,010.00","1,012.85","1,009.28","1,089.75","796.45",3630006,"3,663,682,138.65",78861
"02-Mar-2016","EQ","992.90","1,005.75","987.25","981.30","1,000.00","1,001.50","998.81","1,089.75","796.45",4595886,"4,590,432,123.50",74124
"01-Mar-2016","EQ","964.70","985.05","964.65","966.65","984.25","981.30","979.72","1,089.75","796.45",3760923,"3,684,645,580.65",97955
"29-Feb-2016","EQ","951.30","994.60","935.00","950.35","965.00","966.65","960.96","1,089.75","796.45",7093474,"6,816,551,287.20",134218
"26-Feb-2016","EQ","953.00","958.75","944.30","944.10","953.00","950.35","951.69","1,089.75","796.45",1908533,"1,816,331,636.00",58546
"25-Feb-2016","EQ","954.20","956.55","940.85","952.65","942.00","944.10","946.50","1,089.75","796.45",5675025,"5,371,391,773.55",80392
