"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2012","EQ","2,125.15","2,179.50","2,117.10","2,151.20","2,169.00","2,158.55","2,151.55","2,960.05","1,571.10",2593320,"5,579,654,917.75",117509
"10-Apr-2012","EQ","2,110.00","2,157.00","2,095.05","2,100.45","2,151.45","2,151.20","2,128.20","2,960.05","1,571.10",1931862,"4,111,394,029.20",90678
"09-Apr-2012","EQ","2,148.00","2,148.90","2,090.05","2,162.55","2,093.65","2,100.45","2,117.16","2,960.05","1,571.10",1389603,"2,942,018,117.35",70503
"04-Apr-2012","EQ","2,150.00","2,179.00","2,136.60","2,172.55","2,177.00","2,162.55","2,154.39","2,960.05","1,571.10",1523709,"3,282,668,788.15",72130
"03-Apr-2012","EQ","2,142.00","2,183.20","2,141.90","2,130.40","2,155.00","2,172.55","2,169.47","2,960.05","1,571.10",2162848,"4,692,229,204.25",90603
"02-Apr-2012","EQ","2,100.00","2,138.95","2,100.00","2,096.35","2,135.10","2,130.40","2,122.35","2,960.05","1,571.10",2029773,"4,307,889,756.80",85647
"30-Mar-2012","EQ","2,067.70","2,109.90","2,067.70","2,061.35","2,092.70","2,096.35","2,094.65","2,960.05","1,571.10",2503210,"5,243,340,807.10",97748
"29-Mar-2012","EQ","2,050.00","2,079.95","2,047.15","2,079.25","2,056.95","2,061.35","2,063.36","2,960.05","1,571.10",2509099,"5,177,181,161.40",101952
"28-Mar-2012","EQ","2,120.00","2,121.40","2,063.45","2,129.15","2,076.00","2,079.25","2,094.60","2,960.05","1,571.10",2436716,"5,103,951,178.80",110615
"27-Mar-2012","EQ","2,155.00","2,171.90","2,097.70","2,117.45","2,134.90","2,129.15","2,126.86","2,960.05","1,571.10",3847094,"8,182,220,693.25",138508
"26-Mar-2012","EQ","2,158.70","2,159.00","2,110.00","2,166.75","2,119.50","2,117.45","2,129.73","2,960.05","1,571.10",2009302,"4,279,279,741.10",104486
"23-Mar-2012","EQ","2,176.00","2,204.80","2,127.20","2,160.60","2,170.00","2,166.75","2,165.65","2,960.05","1,571.10",3072832,"6,654,692,300.15",141223
"22-Mar-2012","EQ","2,227.00","2,255.60","2,150.10","2,232.85","2,153.00","2,160.60","2,213.59","2,960.05","1,571.10",3074548,"6,805,780,880.60",117681
"21-Mar-2012","EQ","2,183.90","2,239.00","2,176.35","2,187.35","2,237.65","2,232.85","2,211.14","2,960.05","1,571.10",2306082,"5,099,080,065.40",95914
"20-Mar-2012","EQ","2,160.00","2,202.85","2,138.10","2,157.55","2,187.20","2,187.35","2,177.23","2,960.05","1,571.10",2637979,"5,743,500,154.30",114076
"19-Mar-2012","EQ","2,230.00","2,237.00","2,150.00","2,227.90","2,158.95","2,157.55","2,180.81","2,960.05","1,571.10",2268399,"4,946,956,849.05",110691
"16-Mar-2012","EQ","2,300.00","2,354.95","2,215.00","2,299.30","2,218.10","2,227.90","2,293.82","2,960.05","1,571.10",4057847,"9,307,977,648.25",169506
"15-Mar-2012","EQ","2,358.00","2,368.00","2,286.00","2,354.80","2,292.00","2,299.30","2,316.53","2,960.05","1,571.10",2741796,"6,351,447,722.45",118938
"14-Mar-2012","EQ","2,370.35","2,374.40","2,332.20","2,327.50","2,357.70","2,354.80","2,349.22","2,960.05","1,571.10",2280238,"5,356,769,881.30",91676
"13-Mar-2012","EQ","2,341.30","2,350.00","2,316.50","2,310.80","2,328.60","2,327.50","2,333.81","2,960.05","1,571.10",1800790,"4,202,700,715.65",81258
"12-Mar-2012","EQ","2,305.35","2,324.55","2,281.05","2,226.40","2,309.25","2,310.80","2,302.96","2,960.05","1,571.10",3656710,"8,421,247,461.90",161806
"09-Mar-2012","EQ","2,190.00","2,243.00","2,188.10","2,141.55","2,240.05","2,226.40","2,214.67","2,960.05","1,571.10",2297479,"5,088,160,871.50",114579
"07-Mar-2012","EQ","2,135.00","2,163.80","2,106.00","2,147.85","2,151.00","2,141.55","2,132.57","2,960.05","1,571.10",3528612,"7,524,995,799.25",149537
"06-Mar-2012","EQ","2,151.00","2,263.00","2,114.90","2,176.05","2,148.65","2,147.85","2,202.77","2,960.05","1,571.10",4439842,"9,779,955,434.90",183076
"05-Mar-2012","EQ","2,234.70","2,234.70","2,164.70","2,250.85","2,167.00","2,176.05","2,191.83","2,960.05","1,571.10",1968612,"4,314,856,123.20",89145
"03-Mar-2012","EQ","2,244.90","2,258.95","2,244.90","2,246.70","2,249.00","2,250.85","2,252.94","2,960.05","1,571.10",166745,"375,667,066.35",7873
"02-Mar-2012","EQ","2,226.40","2,282.00","2,186.00","2,218.75","2,242.20","2,246.70","2,244.97","2,960.05","1,571.10",3110118,"6,982,136,985.05",137663
"01-Mar-2012","EQ","2,233.85","2,237.75","2,186.45","2,247.55","2,206.00","2,218.75","2,208.99","2,960.05","1,571.10",2262366,"4,997,549,081.75",104922
"29-Feb-2012","EQ","2,265.00","2,287.00","2,223.00","2,231.25","2,250.50","2,247.55","2,255.44","2,960.05","1,571.10",3569606,"8,051,019,389.45",149050
"28-Feb-2012","EQ","2,139.00","2,255.00","2,130.65","2,122.85","2,229.95","2,231.25","2,209.48","2,960.05","1,571.10",4458632,"9,851,238,262.70",163106
"27-Feb-2012","EQ","2,214.90","2,220.00","2,111.10","2,205.60","2,119.00","2,122.85","2,147.31","2,960.05","1,571.10",2940822,"6,314,844,832.70",125932
"24-Feb-2012","EQ","2,280.00","2,303.00","2,195.00","2,260.50","2,205.15","2,205.60","2,228.10","2,960.05","1,571.10",3629752,"8,087,448,148.55",151097
"23-Feb-2012","EQ","2,254.35","2,323.10","2,247.00","2,255.00","2,270.00","2,260.50","2,286.94","2,960.05","1,571.10",4454330,"10,186,797,731.95",173928
"22-Feb-2012","EQ","2,456.00","2,469.10","2,236.90","2,452.45","2,252.95","2,255.00","2,334.08","2,960.05","1,571.10",6334444,"14,785,101,608.65",230448
"21-Feb-2012","EQ","2,420.00","2,475.00","2,415.00","2,417.05","2,448.00","2,452.45","2,459.52","2,960.05","1,571.10",2787668,"6,856,329,339.05",114479
"17-Feb-2012","EQ","2,377.00","2,471.55","2,377.00","2,350.35","2,421.35","2,417.05","2,427.70","2,960.05","1,571.10",5034557,"12,222,387,231.40",206969
"16-Feb-2012","EQ","2,242.25","2,377.45","2,229.15","2,250.65","2,343.00","2,350.35","2,304.05","2,960.05","1,571.10",4282758,"9,867,696,685.05",194024
"15-Feb-2012","EQ","2,227.00","2,257.55","2,222.50","2,200.15","2,247.95","2,250.65","2,242.69","2,960.05","1,571.10",2667663,"5,982,748,172.60",101984
"14-Feb-2012","EQ","2,128.50","2,217.90","2,128.50","2,129.25","2,197.00","2,200.15","2,196.95","2,960.05","1,571.10",3654309,"8,028,320,720.65",156017
"13-Feb-2012","EQ","2,174.00","2,180.50","2,096.00","2,171.90","2,125.00","2,129.25","2,132.76","2,960.05","1,571.10",5612660,"11,970,438,045.75",231902
"10-Feb-2012","EQ","2,188.00","2,209.00","2,150.15","2,184.00","2,160.00","2,171.90","2,182.02","2,960.05","1,571.10",2296538,"5,011,092,266.90",91920
"09-Feb-2012","EQ","2,164.30","2,192.00","2,157.60","2,177.75","2,189.35","2,184.00","2,173.26","2,960.05","1,571.10",1849969,"4,020,462,401.65",66242
"08-Feb-2012","EQ","2,161.50","2,188.00","2,145.20","2,153.10","2,178.10","2,177.75","2,172.38","2,960.05","1,571.10",2497816,"5,426,209,100.15",104966
"07-Feb-2012","EQ","2,181.90","2,188.30","2,145.40","2,162.65","2,151.10","2,153.10","2,164.86","2,960.05","1,571.10",2173208,"4,704,683,924.35",90592
"06-Feb-2012","EQ","2,131.95","2,187.45","2,131.95","2,103.15","2,165.20","2,162.65","2,163.48","2,960.05","1,571.10",3164807,"6,847,008,860.90",135589
"03-Feb-2012","EQ","2,070.00","2,117.60","2,036.50","2,072.60","2,106.05","2,103.15","2,071.87","2,960.05","1,571.10",2448186,"5,072,322,166.75",97097
"02-Feb-2012","EQ","2,095.00","2,113.40","1,982.30","2,077.65","2,065.05","2,072.60","2,057.17","2,960.05","1,571.10",5533056,"11,382,423,777.95",202567
"01-Feb-2012","EQ","2,051.00","2,088.40","2,042.50","2,061.60","2,079.50","2,077.65","2,063.07","2,960.05","1,571.10",2756848,"5,687,575,937.25",137660
"31-Jan-2012","EQ","2,019.85","2,073.00","2,012.00","1,985.25","2,054.00","2,061.60","2,049.37","2,960.05","1,571.10",2975102,"6,097,076,760.55",116813
"30-Jan-2012","EQ","2,015.00","2,058.75","1,970.15","2,040.60","1,972.00","1,985.25","2,021.68","2,960.05","1,571.10",2077455,"4,199,940,250.20",104125
"27-Jan-2012","EQ","2,064.40","2,070.00","2,017.90","2,058.00","2,034.80","2,040.60","2,038.63","2,960.05","1,571.10",2106052,"4,293,454,667.45",101931
"25-Jan-2012","EQ","2,055.25","2,085.95","2,039.90","2,040.80","2,045.00","2,058.00","2,066.49","2,960.05","1,571.10",3381896,"6,988,637,922.55",135029
"24-Jan-2012","EQ","1,932.00","2,058.00","1,926.70","1,940.50","2,043.90","2,040.80","2,007.90","2,960.05","1,571.10",5113138,"10,266,673,525.70",225464
"23-Jan-2012","EQ","1,931.90","1,967.10","1,921.00","1,932.85","1,940.00","1,940.50","1,947.21","2,960.05","1,571.10",1683057,"3,277,273,518.45",73914
"20-Jan-2012","EQ","1,898.00","1,944.00","1,895.15","1,884.30","1,937.00","1,932.85","1,920.16","2,960.05","1,571.10",2637725,"5,064,861,670.20",112102
"19-Jan-2012","EQ","1,880.00","1,912.45","1,875.10","1,865.35","1,880.20","1,884.30","1,895.21","2,960.05","1,571.10",1702289,"3,226,187,100.55",73633
"18-Jan-2012","EQ","1,850.00","1,871.00","1,820.00","1,844.00","1,864.85","1,865.35","1,847.51","2,960.05","1,571.10",2171216,"4,011,347,774.40",89087
