"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","608.00","610.90","600.35","601.90","608.00","608.05","606.51","793.00","428.00",8724716,"5,291,669,861.60",95538
"10-Apr-2018","EQ","593.00","604.60","592.30","586.15","603.40","601.90","598.69","793.00","428.00",10850710,"6,496,264,007.50",127456
"09-Apr-2018","EQ","589.50","595.75","583.40","587.20","585.00","586.15","589.20","793.00","428.00",9489221,"5,591,011,468.35",121507
"06-Apr-2018","EQ","574.85","589.90","573.00","580.45","586.10","587.20","581.14","793.00","428.00",8520201,"4,951,430,461.00",97057
"05-Apr-2018","EQ","573.85","583.60","569.50","560.55","580.00","580.45","577.85","793.00","428.00",13262168,"7,663,506,136.30",157981
"04-Apr-2018","EQ","583.10","590.50","557.55","579.70","559.10","560.55","577.60","793.00","428.00",13909893,"8,034,377,268.20",182883
"03-Apr-2018","EQ","570.20","585.45","568.35","578.80","580.00","579.70","577.64","793.00","428.00",10508317,"6,069,983,445.40",143336
"02-Apr-2018","EQ","573.10","580.30","568.10","571.05","577.65","578.80","575.48","793.00","428.00",6889345,"3,964,703,024.30",106474
"28-Mar-2018","EQ","581.05","583.00","565.30","590.00","570.65","571.05","571.53","793.00","428.00",18655057,"10,661,975,311.75",184117
"27-Mar-2018","EQ","590.45","599.00","587.55","581.55","590.00","590.00","593.07","793.00","428.00",10038168,"5,953,350,623.65",113523
"26-Mar-2018","EQ","568.90","588.35","560.80","566.50","586.00","581.55","571.25","793.00","428.00",10929998,"6,243,745,405.55",124625
"23-Mar-2018","EQ","560.05","568.80","553.50","580.90","567.00","566.50","561.97","793.00","428.00",14133550,"7,942,693,165.45",143444
"22-Mar-2018","EQ","582.70","587.45","572.00","582.25","579.25","580.90","578.92","793.00","428.00",11486245,"6,649,640,783.50",146377
"21-Mar-2018","EQ","598.95","601.70","580.50","593.00","582.30","582.25","589.32","793.00","428.00",11939451,"7,036,106,133.00",118336
"20-Mar-2018","EQ","571.00","600.90","568.45","574.95","594.35","593.00","591.86","793.00","428.00",17645035,"10,443,320,964.70",196471
"19-Mar-2018","EQ","600.00","601.90","572.85","600.20","574.00","574.95","582.99","793.00","428.00",12542317,"7,312,088,243.15",146001
"16-Mar-2018","EQ","611.75","613.90","594.40","611.75","602.50","600.20","602.51","793.00","428.00",11739582,"7,073,240,040.10",147071
"15-Mar-2018","EQ","620.00","622.60","609.60","620.55","612.20","611.75","615.08","793.00","428.00",7510951,"4,619,860,394.30",88447
"14-Mar-2018","EQ","624.00","630.90","618.60","628.85","620.00","620.55","623.71","793.00","428.00",8655181,"5,398,284,292.45",103031
"13-Mar-2018","EQ","623.00","633.20","614.35","622.90","627.95","628.85","626.24","793.00","428.00",10490405,"6,569,498,855.40",111466
"12-Mar-2018","EQ","614.45","626.40","606.40","606.75","623.50","622.90","616.27","793.00","428.00",12193581,"7,514,541,561.35",142942
"09-Mar-2018","EQ","640.05","646.75","601.50","635.90","612.70","606.75","618.77","793.00","428.00",18096367,"11,197,460,060.65",188722
"08-Mar-2018","EQ","656.90","660.95","632.70","647.70","636.25","635.90","642.15","793.00","428.00",7126105,"4,576,016,853.05",90313
"07-Mar-2018","EQ","657.00","661.40","644.65","659.75","650.00","647.70","651.47","793.00","428.00",5130577,"3,342,399,842.60",85847
"06-Mar-2018","EQ","664.85","674.00","656.55","655.90","659.50","659.75","666.81","793.00","428.00",8414960,"5,611,149,688.55",151635
"05-Mar-2018","EQ","669.25","669.30","651.80","675.05","655.70","655.90","658.04","793.00","428.00",9785466,"6,439,260,218.75",170413
"01-Mar-2018","EQ","671.35","685.00","670.05","671.60","673.50","675.05","677.03","793.00","428.00",7128399,"4,826,148,824.40",97069
"28-Feb-2018","EQ","663.85","675.00","660.00","671.75","672.85","671.60","669.29","793.00","428.00",7112650,"4,760,404,400.25",115945
"27-Feb-2018","EQ","681.40","686.90","669.20","680.20","671.05","671.75","680.00","793.00","428.00",6805376,"4,627,650,931.00",104797
