"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2014","EQ","262.00","266.40","261.50","262.95","262.40","262.75","263.70","302.00","201.00",470768,"124,142,879.40",7158
"10-Apr-2014","EQ","263.20","267.90","262.20","264.25","263.50","262.95","264.22","302.00","201.00",638846,"168,793,913.85",7348
"09-Apr-2014","EQ","263.10","265.90","261.85","262.75","265.45","264.25","264.11","302.00","201.00",832258,"219,805,183.25",9559
"07-Apr-2014","EQ","269.00","269.00","260.10","269.80","262.90","262.75","262.13","302.00","201.00",856375,"224,481,246.35",8171
"04-Apr-2014","EQ","270.10","274.30","266.00","268.00","267.90","269.80","271.58","302.00","201.00",961371,"261,092,933.25",12304
"03-Apr-2014","EQ","266.00","270.85","263.00","265.35","270.00","268.00","268.48","302.00","201.00",1540496,"413,596,919.50",17255
"02-Apr-2014","EQ","266.45","267.00","263.00","265.15","265.25","265.35","264.86","302.00","201.00",357890,"94,791,287.95",5438
"01-Apr-2014","EQ","266.45","268.00","260.60","262.70","264.95","265.15","265.10","302.00","201.00",986673,"261,564,472.55",12882
"31-Mar-2014","EQ","255.00","268.35","254.10","253.15","262.40","262.70","264.01","302.00","201.00",2092440,"552,423,448.85",24257
"28-Mar-2014","EQ","254.80","256.10","250.40","253.80","253.15","253.15","252.79","302.00","201.00",674424,"170,488,177.85",7179
"27-Mar-2014","EQ","249.20","254.65","246.10","248.75","254.10","253.80","251.55","302.00","201.00",1316243,"331,099,885.05",17449
"26-Mar-2014","EQ","256.00","256.90","248.20","255.40","249.50","248.75","251.60","302.00","201.00",658823,"165,761,106.15",11213
"25-Mar-2014","EQ","253.05","257.30","253.05","252.90","255.00","255.40","255.40","302.00","201.00",654922,"167,264,255.40",6839
"24-Mar-2014","EQ","254.30","258.50","251.15","254.95","252.55","252.90","254.29","302.00","201.00",637996,"162,234,234.85",7722
"22-Mar-2014","EQ","255.00","256.50","254.05","255.00","255.10","254.95","255.32","302.00","201.00",52070,"13,294,701.25",993
"21-Mar-2014","EQ","256.40","257.40","253.40","253.40","255.10","255.00","255.85","302.00","201.00",948531,"242,678,872.90",11677
"20-Mar-2014","EQ","257.00","262.45","252.00","254.85","253.75","253.40","257.58","302.00","201.00",2161044,"556,644,422.25",28216
"19-Mar-2014","EQ","256.00","257.25","251.55","255.35","254.30","254.85","255.03","302.00","201.00",829853,"211,639,625.90",10164
"18-Mar-2014","EQ","254.95","257.00","253.15","253.15","254.90","255.35","255.27","302.00","201.00",1294867,"330,543,362.80",13230
"14-Mar-2014","EQ","251.75","254.35","248.50","251.65","254.00","253.15","251.66","302.00","201.00",653400,"164,437,562.65",9027
"13-Mar-2014","EQ","254.00","258.50","248.40","252.25","250.50","251.65","255.65","302.00","201.00",1672077,"427,470,704.40",20898
"12-Mar-2014","EQ","248.50","257.00","248.40","248.75","252.10","252.25","253.84","302.00","201.00",1350784,"342,876,904.95",16666
"11-Mar-2014","EQ","252.25","254.50","247.00","250.55","250.20","248.75","249.46","302.00","201.00",1189688,"296,782,864.55",10991
"10-Mar-2014","EQ","254.00","258.50","249.30","255.00","250.10","250.55","253.08","302.00","201.00",1527237,"386,508,632.15",21805
"07-Mar-2014","EQ","249.60","256.40","246.00","246.80","254.30","255.00","251.65","302.00","201.00",1893634,"476,523,775.55",22729
"06-Mar-2014","EQ","245.60","250.60","243.15","245.65","245.95","246.80","246.47","302.00","201.00",1075669,"265,122,547.50",14368
"05-Mar-2014","EQ","252.55","252.85","244.00","254.80","245.70","245.65","246.76","302.00","201.00",1424629,"351,543,444.50",19547
"04-Mar-2014","EQ","250.50","258.40","250.30","249.25","254.05","254.80","254.60","302.00","201.00",2544333,"647,778,599.85",26989
"03-Mar-2014","EQ","242.50","251.50","239.50","242.50","249.00","249.25","248.15","302.00","201.00",2029854,"503,702,022.80",24252
"28-Feb-2014","EQ","246.10","246.90","240.05","245.60","242.20","242.50","243.08","302.00","201.00",716553,"174,179,392.70",10733
"26-Feb-2014","EQ","244.50","247.30","242.50","243.20","244.40","245.60","245.36","302.00","201.00",1495138,"366,850,730.25",17101
"25-Feb-2014","EQ","237.35","244.30","236.50","235.70","243.05","243.20","241.49","302.00","201.00",2388002,"576,690,477.65",35818
"24-Feb-2014","EQ","234.70","237.50","231.50","234.05","237.35","235.70","234.50","302.00","201.00",729670,"171,106,833.40",8224
"21-Feb-2014","EQ","235.20","236.80","232.80","234.15","233.60","234.05","234.60","302.00","201.00",691017,"162,110,434.40",12499
"20-Feb-2014","EQ","233.00","237.80","231.10","232.60","233.90","234.15","235.33","302.00","201.00",1303544,"306,757,798.00",16837
"19-Feb-2014","EQ","228.90","233.90","228.20","228.65","232.30","232.60","231.89","302.00","201.00",1306199,"302,889,551.90",15408
"18-Feb-2014","EQ","231.00","231.00","225.95","228.95","228.05","228.65","228.64","302.00","201.00",609396,"139,332,731.85",7437
"17-Feb-2014","EQ","233.65","236.30","225.15","231.55","229.00","228.95","231.28","302.00","201.00",2328888,"538,634,086.70",27809
"14-Feb-2014","EQ","230.00","232.60","226.65","229.35","232.50","231.55","230.07","302.00","201.00",723069,"166,357,408.05",9459
"13-Feb-2014","EQ","230.00","232.00","226.60","230.30","229.00","229.35","229.61","302.00","201.00",755689,"173,515,234.35",11424
"12-Feb-2014","EQ","233.00","233.80","228.60","232.30","229.15","230.30","231.57","302.00","201.00",714283,"165,405,634.65",7535
"11-Feb-2014","EQ","231.25","235.65","230.10","230.95","232.15","232.30","233.62","302.00","201.00",1510573,"352,900,277.30",19223
"10-Feb-2014","EQ","225.00","233.75","223.60","225.70","230.60","230.95","230.61","302.00","201.00",1757160,"405,217,229.00",22189
"07-Feb-2014","EQ","226.05","228.60","223.15","225.55","225.15","225.70","225.92","302.00","201.00",1025574,"231,699,056.55",13519
"06-Feb-2014","EQ","221.90","226.20","219.35","220.90","225.75","225.55","223.22","302.00","201.00",977396,"218,175,863.20",12415
"05-Feb-2014","EQ","221.20","224.00","219.00","221.75","220.80","220.90","220.95","302.00","201.00",545189,"120,459,086.15",6400
"04-Feb-2014","EQ","218.70","225.90","217.10","219.95","222.30","221.75","222.44","302.00","201.00",1093372,"243,208,937.95",13660
"03-Feb-2014","EQ","220.15","227.50","218.65","221.55","219.70","219.95","223.55","302.00","201.00",1428280,"319,292,515.35",16795
"31-Jan-2014","EQ","222.80","223.50","216.65","222.80","220.70","221.55","220.00","302.00","201.00",1223691,"269,214,791.55",17479
"30-Jan-2014","EQ","210.00","224.40","202.45","214.65","222.00","222.80","216.41","302.00","201.00",5930481,"1,283,396,529.55",61130
"29-Jan-2014","EQ","218.40","219.00","212.00","217.00","213.55","214.65","216.01","302.00","201.00",1075952,"232,414,369.70",10492
"28-Jan-2014","EQ","216.50","218.60","214.95","215.85","216.95","217.00","216.85","302.00","201.00",440878,"95,602,982.65",6335
"27-Jan-2014","EQ","217.00","218.00","212.35","218.70","216.35","215.85","215.46","302.00","201.00",830741,"178,987,374.00",11247
"24-Jan-2014","EQ","226.40","227.90","218.00","225.35","219.20","218.70","222.25","302.00","201.00",2042034,"453,848,043.75",22997
"23-Jan-2014","EQ","216.75","227.40","216.20","217.35","227.10","225.35","223.98","302.00","201.00",2570554,"575,756,586.15",23806
"22-Jan-2014","EQ","217.20","219.25","216.25","217.80","216.75","217.35","217.61","302.00","201.00",656092,"142,775,454.20",9313
"21-Jan-2014","EQ","217.00","220.30","216.10","216.50","217.40","217.80","218.46","302.00","201.00",875408,"191,245,956.10",11334
"20-Jan-2014","EQ","216.10","217.95","215.00","217.05","216.40","216.50","216.45","302.00","201.00",392820,"85,025,353.25",6571
"17-Jan-2014","EQ","216.70","220.75","216.55","218.20","217.15","217.05","218.33","302.00","201.00",645915,"141,020,706.75",8487
"16-Jan-2014","EQ","218.05","219.70","216.65","218.05","217.50","218.20","217.99","302.00","201.00",809129,"176,379,490.50",15288
