,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,09-Apr-2010,EQ,312.00,316.50,307.0,312.90,307.55,307.90,310.25,"1,036.00",269.35,5843978,"1,813,083,179.15",
1,08-Apr-2010,EQ,319.00,321.50,310.0,320.40,314.50,312.90,314.47,"1,036.00",269.35,6198088,"1,949,093,707.05",
2,07-Apr-2010,EQ,317.00,325.80,313.7,316.45,320.15,320.40,320.39,"1,036.00",269.35,5200634,"1,666,220,234.90",
3,06-Apr-2010,EQ,317.50,318.80,311.8,316.05,317.50,316.45,314.96,"1,036.00",269.35,3721848,"1,172,251,509.70",
4,05-Apr-2010,EQ,307.00,318.15,302.5,302.00,316.60,316.05,310.89,"1,036.00",269.35,9680847,"3,009,670,881.80",
5,01-Apr-2010,EQ,312.60,316.50,300.55,312.55,302.10,302.00,305.5,"1,036.00",269.35,12995543,"3,970,170,035.60",
6,31-Mar-2010,EQ,308.70,319.70,307.0,310.85,313.70,312.55,314.25,"1,036.00",269.35,6789112,"2,133,475,932.50",
7,30-Mar-2010,EQ,311.50,316.00,309.75,312.20,310.75,310.85,313.41,"1,036.00",269.35,3334807,"1,045,148,239.65",
8,29-Mar-2010,EQ,311.00,314.90,310.2,310.15,313.95,312.20,312.62,"1,036.00",269.35,2796536,"874,240,120.70",
9,26-Mar-2010,EQ,314.85,315.90,305.0,314.40,310.20,310.15,308.46,"1,036.00",269.35,7188335,"2,217,311,805.90",
10,25-Mar-2010,EQ,310.00,316.00,303.0,307.65,313.00,314.40,312.33,"1,036.00",269.35,10257603,"3,203,783,263.40",
11,23-Mar-2010,EQ,317.20,321.00,305.55,316.35,307.35,307.65,310.01,"1,036.00",269.35,5619158,"1,741,980,037.00",
12,22-Mar-2010,EQ,307.50,319.80,307.0,311.90,316.00,316.35,316.96,"1,036.00",269.35,6679874,"2,117,222,680.50",
13,19-Mar-2010,EQ,300.00,312.85,300.0,300.10,312.00,311.90,308.61,"1,036.00",269.35,7665763,"2,365,759,653.30",
14,18-Mar-2010,EQ,299.95,303.50,297.1,298.05,300.00,300.10,299.9,"1,036.00",269.35,4489695,"1,346,457,496.15",
15,17-Mar-2010,EQ,296.00,301.50,295.65,294.80,298.80,298.05,298.73,"1,036.00",269.35,3330971,"995,061,164.60",
16,16-Mar-2010,EQ,298.50,299.00,292.55,299.50,295.00,294.80,295.2,"1,036.00",269.35,2742226,"809,512,529.10",
17,15-Mar-2010,EQ,290.00,301.30,290.0,299.10,300.00,299.50,299.16,"1,036.00",269.35,3134357,"937,684,670.85",
18,12-Mar-2010,EQ,293.00,300.35,293.0,293.95,299.75,299.10,297.74,"1,036.00",269.35,4044755,"1,204,299,993.75",
19,11-Mar-2010,EQ,288.90,295.55,288.35,288.00,294.90,293.95,292.87,"1,036.00",269.35,4030086,"1,180,301,130.25",
20,10-Mar-2010,EQ,292.00,294.50,284.0,291.30,289.00,288.00,289.35,"1,036.00",269.35,5385114,"1,558,180,641.15",
21,09-Mar-2010,EQ,292.00,294.15,287.05,292.70,291.60,291.30,290.34,"1,036.00",269.35,3785607,"1,099,122,770.70",
22,08-Mar-2010,EQ,298.15,302.80,291.0,298.45,291.80,292.70,296.33,"1,036.00",269.35,6256751,"1,854,056,564.90",
23,05-Mar-2010,EQ,294.00,303.75,293.0,293.60,298.00,298.45,300.22,"1,036.00",269.35,8167892,"2,452,148,571.20",
24,04-Mar-2010,EQ,290.00,294.90,290.0,291.95,293.15,293.60,292.82,"1,036.00",269.35,3301735,"966,811,656.05",
25,03-Mar-2010,EQ,293.00,294.90,290.3,290.20,291.65,291.95,292.13,"1,036.00",269.35,5097870,"1,489,252,218.00",
26,02-Mar-2010,EQ,280.00,292.80,280.0,279.35,290.60,290.20,286.79,"1,036.00",269.35,6263842,"1,796,390,597.70",
27,26-Feb-2010,EQ,278.00,282.00,275.8,276.25,279.40,279.35,279.04,"1,036.00",269.35,6424420,"1,792,656,065.45",
28,25-Feb-2010,EQ,277.00,280.00,275.5,275.95,276.20,276.25,277.59,"1,036.00",269.35,6428278,"1,784,448,590.15",
29,24-Feb-2010,EQ,280.00,280.00,275.0,280.10,276.20,275.95,277.55,"1,036.00",269.35,5201687,"1,443,742,924.10",
30,23-Feb-2010,EQ,275.00,281.20,275.0,276.90,280.80,280.10,279.23,"1,036.00",269.35,3739371,"1,044,128,904.00",
31,22-Feb-2010,EQ,281.00,283.00,276.0,278.80,276.40,276.90,279.77,"1,036.00",269.35,5662935,"1,584,309,400.50",
32,19-Feb-2010,EQ,280.55,283.90,274.3,281.90,278.55,278.80,279.31,"1,036.00",269.35,8798725,"2,457,573,328.60",
33,18-Feb-2010,EQ,279.00,284.40,276.0,279.15,282.20,281.90,280.14,"1,036.00",269.35,7016482,"1,965,620,940.15",
34,17-Feb-2010,EQ,273.40,281.75,273.4,271.60,279.05,279.15,278.54,"1,036.00",269.35,16132351,"4,493,550,488.85",
35,16-Feb-2010,EQ,286.00,289.50,269.35,285.60,273.75,271.60,275.3,"1,036.00",269.35,45045191,"12,400,776,000.65",
36,15-Feb-2010,EQ,317.00,317.00,284.4,314.50,285.40,285.60,292.9,"1,036.00",274.0,18972593,"5,557,134,580.55",
37,11-Feb-2010,EQ,315.50,317.90,310.75,315.30,314.05,314.50,314.73,"1,036.00",274.0,3372725,"1,061,508,079.30",
38,10-Feb-2010,EQ,315.00,318.40,308.2,313.15,317.00,315.30,315.27,"1,036.00",274.0,5417799,"1,708,044,430.30",
39,09-Feb-2010,EQ,310.00,316.50,307.0,308.35,312.00,313.15,311.95,"1,036.00",274.0,6126301,"1,911,104,104.95",
40,08-Feb-2010,EQ,302.10,310.50,299.4,300.40,309.00,308.35,305.76,"1,036.00",274.0,4808575,"1,470,257,709.30",
41,06-Feb-2010,EQ,301.50,303.00,299.5,300.05,300.45,300.40,300.76,"1,036.00",274.0,388272,"116,775,932.90",
42,05-Feb-2010,EQ,302.00,304.45,294.4,304.10,298.00,300.05,300.03,"1,036.00",274.0,3915719,"1,174,822,037.50",
43,04-Feb-2010,EQ,307.00,309.00,300.5,309.00,306.40,304.10,305.62,"1,036.00",274.0,2578956,"788,179,174.15",
44,03-Feb-2010,EQ,310.00,312.75,306.5,307.65,308.70,309.00,309.42,"1,036.00",274.0,3649370,"1,129,176,993.40",
45,02-Feb-2010,EQ,314.50,315.70,306.1,311.20,307.50,307.65,309.91,"1,036.00",274.0,4593595,"1,423,592,868.95",
46,01-Feb-2010,EQ,305.00,313.70,305.0,306.40,309.00,311.20,309.96,"1,036.00",274.0,3865282,"1,198,095,474.70",
47,29-Jan-2010,EQ,311.00,313.90,304.15,313.65,307.00,306.40,307.41,"1,036.00",274.0,6845712,"2,104,442,796.45",
48,28-Jan-2010,EQ,324.00,327.85,311.0,322.90,314.00,313.65,316.74,"1,036.00",274.0,7620843,"2,413,807,063.15",
49,27-Jan-2010,EQ,329.50,331.80,320.0,330.90,322.00,322.90,326.32,"1,036.00",274.0,5044367,"1,646,071,261.85",
50,25-Jan-2010,EQ,322.15,331.75,318.4,322.15,331.00,330.90,326.58,"1,036.00",274.0,5398902,"1,763,179,080.55",
51,22-Jan-2010,EQ,318.70,330.00,315.0,322.40,323.30,322.15,322.71,"1,036.00",274.0,8696121,"2,806,312,528.20",
52,21-Jan-2010,EQ,330.00,333.00,321.2,331.50,322.00,322.40,327.26,"1,036.00",274.0,3955328,"1,294,404,451.10",
53,20-Jan-2010,EQ,321.55,332.30,321.55,320.55,331.05,331.50,329.56,"1,036.00",274.0,9116756,"3,004,527,763.60",
54,19-Jan-2010,EQ,321.00,325.80,318.1,320.70,319.50,320.55,321.83,"1,036.00",274.0,3884885,"1,250,289,824.10",
55,18-Jan-2010,EQ,317.00,322.70,316.15,317.40,320.75,320.70,320.74,"1,036.00",274.0,3918998,"1,256,985,333.95",
56,15-Jan-2010,EQ,318.00,322.50,316.0,318.05,317.60,317.40,318.68,"1,036.00",274.0,4407407,"1,404,572,902.10",
57,14-Jan-2010,EQ,319.20,322.60,317.2,318.40,317.95,318.05,319.19,"1,036.00",274.0,3920034,"1,251,244,148.90",
58,13-Jan-2010,EQ,321.50,321.95,315.25,322.25,317.90,318.40,318.58,"1,036.00",274.0,4299714,"1,369,784,307.55",
59,12-Jan-2010,EQ,330.10,333.90,320.4,328.95,322.50,322.25,328.79,"1,036.00",274.0,6507716,"2,139,658,743.05",
60,11-Jan-2010,EQ,331.00,331.00,325.5,325.05,330.00,328.95,327.7,"1,036.00",274.0,3143217,"1,030,019,974.10",
61,08-Jan-2010,EQ,329.75,331.45,324.65,329.40,325.45,325.05,328.09,"1,036.00",274.0,2655707,"871,309,206.00",
62,07-Jan-2010,EQ,328.35,334.00,328.0,326.85,329.00,329.40,330.91,"1,036.00",274.0,3868937,"1,280,269,972.60",
63,06-Jan-2010,EQ,332.95,335.15,326.1,330.35,326.90,326.85,331.24,"1,036.00",274.0,4409919,"1,460,756,180.40",
64,05-Jan-2010,EQ,328.25,332.00,325.5,325.20,330.65,330.35,329.36,"1,036.00",274.0,4302024,"1,416,923,854.60",
65,04-Jan-2010,EQ,329.85,332.10,323.85,329.75,325.25,325.20,326.93,"1,036.00",274.0,2952340,"965,208,868.35",
66,31-Dec-2009,EQ,327.65,331.20,326.6,325.70,330.90,329.75,328.71,"1,036.00",274.0,3907096,"1,284,316,279.35",
67,30-Dec-2009,EQ,328.25,329.90,324.1,325.95,325.70,325.70,326.6,"1,036.00",274.0,2534361,"827,726,973.50",
68,29-Dec-2009,EQ,327.00,329.00,323.0,321.15,326.65,325.95,326.74,"1,036.00",274.0,3043772,"994,536,878.70",
69,24-Dec-2009,EQ,327.80,331.50,319.3,326.25,321.50,321.15,324.44,"1,036.00",274.0,4424630,"1,435,524,584.20",
70,23-Dec-2009,EQ,320.55,327.00,317.6,321.95,326.00,326.25,323.02,"1,036.00",274.0,5016638,"1,620,491,712.75",
71,22-Dec-2009,EQ,312.00,322.80,310.0,310.10,321.50,321.95,318.31,"1,036.00",274.0,7562290,"2,407,137,139.40",
72,21-Dec-2009,EQ,318.00,319.85,309.05,317.85,309.05,310.10,312.63,"1,036.00",274.0,5144477,"1,608,304,286.80",
73,18-Dec-2009,EQ,322.00,323.80,315.75,324.30,317.50,317.85,319.62,"1,036.00",274.0,3910978,"1,250,007,552.85",
74,17-Dec-2009,EQ,300.00,329.10,300.0,325.50,324.00,324.30,322.29,"1,036.00",274.0,6311591,"2,034,134,004.85",
75,16-Dec-2009,EQ,316.60,327.50,316.6,316.85,327.15,325.50,323.08,"1,036.00",274.0,6418634,"2,073,749,140.40",
76,15-Dec-2009,EQ,320.00,323.50,314.4,319.55,317.00,316.85,317.74,"1,036.00",274.0,6803212,"2,161,657,444.20",
77,14-Dec-2009,EQ,336.00,336.70,318.5,331.55,319.35,319.55,323.52,"1,036.00",274.0,7517994,"2,432,187,494.80",
78,11-Dec-2009,EQ,346.00,348.80,329.4,342.40,330.90,331.55,336.31,"1,036.00",274.0,13061363,"4,392,631,137.45",
79,10-Dec-2009,EQ,332.10,344.90,329.15,331.20,342.65,342.40,340.33,"1,036.00",274.0,20865745,"7,101,211,946.20",
80,09-Dec-2009,EQ,325.10,336.80,325.1,328.55,327.95,331.20,331.19,"1,036.00",274.0,13673465,"4,528,542,785.35",
81,08-Dec-2009,EQ,316.00,332.35,315.0,316.40,331.30,328.55,324.04,"1,036.00",274.0,11679337,"3,784,604,332.60",
