,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,09-Apr-2010,EQ,785.0,814.35,780.0,778.05,809.95,809.65,802.23,844.7,197.0,5807160,"4,658,702,042.40",
1,08-Apr-2010,EQ,796.0,797.0,769.4,795.35,779.1,778.05,780.98,844.7,197.0,2248784,"1,756,251,092.25",
2,07-Apr-2010,EQ,774.95,798.0,774.5,774.15,797.1,795.35,787.99,844.7,197.0,3973233,"3,130,866,865.95",
3,06-Apr-2010,EQ,784.9,785.9,768.5,781.45,772.5,774.15,774.27,844.7,197.0,2358889,"1,826,418,633.80",
4,05-Apr-2010,EQ,783.15,788.0,756.0,777.65,782.5,781.45,781.75,844.7,197.0,3188203,"2,492,364,036.65",
5,01-Apr-2010,EQ,760.0,780.0,760.0,757.7,779.7,777.65,769.7,844.7,168.75,3958900,"3,047,182,626.65",
6,31-Mar-2010,EQ,758.0,766.5,751.2,755.95,755.5,757.7,758.67,844.7,168.75,3197088,"2,425,526,074.80",
7,30-Mar-2010,EQ,744.9,759.6,740.6,740.6,757.15,755.95,752.42,844.7,168.75,5530056,"4,160,931,105.40",
8,29-Mar-2010,EQ,753.1,759.5,735.05,749.75,740.55,740.6,744.05,844.7,168.75,5205702,"3,873,287,319.25",
9,26-Mar-2010,EQ,731.5,756.8,728.4,725.2,746.9,749.75,742.19,844.7,155.1,7802565,"5,790,952,922.75",
10,25-Mar-2010,EQ,745.0,753.0,714.25,739.3,724.4,725.2,723.02,844.7,155.1,8706893,"6,295,260,399.40",
11,23-Mar-2010,EQ,760.0,768.45,736.0,760.2,738.7,739.3,746.53,844.7,155.1,4765364,"3,557,490,480.15",
12,22-Mar-2010,EQ,777.0,783.25,758.6,783.65,759.95,760.2,770.47,844.7,155.1,3003303,"2,313,955,820.60",
13,19-Mar-2010,EQ,775.5,786.45,775.0,780.3,782.55,783.65,782.44,844.7,155.1,1971117,"1,542,272,765.75",
14,18-Mar-2010,EQ,782.7,789.0,774.2,780.5,781.0,780.3,779.53,844.7,155.1,2039936,"1,590,183,860.95",
15,17-Mar-2010,EQ,789.8,795.75,778.0,786.05,778.5,780.5,787.58,844.7,155.1,3721662,"2,931,114,275.95",
16,16-Mar-2010,EQ,773.0,788.35,772.1,769.1,785.6,786.05,780.06,844.7,155.1,2849700,"2,222,944,997.40",
17,15-Mar-2010,EQ,755.0,775.7,752.0,760.9,771.35,769.1,767.37,844.7,155.1,3471375,"2,663,817,390.85",
18,12-Mar-2010,EQ,773.0,779.05,758.85,770.4,761.2,760.9,767.69,844.7,135.2,3569436,"2,740,206,697.25",
19,11-Mar-2010,EQ,780.0,782.8,766.75,778.75,771.1,770.4,772.92,844.7,135.2,2616947,"2,022,697,073.45",
20,10-Mar-2010,EQ,778.0,792.8,775.45,776.05,780.0,778.75,784.27,844.7,135.2,4505879,"3,533,805,434.85",
21,09-Mar-2010,EQ,785.0,785.0,763.0,797.65,777.85,776.05,773.46,844.7,135.2,11411245,"8,826,096,896.05",
