"INDEX ","CURRENT ","%CHNG ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","PREV. DAY ","1W AGO ","1M AGO ","1Y AGO ","52W H ","52W L "
"NIFTY 50","9,111.90","4.15","8,973.05","9,128.35","8,904.55","8,748.75","9,111.90","8,253.80","10,989.45","11,643.45","12,430.50","7,511.10"
"NIFTY NEXT 50","22,898.85","3.33","22,602.80","23,044.30","22,582.30","22,139.65","22,898.85","20,664.55","26,291.85","28,271.10","29,259.50","18,384.05"
"NIFTY 100","9,282.85","3.91","9,144.10","9,300.05","9,088.00","8,921.30","9,282.85","8,404.15","11,119.65","11,807.85","12,544.40","7,624.85"
"NIFTY 200","4,718.25","3.85","4,648.95","4,727.05","4,622.50","4,537.55","4,718.25","4,275.70","5,703.60","6,085.00","6,421.10","3,893.05"
"NIFTY 500","7,441.65","3.79","7,335.20","7,454.90","7,298.40","7,161.45","7,441.65","6,761.95","9,059.95","9,674.60","10,174.95","6,151.60"
"NIFTY MIDCAP 50","3,420.95","4.03","3,355.05","3,427.75","3,349.45","3,287.80","3,420.95","3,095.45","4,380.20","5,062.20","5,104.55","2,855.35"
"NIFTY MIDCAP 100","12,553.50","3.32","12,397.65","12,581.40","12,374.80","12,143.55","12,553.50","11,470.95","16,375.15","18,167.90","18,495.90","10,749.95"
"NIFTY SMALLCAP 100","3,822.15","3.83","3,768.75","3,827.45","3,767.40","3,679.45","3,822.15","3,540.60","5,440.80","6,740.20","6,822.50","3,202.90"
"INDIA VIX","49.75","-5.12","52.24","52.24","46.90","52.24","49.75","60.05","25.64","21.00","86.64","9.16"
"NIFTY MIDCAP 150","4,786.25","3.14","4,726.80","4,796.40","4,721.85","4,637.10","4,786.25","4,411.65","6,135.45","6,472.75","6,808.20","4,088.05"
"NIFTY SMALLCAP 50","1,812.75","3.67","1,785.25","1,816.85","1,784.60","1,747.45","1,812.75","1,702.00","2,588.40","3,274.00","3,314.75","1,545.45"
"NIFTY SMALLCAP 250","3,412.70","3.40","3,382.50","3,414.90","3,378.45","3,299.60","3,412.70","3,170.30","4,665.95","5,480.15","5,539.50","2,867.40"
"NIFTY MIDSMALLCAP 400","4,291.45","3.22","4,242.60","4,298.60","4,239.10","4,155.20","4,291.45","3,964.60","5,608.50","6,124.40","6,262.30","3,650.20"
"NIFTY BANK","19,913.60","4.84","19,553.15","19,988.30","19,166.90","18,946.45","19,913.60","18,208.35","27,801.45","29,938.55","32,613.10","16,116.25"
"NIFTY AUTO","5,568.45","10.52","5,160.85","5,607.35","5,146.40","5,043.60","5,568.45","4,657.55","6,895.00","8,777.45","9,059.35","4,452.20"
"NIFTY FINANCIAL SERVICES","9,803.00","5.81","9,485.00","9,836.35","9,424.70","9,243.45","9,803.00","8,942.55","13,082.50","12,495.60","14,747.70","7,984.20"
"NIFTY FMCG","28,953.20","0.29","29,500.75","29,501.20","28,764.25","28,839.90","28,953.20","26,358.80","28,937.00","30,533.70","32,644.90","22,699.05"
"NIFTY IT","12,728.55","1.88","12,810.80","12,867.35","12,648.80","12,491.55","12,728.55","12,045.85","15,663.45","15,911.10","16,882.45","10,991.25"
"NIFTY MEDIA","1,105.45","4.10","1,086.85","1,114.65","1,077.70","1,064.25","1,105.45","1,001.25","1,527.15","2,442.85","2,457.80","972.95"
"NIFTY METAL","1,705.45","4.99","1,665.30","1,709.55","1,660.10","1,624.85","1,705.45","1,553.55","2,183.90","3,071.60","3,177.40","1,480.70"
"NIFTY PHARMA","8,800.45","4.47","8,739.50","9,032.40","8,706.40","8,412.20","8,800.45","7,026.70","8,018.30","9,426.45","9,578.40","6,242.85"
"NIFTY PSU BANK","1,302.35","3.17","1,282.30","1,316.55","1,270.60","1,261.25","1,302.35","1,283.10","1,794.80","3,302.25","3,423.50","1,218.30"
"NIFTY PRIVATE BANK","10,695.00","5.05","10,503.60","10,732.60","10,276.00","10,158.40","10,695.00","9,685.10","15,259.50","17,032.20","18,030.20","8,487.25"
"NIFTY REALTY","185.75","2.69","183.55","187.05","179.95","180.50","185.75","172.10","269.75","275.70","336.35","165.35"
"NIFTY DIVIDEND OPPORTUNITIES 50","2,038.25","2.22","2,036.70","2,044.45","2,013.05","1,993.55","2,038.25","1,869.25","2,291.85","2,703.00","2,743.85","1,712.30"
"NIFTY GROWTH SECTORS 15","4,878.10","4.44","4,781.15","4,892.40","4,737.85","4,663.15","4,878.10","4,356.45","5,769.85","6,157.85","6,514.15","3,949.25"
"NIFTY100 QUALITY 30","2,233.70","2.72","2,222.25","2,238.50","2,200.40","2,171.05","2,233.70","2,043.55","2,580.95","2,744.75","-","-"
"NIFTY50 VALUE 20","4,577.90","1.86","4,601.10","4,601.50","4,525.05","4,493.50","4,577.90","4,208.85","5,082.85","5,566.55","5,701.90","3,821.10"
"NIFTY50 TR 2X LEVERAGE","3,555.35","8.00","3,451.15","3,567.30","3,399.85","3,283.00","3,555.35","2,944.00","5,534.20","6,505.95","7,145.95","2,465.75"
"NIFTY50 PR 2X LEVERAGE","2,716.05","8.00","2,636.45","2,725.20","2,597.25","2,508.00","2,716.05","2,249.00","4,247.10","5,108.40","5,496.70","1,883.80"
"NIFTY50 TR 1X INVERSE","424.50","-4.00","431.50","434.95","423.65","442.85","424.50","472.95","374.25","347.80","525.50","330.80"
"NIFTY50 PR 1X INVERSE","485.35","-3.99","493.35","497.30","484.40","506.30","485.35","540.75","427.10","392.45","600.80","377.10"
"NIFTY50 DIVIDEND POINTS","-","-","-","-","-","-","-","-","131.85","-","-","-"
"NIFTY ALPHA 50","10,953.65","2.78","10,854.25","11,016.15","10,829.40","10,641.00","10,953.65","9,976.75","13,013.00","12,228.70","-","-"
"NIFTY50 EQUAL WEIGHT","9,315.25","4.25","9,172.30","9,327.80","9,126.10","8,929.90","9,315.25","8,308.50","10,985.75","12,870.70","-","-"
"NIFTY100 EQUAL WEIGHT","10,214.20","3.88","10,054.70","10,231.30","10,037.40","9,825.85","10,214.20","9,208.20","11,979.00","13,617.00","-","-"
"NIFTY100 LOW VOLATILITY 30","7,549.15","3.40","7,493.40","7,562.20","7,436.75","7,292.65","7,549.15","6,823.40","8,413.20","8,887.70","-","-"
"NIFTY200 QUALITY 30","8,541.90","2.67","8,495.55","8,568.90","8,430.05","8,308.60","8,541.90","7,799.20","9,506.75","9,745.75","-","-"
"NIFTY COMMODITIES","2,436.60","3.41","2,406.85","2,442.35","2,391.75","2,355.90","2,436.60","2,227.45","2,958.50","3,602.80","3,753.85","2,068.80"
"NIFTY INDIA CONSUMPTION","4,459.95","4.07","4,382.75","4,473.10","4,356.40","4,286.45","4,459.95","3,956.40","4,841.90","4,891.15","5,197.05","3,614.85"
"NIFTY CPSE","1,374.60","3.36","1,358.60","1,382.45","1,347.35","1,331.15","1,374.60","1,276.75","1,545.65","2,250.20","2,398.00","1,136.65"
"NIFTY ENERGY","11,987.00","2.63","11,916.25","12,037.25","11,818.55","11,685.15","11,987.00","10,771.90","13,342.60","16,169.75","16,841.85","9,750.00"
"NIFTY INFRASTRUCTURE","2,520.15","3.22","2,487.55","2,526.15","2,471.30","2,439.40","2,520.15","2,283.60","2,949.55","3,194.25","3,453.30","2,072.60"
"NIFTY100 LIQUID 15","2,329.80","6.10","2,256.85","2,336.70","2,247.55","2,196.10","2,329.80","2,028.05","3,142.05","4,127.20","4,196.30","1,878.95"
"NIFTY MIDCAP LIQUID 15","2,916.30","4.46","2,829.80","2,921.65","2,828.90","2,791.70","2,916.30","2,671.55","3,846.05","4,282.85","4,437.55","2,448.20"
"NIFTY MNC","11,940.60","3.09","11,821.40","11,960.85","11,743.15","11,592.35","11,940.60","10,791.10","13,332.00","13,471.80","14,356.20","9,648.20"
"NIFTY PSE","2,330.80","3.11","2,303.30","2,342.50","2,289.50","2,262.55","2,330.80","2,146.65","2,679.65","3,540.35","3,719.55","1,952.20"
"NIFTY SERVICES SECTOR","12,351.85","4.64","12,100.80","12,379.10","12,017.55","11,785.60","12,351.85","11,337.60","15,944.10","16,171.90","17,743.20","10,401.30"
"NIFTY 8-13 YR G-SEC","2,073.28","0.01","2,073.28","2,073.28","2,073.28","2,072.89","2,073.28","2,108.81","2,103.79","1,842.98","-","-"
"NIFTY 10 YR BENCHMARK G-SEC","1,915.12","0.01","1,915.12","1,915.12","1,915.12","1,914.78","1,915.12","1,953.70","1,940.57","1,705.45","-","-"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","951.52","-","951.52","951.52","951.52","951.52","951.52","972.07","969.93","903.41","-","-"
"NIFTY 4-8 YR G-SEC INDEX","2,199.69","0.01","2,199.69","2,199.69","2,199.69","2,199.28","2,199.69","2,225.20","2,231.74","1,971.62","-","-"
"NIFTY 11-15 YR G-SEC INDEX","2,211.30","0.01","2,211.30","2,211.30","2,211.30","2,210.87","2,211.30","2,251.92","2,260.94","1,934.69","-","-"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","2,436.42","0.01","2,436.42","2,436.42","2,436.42","2,435.96","2,436.42","2,483.80","2,498.65","2,080.84","-","-"
