"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2014","EQ","778.00","800.00","771.70","783.40","777.90","780.00","784.20","809.70","561.00",19002,"14,901,316.85",1635
"10-Apr-2014","EQ","789.95","790.00","775.00","785.35","785.00","783.40","780.65","809.70","561.00",35134,"27,427,394.30",1943
"09-Apr-2014","EQ","770.00","794.00","770.00","770.50","784.05","785.35","781.20","809.70","561.00",26187,"20,457,165.60",1531
"07-Apr-2014","EQ","783.00","793.00","758.60","782.65","775.70","770.50","772.57","809.70","561.00",11015,"8,509,887.00",993
"04-Apr-2014","EQ","783.45","791.00","769.00","780.70","785.00","782.65","778.89","809.70","561.00",19869,"15,475,766.85",1395
"03-Apr-2014","EQ","768.00","786.80","749.95","788.40","779.90","780.70","772.93","809.70","561.00",76082,"58,806,063.20",3241
"02-Apr-2014","EQ","800.00","809.70","771.60","781.50","790.00","788.40","790.33","809.70","561.00",57559,"45,490,835.00",2313
"01-Apr-2014","EQ","794.45","799.90","776.55","788.05","779.00","781.50","791.03","799.90","561.00",50128,"39,652,859.40",2487
"31-Mar-2014","EQ","771.00","795.00","765.10","766.30","786.10","788.05","786.79","795.00","561.00",56181,"44,202,479.05",3902
"28-Mar-2014","EQ","743.95","768.95","742.50","742.55","765.20","766.30","760.54","795.00","561.00",74465,"56,633,737.90",4220
"27-Mar-2014","EQ","716.60","745.00","716.60","727.55","742.55","742.55","738.59","795.00","561.00",52279,"38,612,649.35",3288
"26-Mar-2014","EQ","711.55","730.85","711.55","715.25","725.00","727.55","722.85","795.00","561.00",28327,"20,476,110.80",2217
"25-Mar-2014","EQ","710.30","721.65","710.30","715.20","715.00","715.25","716.31","795.00","561.00",19364,"13,870,569.70",1548
"24-Mar-2014","EQ","714.00","724.95","710.10","720.60","715.00","715.20","717.25","795.00","561.00",24367,"17,477,328.05",1592
"22-Mar-2014","EQ","720.00","726.00","716.00","715.05","717.00","720.60","721.74","797.05","561.00",5600,"4,041,755.00",382
