"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","388.00","390.80","383.35","385.55","385.00","385.30","386.38","564.80","332.75",6933891,"2,679,148,436.45",80776
"10-Apr-2018","EQ","381.05","386.70","374.50","380.30","385.00","385.55","379.78","564.80","332.75",11969955,"4,545,997,178.15",157925
"09-Apr-2018","EQ","382.90","386.70","376.65","384.95","380.00","380.30","381.47","564.80","332.75",11983251,"4,571,306,956.25",142012
"06-Apr-2018","EQ","394.20","396.50","383.10","393.90","383.95","384.95","386.64","564.80","332.75",8494868,"3,284,413,652.60",83866
"05-Apr-2018","EQ","398.10","400.90","391.15","395.05","394.00","393.90","394.28","564.80","332.75",8784680,"3,463,623,310.75",52388
"04-Apr-2018","EQ","404.00","404.80","392.95","402.20","394.70","395.05","399.14","564.80","332.75",3627666,"1,447,940,373.30",48147
"03-Apr-2018","EQ","391.25","404.00","391.25","395.10","401.00","402.20","397.83","564.80","332.75",4559620,"1,813,955,454.45",60880
"02-Apr-2018","EQ","399.50","401.75","390.50","398.70","394.40","395.10","394.41","564.80","332.75",4986921,"1,966,895,002.65",77480
"28-Mar-2018","EQ","411.00","413.05","395.40","413.20","397.85","398.70","401.15","564.80","332.75",10286301,"4,126,318,686.65",162980
"27-Mar-2018","EQ","422.00","422.40","408.20","421.50","413.05","413.20","413.44","564.80","332.75",6080433,"2,513,909,840.35",94123
"26-Mar-2018","EQ","412.00","423.00","406.60","412.70","420.60","421.50","414.50","564.80","332.75",4402440,"1,824,805,264.75",81083
"23-Mar-2018","EQ","412.65","418.95","405.20","415.60","412.20","412.70","410.49","564.80","325.80",5133743,"2,107,338,020.25",54173
"22-Mar-2018","EQ","414.00","420.25","412.10","418.20","416.00","415.60","416.04","564.80","325.80",4850714,"2,018,086,895.30",71771
"21-Mar-2018","EQ","403.00","420.15","402.20","400.40","417.70","418.20","414.56","564.80","325.80",8351422,"3,462,131,491.65",89398
"20-Mar-2018","EQ","399.00","403.50","392.70","399.65","400.00","400.40","397.73","564.80","325.80",7463026,"2,968,282,482.30",78485
"19-Mar-2018","EQ","418.00","421.60","396.70","416.75","399.55","399.65","407.00","564.80","325.80",5408078,"2,201,078,297.45",60218
"16-Mar-2018","EQ","415.25","426.75","413.65","420.45","419.80","416.75","419.09","564.80","325.80",7237424,"3,033,151,322.10",82953
"15-Mar-2018","EQ","422.60","424.30","417.25","422.60","420.50","420.45","420.51","564.80","325.80",3277154,"1,378,090,972.70",33697
"14-Mar-2018","EQ","425.90","425.90","418.55","426.30","421.30","422.60","421.47","564.80","325.80",3780338,"1,593,287,326.95",34825
"13-Mar-2018","EQ","423.00","429.80","420.15","421.55","427.50","426.30","424.65","564.80","325.80",5148679,"2,186,404,117.15",51238
"12-Mar-2018","EQ","405.00","424.50","404.00","402.15","423.10","421.55","415.19","564.80","325.80",7558993,"3,138,406,645.80",81680
"09-Mar-2018","EQ","404.90","408.50","397.55","401.30","403.05","402.15","403.65","564.80","325.80",4590422,"1,852,902,775.50",51220
"08-Mar-2018","EQ","411.50","414.10","395.00","403.20","402.00","401.30","406.07","564.80","325.80",7808565,"3,170,860,649.40",67782
"07-Mar-2018","EQ","410.65","416.30","391.25","413.90","402.95","403.20","403.48","564.80","325.80",10873348,"4,387,202,276.95",77729
"06-Mar-2018","EQ","423.70","427.65","410.60","421.45","410.65","413.90","421.39","564.80","325.80",3789549,"1,596,867,751.80",53682
"05-Mar-2018","EQ","426.95","427.10","417.60","427.75","422.00","421.45","422.32","564.80","325.80",3482148,"1,470,564,009.60",51073
"01-Mar-2018","EQ","429.05","436.60","425.75","428.55","426.30","427.75","432.43","564.80","325.80",5260644,"2,274,864,995.30",63861
"28-Feb-2018","EQ","430.00","433.50","425.90","430.50","430.00","428.55","428.73","564.80","325.80",23360784,"10,015,547,850.00",130036
"27-Feb-2018","EQ","425.80","432.65","424.30","423.15","431.95","430.50","428.32","564.80","325.80",4675953,"2,002,810,239.95",72736
"26-Feb-2018","EQ","430.00","430.00","420.85","425.55","423.00","423.15","424.12","564.80","325.80",3669690,"1,556,392,206.95",56678
"23-Feb-2018","EQ","419.00","428.20","417.10","416.10","424.70","425.55","425.05","564.80","325.80",6763260,"2,874,731,315.15",68078
"22-Feb-2018","EQ","418.80","419.25","413.35","419.65","415.95","416.10","417.08","564.80","325.80",9706094,"4,048,242,119.50",86465
"21-Feb-2018","EQ","420.00","422.50","417.35","418.10","419.30","419.65","419.78","564.80","325.80",4264637,"1,790,226,374.05",70796
"20-Feb-2018","EQ","415.10","422.20","415.10","414.35","418.20","418.10","419.14","564.80","325.80",7230257,"3,030,517,712.35",71099
"19-Feb-2018","EQ","419.85","420.00","403.20","419.70","413.75","414.35","411.30","564.80","325.80",5819508,"2,393,554,591.35",72298
"16-Feb-2018","EQ","434.95","434.95","418.40","428.95","419.85","419.70","425.88","564.80","325.80",3968970,"1,690,317,541.85",52457
"15-Feb-2018","EQ","439.30","439.30","426.70","434.80","428.70","428.95","432.72","564.80","325.80",4130548,"1,787,371,623.00",68759
"14-Feb-2018","EQ","426.30","438.50","426.30","424.40","431.50","434.80","434.46","564.80","325.80",9434541,"4,098,915,067.10",88721
"12-Feb-2018","EQ","429.80","431.00","421.35","422.50","423.40","424.40","425.79","564.80","325.80",3593521,"1,530,091,232.15",39877
"09-Feb-2018","EQ","424.00","433.95","419.70","429.80","423.00","422.50","425.64","564.80","325.80",4861350,"2,069,199,478.45",64603
"08-Feb-2018","EQ","434.00","436.00","425.00","430.25","430.60","429.80","430.14","564.80","325.80",5563903,"2,393,271,001.25",64755
"07-Feb-2018","EQ","444.95","449.40","427.10","439.15","428.10","430.25","435.53","564.80","325.80",9898121,"4,310,934,712.75",107360
"06-Feb-2018","EQ","420.00","447.75","418.55","440.20","440.50","439.15","436.56","564.80","325.80",8409695,"3,671,313,436.25",106185
"05-Feb-2018","EQ","417.75","446.75","411.20","422.35","443.40","440.20","437.64","564.80","325.80",13591277,"5,948,118,649.00",130911
"02-Feb-2018","EQ","437.80","440.50","415.80","438.40","418.00","422.35","430.96","564.80","322.10",6009663,"2,589,915,486.05",95828
"01-Feb-2018","EQ","440.05","447.00","430.10","439.85","440.80","438.40","437.11","564.80","322.10",7297226,"3,189,690,677.55",90476
"31-Jan-2018","EQ","442.50","446.00","436.40","440.60","439.55","439.85","441.71","564.80","322.10",6371320,"2,814,264,850.50",64473
