"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","560.70","564.00","558.50","558.15","560.00","561.50","560.81","663.40","480.20",1789789,"1,003,733,353.15",23652
"10-Apr-2018","EQ","558.00","567.00","556.60","556.75","557.70","558.15","561.63","663.40","480.20",1591682,"893,938,904.25",43864
"09-Apr-2018","EQ","565.90","565.90","555.50","558.95","555.70","556.75","559.65","663.40","480.20",1470765,"823,112,935.15",38324
"06-Apr-2018","EQ","560.30","571.00","557.25","560.35","559.80","558.95","562.39","663.40","480.20",2420324,"1,361,154,204.45",54774
"05-Apr-2018","EQ","574.00","578.55","558.35","569.80","560.00","560.35","563.94","663.40","480.20",2396864,"1,351,681,592.10",28863
"04-Apr-2018","EQ","572.35","575.45","564.50","570.30","571.50","569.80","569.35","663.40","480.20",1852997,"1,055,012,101.05",36414
"03-Apr-2018","EQ","572.00","578.35","568.80","576.25","571.00","570.30","572.39","663.40","480.20",2493190,"1,427,080,985.55",60178
"02-Apr-2018","EQ","548.00","578.95","545.90","545.45","578.00","576.25","568.96","663.40","480.20",2823880,"1,606,680,223.60",84475
"28-Mar-2018","EQ","544.00","548.80","534.00","545.05","546.05","545.45","542.01","663.40","480.20",2667979,"1,446,077,238.45",56947
"27-Mar-2018","EQ","541.00","549.00","541.00","541.80","545.00","545.05","544.95","663.40","480.20",2206872,"1,202,624,571.45",38803
"26-Mar-2018","EQ","538.15","544.60","532.95","538.40","541.50","541.80","541.07","663.40","480.20",1105319,"598,055,510.40",19782
"23-Mar-2018","EQ","539.00","540.70","534.00","540.75","536.20","538.40","537.53","663.40","480.20",1203262,"646,784,724.20",24811
"22-Mar-2018","EQ","551.90","555.00","538.15","551.05","540.50","540.75","545.62","663.40","480.20",1506405,"821,921,006.35",26789
"21-Mar-2018","EQ","558.50","567.45","546.40","552.90","551.00","551.05","559.49","663.40","480.20",3091963,"1,729,908,902.70",49598
"20-Mar-2018","EQ","555.10","561.85","522.90","559.75","555.25","552.90","546.73","663.40","480.20",9119209,"4,985,721,539.60",107504
"19-Mar-2018","EQ","563.65","566.90","555.40","559.40","556.40","559.75","560.80","663.40","480.20",1447941,"812,007,561.75",35857
"16-Mar-2018","EQ","570.10","574.00","557.05","571.15","561.85","559.40","561.66","663.40","480.20",1867538,"1,048,914,215.80",41846
"15-Mar-2018","EQ","578.00","579.60","569.00","577.90","570.75","571.15","573.59","663.40","480.20",849222,"487,105,092.75",20337
"14-Mar-2018","EQ","578.35","583.80","571.65","578.75","577.60","577.90","575.92","663.40","480.20",811747,"467,504,896.65",20853
"13-Mar-2018","EQ","579.00","582.90","575.15","580.65","580.35","578.75","579.32","663.40","480.20",801792,"464,496,250.95",34299
"12-Mar-2018","EQ","575.05","582.20","563.55","571.05","578.70","580.65","573.86","663.40","480.20",919792,"527,827,403.15",29567
"09-Mar-2018","EQ","579.95","585.20","568.05","578.00","572.90","571.05","577.04","663.40","480.20",1149194,"663,134,195.45",25608
"08-Mar-2018","EQ","584.00","584.00","574.00","580.20","576.00","578.00","579.00","663.40","480.20",1084582,"627,977,637.40",27340
"07-Mar-2018","EQ","587.45","589.10","578.20","584.10","580.00","580.20","583.49","663.40","480.20",1849650,"1,079,256,441.70",31700
"06-Mar-2018","EQ","581.60","589.40","580.05","579.25","585.00","584.10","585.32","663.40","480.20",1891302,"1,107,025,403.50",50801
"05-Mar-2018","EQ","582.10","585.00","578.05","581.70","580.50","579.25","580.82","663.40","480.20",1179725,"685,205,241.60",27175
"01-Mar-2018","EQ","593.90","593.90","580.40","589.65","585.00","581.70","585.40","663.40","480.20",1343806,"786,663,635.35",23762
"28-Feb-2018","EQ","590.00","596.60","587.10","586.50","591.00","589.65","592.28","663.40","480.20",2255189,"1,335,695,161.70",48667
"27-Feb-2018","EQ","591.70","598.90","583.10","590.10","586.65","586.50","590.04","663.40","480.20",1349590,"796,305,481.15",26690
"26-Feb-2018","EQ","596.25","598.30","588.75","595.65","589.50","590.10","592.66","663.40","480.20",1417465,"840,072,974.65",30252
"23-Feb-2018","EQ","591.80","605.00","590.00","589.65","594.00","595.65","597.82","663.40","480.20",1576584,"942,521,102.55",41664
"22-Feb-2018","EQ","595.00","597.25","586.60","597.25","588.00","589.65","590.88","663.40","480.20",1859008,"1,098,451,899.20",23547
"21-Feb-2018","EQ","607.00","607.75","589.25","603.45","595.00","597.25","597.23","663.40","480.20",1409752,"841,941,842.60",21356
"20-Feb-2018","EQ","603.45","606.10","592.00","600.40","603.50","603.45","598.70","663.40","480.20",1599249,"957,469,220.35",28717
"19-Feb-2018","EQ","612.00","612.15","594.35","611.10","600.95","600.40","600.60","663.40","480.20",1216005,"730,333,179.55",26068
"16-Feb-2018","EQ","611.30","613.95","605.50","605.85","609.40","611.10","610.17","663.40","480.20",906025,"552,829,097.45",19179
"15-Feb-2018","EQ","613.25","621.45","602.95","616.15","606.05","605.85","612.82","663.40","480.20",1391858,"852,958,651.40",35104
"14-Feb-2018","EQ","622.10","630.30","611.50","621.65","613.25","616.15","621.56","663.40","480.20",1306512,"812,072,619.45",24024
"12-Feb-2018","EQ","629.35","635.00","618.85","621.40","621.00","621.65","626.83","663.40","480.20",1957424,"1,226,965,228.20",38989
"09-Feb-2018","EQ","595.00","626.00","595.00","612.65","626.00","621.40","612.92","663.40","480.20",2373799,"1,454,947,096.25",39085
"08-Feb-2018","EQ","584.00","617.15","580.15","569.25","616.00","612.65","605.33","663.40","480.20",8349913,"5,054,434,530.00",128224
"07-Feb-2018","EQ","578.50","579.90","554.20","564.25","570.00","569.25","565.21","663.40","480.20",3161498,"1,786,896,466.25",47020
"06-Feb-2018","EQ","561.00","572.00","558.05","580.10","561.95","564.25","563.60","663.40","480.20",1284112,"723,724,433.85",41667
"05-Feb-2018","EQ","576.00","582.10","571.20","581.15","580.10","580.10","576.29","663.40","480.20",797017,"459,310,065.85",29462
"02-Feb-2018","EQ","586.00","593.90","575.10","587.05","579.00","581.15","586.40","663.40","480.20",998752,"585,668,646.25",19312
"01-Feb-2018","EQ","591.90","597.00","580.20","592.15","590.25","587.05","589.29","663.40","480.20",1050098,"618,808,220.00",30800
"31-Jan-2018","EQ","608.00","608.50","590.00","605.95","591.80","592.15","594.81","663.40","480.20",1264055,"751,874,917.70",34253
"30-Jan-2018","EQ","613.00","613.10","603.20","615.00","605.85","605.95","607.48","663.40","480.20",596682,"362,471,240.80",18491
"29-Jan-2018","EQ","624.95","628.40","611.10","621.40","612.05","615.00","618.70","663.40","480.20",1564268,"967,813,094.60",26376
"25-Jan-2018","EQ","618.15","631.00","613.70","618.30","620.15","621.40","621.76","663.40","480.20",2973765,"1,848,966,980.95",56525
"24-Jan-2018","EQ","621.95","623.75","612.90","622.35","618.15","618.30","618.18","663.40","480.20",1089562,"673,541,999.85",25501
"23-Jan-2018","EQ","602.50","625.00","600.30","601.15","622.65","622.35","617.94","663.40","480.20",2105060,"1,300,798,389.90",41993
"22-Jan-2018","EQ","604.40","605.00","593.10","602.75","601.00","601.15","598.49","663.40","480.20",933769,"558,853,448.40",19162
"19-Jan-2018","EQ","603.65","605.10","600.15","603.65","605.00","602.75","602.35","663.40","480.20",818518,"493,036,458.70",15150
"18-Jan-2018","EQ","608.10","612.95","598.25","607.15","603.65","603.65","604.21","663.40","480.20",1028921,"621,680,039.05",30950
"17-Jan-2018","EQ","601.05","610.60","597.05","601.40","610.00","607.15","603.84","663.40","480.20",883340,"533,392,696.05",18520
"16-Jan-2018","EQ","610.15","613.50","599.00","610.25","600.60","601.40","604.53","663.40","480.20",1088762,"658,194,427.00",25526
"15-Jan-2018","EQ","612.50","615.50","608.20","612.10","611.30","610.25","611.69","663.40","480.20",470386,"287,731,067.35",14983
"12-Jan-2018","EQ","614.00","618.40","603.10","612.35","612.00","612.10","610.77","663.40","480.20",891848,"544,712,636.80",17088
"11-Jan-2018","EQ","619.00","619.00","609.10","619.75","612.05","612.35","611.89","663.40","480.20",1092457,"668,464,356.50",27909
"10-Jan-2018","EQ","616.00","624.15","612.85","615.60","617.05","619.75","619.23","663.40","480.20",1207313,"747,600,809.05",20215
"09-Jan-2018","EQ","617.00","618.65","610.65","615.05","614.30","615.60","615.53","663.40","480.20",846158,"520,839,834.05",26011
"08-Jan-2018","EQ","618.50","627.50","612.20","615.15","614.15","615.05","618.73","663.40","480.20",1061612,"656,855,962.35",29645
"05-Jan-2018","EQ","617.00","619.85","611.10","616.75","612.70","615.15","615.96","663.40","480.20",1072254,"660,462,307.55",25058
"04-Jan-2018","EQ","609.45","618.40","603.45","606.80","615.50","616.75","609.13","663.40","480.20",990602,"603,402,889.75",17080
"03-Jan-2018","EQ","611.00","613.90","604.55","607.80","605.00","606.80","609.48","663.40","480.20",771828,"470,411,398.15",15587
"02-Jan-2018","EQ","614.20","619.00","605.50","611.50","610.00","607.80","612.43","663.40","480.20",1038258,"635,863,120.15",18286
"01-Jan-2018","EQ","608.00","617.85","607.00","608.50","616.30","611.50","612.34","663.40","480.20",873546,"534,903,891.50",13525
"29-Dec-2017","EQ","606.15","611.90","604.10","606.05","607.00","608.50","608.20","663.40","480.20",702774,"427,426,995.40",18931
"28-Dec-2017","EQ","614.00","616.15","603.20","612.65","605.00","606.05","608.93","663.40","480.20",1428319,"869,740,242.20",16900
"27-Dec-2017","EQ","613.00","623.75","610.20","611.75","612.40","612.65","617.76","663.40","480.20",1765029,"1,090,366,330.95",29936
"26-Dec-2017","EQ","604.05","614.90","596.10","601.20","612.85","611.75","608.93","663.40","480.20",1239536,"754,792,005.55",22152
"22-Dec-2017","EQ","603.00","604.00","598.85","599.80","602.80","601.20","601.21","663.40","480.20",668806,"402,089,719.05",19727
"21-Dec-2017","EQ","602.95","608.70","596.00","600.65","601.00","599.80","603.32","663.40","480.20",1274585,"768,981,377.80",22152
"20-Dec-2017","EQ","605.70","611.00","597.75","603.90","599.65","600.65","604.75","663.40","480.20",1068145,"645,964,325.70",30475
"19-Dec-2017","EQ","592.45","605.70","592.45","591.65","603.90","603.90","600.07","663.40","480.20",1474696,"884,920,400.00",38454
"18-Dec-2017","EQ","578.40","594.90","571.65","576.45","591.35","591.65","588.35","663.40","480.20",2379562,"1,400,025,147.25",68276
"15-Dec-2017","EQ","597.00","597.00","573.20","590.45","575.20","576.45","579.47","663.40","480.20",4312419,"2,498,910,999.85",56220
"14-Dec-2017","EQ","580.00","593.70","575.10","578.15","592.00","590.45","582.45","663.40","480.20",1428906,"832,262,677.95",22425
"13-Dec-2017","EQ","591.50","598.15","576.35","591.65","579.50","578.15","586.40","663.40","480.20",1197264,"702,076,161.10",16695
"12-Dec-2017","EQ","604.70","606.00","590.00","603.65","591.45","591.65","596.40","663.40","480.20",762200,"454,576,102.80",17839
"11-Dec-2017","EQ","612.00","612.95","597.20","603.10","603.90","603.65","602.73","663.40","480.20",850998,"512,920,618.75",31966
"08-Dec-2017","EQ","595.00","607.00","592.45","593.45","605.00","603.10","598.66","663.40","480.20",606123,"362,859,187.00",17454
"07-Dec-2017","EQ","598.00","600.00","588.30","596.45","594.00","593.45","594.39","663.40","480.20",752359,"447,196,687.75",18632
"06-Dec-2017","EQ","595.80","603.80","594.50","596.45","597.00","596.45","598.29","663.40","480.20",919271,"549,986,831.55",32360
"05-Dec-2017","EQ","595.00","599.85","591.75","596.70","597.65","596.45","594.95","663.40","480.20",979009,"582,460,056.70",41590
"04-Dec-2017","EQ","599.30","602.80","588.80","598.10","595.70","596.70","594.93","663.40","480.20",660077,"392,697,045.45",17169
"01-Dec-2017","EQ","604.50","606.00","593.70","600.90","598.00","598.10","598.41","663.40","480.20",747562,"447,351,299.65",15213
"30-Nov-2017","EQ","605.00","607.85","597.05","607.90","602.40","600.90","600.29","663.40","480.20",1612910,"968,217,855.30",34403
"29-Nov-2017","EQ","615.00","619.40","605.25","611.80","607.00","607.90","611.13","663.40","480.20",1465289,"895,483,060.25",19919
"28-Nov-2017","EQ","616.00","621.70","609.80","614.80","613.20","611.80","615.74","663.40","480.20",1486189,"915,107,007.60",17972
"27-Nov-2017","EQ","617.00","619.90","611.05","615.70","615.00","614.80","614.02","663.40","480.20",1388114,"852,323,437.35",24486
"24-Nov-2017","EQ","619.50","623.90","613.25","617.60","617.20","615.70","618.96","663.40","480.20",1118354,"692,211,184.70",24054
"23-Nov-2017","EQ","619.25","625.20","615.00","619.25","615.35","617.60","619.37","663.40","480.20",792383,"490,775,168.20",17488
"22-Nov-2017","EQ","616.90","625.70","614.00","616.10","620.00","619.25","620.37","663.40","480.20",2014698,"1,249,860,545.30",31737
"21-Nov-2017","EQ","607.00","624.00","607.00","604.25","614.85","616.10","617.44","663.40","480.20",2222545,"1,372,279,206.55",34757
"20-Nov-2017","EQ","605.55","608.00","596.10","608.55","603.80","604.25","600.96","663.40","480.20",1609788,"967,417,726.40",28372
"17-Nov-2017","EQ","607.00","614.90","600.65","592.85","605.75","608.55","609.24","663.40","480.20",1448847,"882,702,591.55",28091
"16-Nov-2017","EQ","595.35","599.45","590.00","593.65","593.50","592.85","593.32","663.40","480.20",1228065,"728,639,618.50",24094
"15-Nov-2017","EQ","602.65","607.95","590.20","602.45","593.30","593.65","598.51","663.40","480.20",1171698,"701,272,130.45",18921
"14-Nov-2017","EQ","598.00","613.30","598.00","602.10","602.60","602.45","607.04","663.40","480.20",1498244,"909,490,365.40",37554
"13-Nov-2017","EQ","610.30","611.30","595.70","609.30","601.75","602.10","603.00","663.40","480.20",1109147,"668,811,205.95",19671
"10-Nov-2017","EQ","617.50","621.50","603.65","614.55","608.35","609.30","613.52","663.40","480.20",1400233,"859,076,870.20",20015
"09-Nov-2017","EQ","624.00","628.00","611.60","622.60","614.60","614.55","617.31","663.40","480.20",1809019,"1,116,718,195.90",25689
"08-Nov-2017","EQ","624.85","637.80","620.00","607.55","621.00","622.60","628.76","663.40","480.20",5570213,"3,502,306,212.00",78597
"07-Nov-2017","EQ","663.40","663.40","602.00","654.80","608.25","607.55","628.76","663.40","480.20",7331364,"4,609,651,324.75",103099
"06-Nov-2017","EQ","637.10","661.00","636.90","640.10","653.00","654.80","649.29","661.00","480.20",2195805,"1,425,718,217.10",47108
"03-Nov-2017","EQ","640.00","648.15","629.55","636.00","640.00","640.10","640.26","648.15","480.20",1722647,"1,102,945,578.65",23537
"02-Nov-2017","EQ","626.40","642.80","625.15","626.75","632.75","636.00","636.56","642.80","480.20",2058898,"1,310,605,076.60",39288
"01-Nov-2017","EQ","628.25","633.35","621.15","627.60","623.00","626.75","628.94","635.90","480.20",1359809,"855,243,422.05",23372
"31-Oct-2017","EQ","629.00","634.90","621.60","626.05","626.25","627.60","628.60","635.90","480.20",1522851,"957,265,682.00",38312
"30-Oct-2017","EQ","623.25","630.00","614.55","625.05","625.50","626.05","624.28","635.90","480.20",1045267,"652,534,102.25",22173
"27-Oct-2017","EQ","625.00","629.80","616.20","611.50","622.90","625.05","624.11","635.90","480.20",2198491,"1,372,093,738.70",50042
"26-Oct-2017","EQ","595.40","616.80","592.55","592.65","614.00","611.50","608.02","635.90","480.20",2002276,"1,217,416,271.85",41543
"25-Oct-2017","EQ","599.00","604.00","589.50","595.05","589.85","592.65","597.91","635.90","480.20",991374,"592,751,809.55",23080
"24-Oct-2017","EQ","600.30","600.65","591.30","592.90","595.00","595.05","596.52","635.90","480.20",1138645,"679,221,180.10",28348
"23-Oct-2017","EQ","613.00","619.45","589.50","607.80","592.10","592.90","599.00","635.90","480.20",1413195,"846,498,247.25",30054
"19-Oct-2017","EQ","613.95","613.95","602.05","611.00","608.00","607.80","608.58","635.90","480.20",151609,"92,265,718.80",3916
"18-Oct-2017","EQ","631.00","631.00","609.00","632.10","610.60","611.00","616.29","635.90","480.20",1185323,"730,505,130.00",19610
"17-Oct-2017","EQ","606.00","635.90","602.00","606.75","631.85","632.10","620.48","635.90","480.20",2563968,"1,590,880,492.60",36831
"16-Oct-2017","EQ","595.00","608.90","594.30","592.85","605.00","606.75","604.31","621.25","480.20",1716771,"1,037,462,172.05",33663
"13-Oct-2017","EQ","590.30","598.25","588.30","589.65","592.90","592.85","593.41","621.25","480.20",936015,"555,441,067.70",23723
"12-Oct-2017","EQ","589.45","593.35","580.30","586.15","591.00","589.65","585.28","621.25","480.20",751507,"439,841,008.60",16287
"11-Oct-2017","EQ","591.00","594.00","579.55","590.15","585.00","586.15","587.63","621.25","480.20",1053561,"619,108,177.35",14866
"10-Oct-2017","EQ","590.00","593.45","585.55","585.55","589.40","590.15","589.29","621.25","480.20",741493,"436,955,231.70",17887
"09-Oct-2017","EQ","584.90","595.50","578.50","585.40","587.00","585.55","590.33","621.25","480.20",1116280,"658,975,127.45",18619
"06-Oct-2017","EQ","586.10","589.20","582.85","585.35","585.10","585.40","586.58","621.25","480.20",462656,"271,383,553.00",12985
"05-Oct-2017","EQ","583.00","590.00","579.05","581.05","585.00","585.35","586.91","621.25","480.20",647977,"380,304,418.25",21279
"04-Oct-2017","EQ","579.90","587.40","579.30","578.90","583.05","581.05","583.72","621.25","480.20",631463,"368,598,757.15",17565
"03-Oct-2017","EQ","590.10","592.75","575.50","586.10","577.40","578.90","584.10","621.25","480.20",522462,"305,167,922.65",15189
"29-Sep-2017","EQ","580.00","592.00","577.75","582.65","585.80","586.10","585.95","621.25","480.20",1021610,"598,609,118.25",33479
"28-Sep-2017","EQ","565.00","589.00","564.15","570.10","582.25","582.65","579.98","621.25","480.20",2993535,"1,736,187,785.60",35818
"27-Sep-2017","EQ","579.60","580.70","563.00","579.00","568.95","570.10","570.61","621.25","480.20",561243,"320,253,315.60",15844
"26-Sep-2017","EQ","582.00","582.00","570.00","577.20","577.00","579.00","577.33","621.25","480.20",978323,"564,810,991.80",25119
"25-Sep-2017","EQ","581.90","594.40","564.35","585.35","577.25","577.20","581.28","621.25","480.20",2389495,"1,388,973,021.60",35766
"22-Sep-2017","EQ","591.90","600.00","582.45","591.90","584.00","585.35","594.82","621.25","480.20",4003845,"2,381,569,683.85",41169
"21-Sep-2017","EQ","570.05","594.00","570.05","569.70","593.00","591.90","586.45","621.25","480.20",3102522,"1,819,475,920.05",67113
"20-Sep-2017","EQ","572.50","573.80","565.20","573.40","568.20","569.70","569.93","621.25","480.20",759531,"432,879,652.50",20169
"19-Sep-2017","EQ","571.70","574.50","564.50","570.70","574.10","573.40","569.98","621.25","480.20",675306,"384,913,696.60",20419
"18-Sep-2017","EQ","563.20","572.15","560.65","561.40","570.00","570.70","568.47","621.25","480.20",649831,"369,409,516.25",11761
"15-Sep-2017","EQ","564.85","565.75","556.55","565.95","561.60","561.40","560.96","621.25","480.20",926019,"519,461,051.35",26598
"14-Sep-2017","EQ","556.00","567.30","555.45","554.40","565.85","565.95","564.02","621.25","480.20",1600717,"902,838,446.75",39580
"13-Sep-2017","EQ","556.00","562.10","552.55","560.50","555.00","554.40","557.78","621.25","480.20",1159840,"646,930,139.00",34106
"12-Sep-2017","EQ","554.40","562.80","543.35","553.85","558.55","560.50","554.24","621.25","480.20",1330724,"737,543,115.05",27849
"11-Sep-2017","EQ","555.10","558.15","550.00","552.00","551.30","553.85","554.62","621.25","480.20",523800,"290,512,512.50",12969
"08-Sep-2017","EQ","554.50","558.00","549.15","554.20","551.00","552.00","553.61","621.25","480.20",775272,"429,198,207.90",17289
"07-Sep-2017","EQ","560.00","561.00","551.30","558.30","552.70","554.20","555.60","621.25","480.20",885205,"491,821,779.80",27215
"06-Sep-2017","EQ","558.90","560.60","553.85","559.60","557.75","558.30","558.69","621.25","480.20",581901,"325,103,405.90",13346
"05-Sep-2017","EQ","564.70","565.85","556.90","561.70","558.50","559.60","560.18","621.25","480.20",928770,"520,277,759.90",19744
"04-Sep-2017","EQ","574.50","577.00","557.55","568.40","562.10","561.70","565.07","621.25","480.20",1731377,"978,356,489.50",29928
"01-Sep-2017","EQ","573.00","577.35","565.10","571.90","568.30","568.40","570.18","621.25","480.20",891591,"508,368,613.45",25992
"31-Aug-2017","EQ","570.00","578.00","562.00","566.35","575.00","571.90","569.92","621.25","480.20",1908728,"1,087,830,533.05",38191
"30-Aug-2017","EQ","574.00","576.00","565.50","568.90","567.80","566.35","570.76","621.25","480.20",596376,"340,387,312.95",16388
"29-Aug-2017","EQ","570.55","574.05","564.50","574.10","570.85","568.90","568.53","621.25","480.20",608351,"345,868,343.75",17257
"28-Aug-2017","EQ","575.50","581.00","570.55","574.05","573.00","574.10","576.57","621.25","480.20",905222,"521,919,950.70",34795
"24-Aug-2017","EQ","559.00","575.75","557.30","559.15","575.55","574.05","568.87","621.25","480.20",1866440,"1,061,768,103.50",51958
"23-Aug-2017","EQ","561.70","565.00","556.65","559.25","557.65","559.15","560.95","621.25","480.20",848822,"476,142,631.05",23838
"22-Aug-2017","EQ","562.05","567.65","558.00","561.75","560.40","559.25","562.57","621.25","480.20",848353,"477,255,423.25",19664
"21-Aug-2017","EQ","566.90","570.00","555.15","565.30","561.35","561.75","560.49","621.25","480.20",1222907,"685,422,587.80",23495
"18-Aug-2017","EQ","573.40","575.80","560.20","573.20","564.90","565.30","566.38","621.25","480.20",1680225,"951,651,149.05",29827
"17-Aug-2017","EQ","593.40","594.00","569.90","590.45","574.00","573.20","580.92","621.25","480.20",1422631,"826,427,837.90",29071
"16-Aug-2017","EQ","569.50","593.70","561.05","570.05","591.50","590.45","578.42","621.25","480.20",1838012,"1,063,141,120.15",40404
"14-Aug-2017","EQ","560.00","576.00","552.10","541.40","569.50","570.05","568.70","621.25","480.20",4029605,"2,291,621,842.35",67029
"11-Aug-2017","EQ","545.00","563.70","525.45","548.20","549.70","541.40","544.86","621.25","480.20",4337214,"2,363,186,656.15",68929
"10-Aug-2017","EQ","560.00","569.85","541.50","561.85","546.85","548.20","556.87","621.25","480.20",1217416,"677,938,792.95",25867
"09-Aug-2017","EQ","581.00","581.00","557.25","578.60","558.00","561.85","567.25","621.25","480.20",1801630,"1,021,967,883.85",42055
"08-Aug-2017","EQ","560.80","580.00","560.80","566.50","579.80","578.60","572.44","621.25","480.20",1367344,"782,720,116.70",40269
"07-Aug-2017","EQ","566.50","571.10","553.00","568.70","565.20","566.50","565.34","621.25","480.20",769606,"435,090,550.25",34249
"04-Aug-2017","EQ","551.90","571.70","543.05","557.15","568.30","568.70","559.09","621.25","480.20",1004233,"561,456,496.60",26542
"03-Aug-2017","EQ","568.55","575.00","553.80","568.55","555.00","557.15","566.61","621.25","480.20",1065451,"603,698,072.00",22668
"02-Aug-2017","EQ","562.85","570.90","560.00","562.45","567.50","568.55","565.48","621.25","480.20",664681,"375,863,184.35",19891
"01-Aug-2017","EQ","560.10","565.90","558.50","560.10","562.85","562.45","561.94","621.25","480.20",712732,"400,509,853.55",30078
"31-Jul-2017","EQ","567.55","568.95","556.80","566.10","561.90","560.10","560.19","621.25","480.20",753415,"422,058,822.90",15671
"28-Jul-2017","EQ","566.75","570.90","556.50","568.70","566.80","566.10","564.00","621.25","480.20",907951,"512,085,875.30",19978
"27-Jul-2017","EQ","573.70","579.40","565.00","575.45","566.90","568.70","570.29","621.25","480.20",1853099,"1,056,804,187.70",30389
"26-Jul-2017","EQ","564.70","577.45","563.50","564.40","574.60","575.45","570.06","621.25","480.20",864728,"492,950,503.60",20813
"25-Jul-2017","EQ","571.00","571.40","562.40","569.75","565.00","564.40","565.18","621.25","480.20",510032,"288,258,731.20",17067
"24-Jul-2017","EQ","564.00","575.50","562.10","566.20","570.00","569.75","571.02","621.25","480.20",873677,"498,884,290.80",21335
"21-Jul-2017","EQ","570.00","570.00","560.15","571.90","565.95","566.20","564.31","621.25","480.20",672906,"379,726,484.95",17290
"20-Jul-2017","EQ","569.00","577.00","562.65","568.25","570.00","571.90","572.50","621.25","480.20",1090882,"624,533,344.95",26241
"19-Jul-2017","EQ","560.20","569.45","560.20","559.75","567.80","568.25","566.91","621.25","480.20",761444,"431,666,649.30",26342
"18-Jul-2017","EQ","558.00","567.00","555.10","556.50","559.25","559.75","561.98","621.25","480.20",1319574,"741,572,220.75",47380
"17-Jul-2017","EQ","549.00","559.00","546.70","548.05","558.00","556.50","552.30","621.25","480.20",692893,"382,686,291.80",19513
"14-Jul-2017","EQ","544.25","551.15","540.85","543.65","547.65","548.05","547.44","621.25","480.20",960041,"525,566,006.00",19654
"13-Jul-2017","EQ","540.20","544.45","538.85","539.95","543.55","543.65","542.04","621.25","480.20",694180,"376,272,276.50",27309
"12-Jul-2017","EQ","539.45","543.50","537.00","538.45","539.05","539.95","539.66","621.25","480.20",1039208,"560,817,722.00",20832
"11-Jul-2017","EQ","550.50","552.65","536.05","549.20","539.50","538.45","540.18","621.25","480.20",1526837,"824,773,677.80",31076
"10-Jul-2017","EQ","550.00","551.95","546.00","547.15","548.75","549.20","549.65","621.25","480.20",123415,"67,834,518.90",1963
"07-Jul-2017","EQ","542.60","552.00","541.50","542.85","545.50","547.15","549.04","621.25","480.20",893680,"490,667,359.15",19461
"06-Jul-2017","EQ","546.35","547.90","540.10","545.90","543.00","542.85","544.80","621.25","480.20",556426,"303,141,163.40",14792
