"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","19,160.00","19,425.00","19,000.00","19,181.20","19,371.10","19,388.90","19,246.92","21,620.00","13,900.10",28504,"548,614,215.30",9682
"08-Apr-2016","EQ","18,935.00","19,290.85","18,805.10","18,884.10","19,252.00","19,181.20","19,074.61","21,620.00","13,900.10",25630,"488,882,265.80",6526
"07-Apr-2016","EQ","19,150.00","19,197.95","18,779.85","19,179.85","18,800.00","18,884.10","19,001.15","21,620.00","13,900.10",20678,"392,905,737.75",5035
"06-Apr-2016","EQ","18,834.00","19,225.40","18,635.50","18,735.50","19,170.00","19,179.85","19,019.50","21,620.00","13,900.10",33880,"644,380,659.05",8596
"05-Apr-2016","EQ","19,400.00","19,448.90","18,642.10","19,503.90","18,719.00","18,735.50","18,989.97","21,620.00","13,900.10",48652,"923,899,838.30",18164
"04-Apr-2016","EQ","19,384.00","19,571.00","19,285.10","19,254.05","19,450.00","19,503.90","19,435.18","21,620.00","13,900.10",50596,"983,342,248.05",15810
"01-Apr-2016","EQ","19,080.60","19,450.00","18,910.85","19,180.60","19,230.00","19,254.05","19,207.74","21,620.00","13,900.10",80018,"1,536,964,855.90",22184
"31-Mar-2016","EQ","18,825.00","19,350.00","18,549.40","18,736.80","19,200.00","19,180.60","19,020.91","21,620.00","13,900.10",163329,"3,106,666,312.65",32920
"30-Mar-2016","EQ","18,799.85","18,833.00","18,533.45","18,633.45","18,685.00","18,736.80","18,706.00","21,620.00","13,900.10",54147,"1,012,873,634.65",16325
"29-Mar-2016","EQ","18,450.00","18,750.00","18,181.05","18,410.30","18,607.50","18,633.45","18,449.98","21,620.00","13,900.10",40170,"741,135,512.35",10282
"28-Mar-2016","EQ","18,597.00","18,654.50","18,330.00","18,554.05","18,348.90","18,410.30","18,491.51","21,620.00","13,900.10",28647,"529,726,255.80",7503
"23-Mar-2016","EQ","18,299.00","18,699.80","18,003.00","18,236.70","18,475.00","18,554.05","18,319.24","21,620.00","13,900.10",45827,"839,515,680.95",13074
"22-Mar-2016","EQ","18,500.00","18,500.00","18,002.00","18,356.35","18,180.00","18,236.70","18,245.95","21,620.00","13,900.10",35649,"650,449,791.50",12731
"21-Mar-2016","EQ","18,564.00","18,600.00","18,180.00","18,413.45","18,438.00","18,356.35","18,371.46","21,620.00","13,900.10",45715,"839,851,171.45",13608
"18-Mar-2016","EQ","18,051.00","18,494.00","17,895.00","18,036.20","18,470.00","18,413.45","18,228.91","21,620.00","13,900.10",73659,"1,342,723,150.70",22668
"17-Mar-2016","EQ","18,780.00","18,800.00","17,995.00","18,693.45","18,003.10","18,036.20","18,261.90","21,620.00","13,900.10",93859,"1,714,043,223.00",29434
"16-Mar-2016","EQ","19,540.95","19,540.95","18,655.00","19,548.30","18,695.00","18,693.45","18,889.46","21,620.00","13,900.10",94011,"1,775,816,785.55",23289
"15-Mar-2016","EQ","19,874.85","19,874.85","19,461.00","19,849.85","19,521.00","19,548.30","19,640.56","21,620.00","13,900.10",135959,"2,670,311,300.10",10384
"14-Mar-2016","EQ","20,200.00","20,250.00","19,800.00","20,004.00","19,800.65","19,849.85","20,045.43","21,620.00","13,900.10",72891,"1,461,131,139.40",15175
"11-Mar-2016","EQ","19,820.00","20,127.75","19,715.00","19,799.95","20,000.00","20,004.00","19,998.07","21,620.00","13,900.10",47331,"946,528,656.25",13212
"10-Mar-2016","EQ","19,950.00","20,010.00","19,700.20","19,933.75","19,770.00","19,799.95","19,921.12","21,620.00","13,900.10",94239,"1,877,346,798.55",8798
"09-Mar-2016","EQ","19,836.00","20,272.50","19,777.45","19,802.05","19,925.00","19,933.75","19,923.37","21,620.00","13,900.10",79969,"1,593,251,849.35",18991
"08-Mar-2016","EQ","19,200.00","19,995.00","19,150.00","19,258.50","19,995.00","19,802.05","19,596.66","21,620.00","13,900.10",103545,"2,029,136,420.50",25969
"04-Mar-2016","EQ","19,400.00","19,400.00","19,101.00","19,328.40","19,260.00","19,258.50","19,256.28","21,620.00","13,900.10",23201,"446,764,894.40",7465
"03-Mar-2016","EQ","19,430.00","19,431.00","19,252.00","19,321.90","19,325.00","19,328.40","19,328.39","21,620.00","13,900.10",45045,"870,647,235.10",10563
"02-Mar-2016","EQ","19,500.00","19,500.00","19,223.20","19,184.35","19,285.00","19,321.90","19,325.49","21,620.00","13,900.10",73864,"1,427,458,309.30",15465
