"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2012","EQ","489.00","494.40","484.15","491.00","493.95","490.00","489.47","528.00","360.00",852411,"417,226,471.35",26111
"10-Apr-2012","EQ","496.65","502.05","487.40","498.30","491.50","491.00","491.77","528.00","360.00",459288,"225,862,494.10",22628
"09-Apr-2012","EQ","507.00","511.45","495.05","509.05","497.05","498.30","506.01","528.00","360.00",615175,"311,283,285.20",16347
"04-Apr-2012","EQ","504.00","512.40","500.00","505.40","508.95","509.05","508.21","528.00","360.00",501525,"254,880,770.65",14679
"03-Apr-2012","EQ","506.00","506.35","497.90","501.25","505.15","505.40","502.95","528.00","360.00",432535,"217,543,375.70",10089
"02-Apr-2012","EQ","483.90","504.80","477.50","483.25","501.90","501.25","492.53","528.00","360.00",757634,"373,156,220.75",28103
"30-Mar-2012","EQ","472.20","486.45","472.20","472.15","482.45","483.25","478.22","528.00","360.00",609050,"291,260,737.50",21031
"29-Mar-2012","EQ","465.00","484.40","440.60","470.60","469.65","472.15","471.56","528.00","360.00",1174114,"553,669,850.80",24010
"28-Mar-2012","EQ","471.05","477.80","465.65","470.80","470.10","470.60","470.34","528.00","360.00",630267,"296,437,942.75",17847
"27-Mar-2012","EQ","480.00","484.90","468.15","477.35","472.70","470.80","474.52","528.00","360.00",953606,"452,503,839.30",10623
"26-Mar-2012","EQ","487.90","504.50","471.50","484.95","476.50","477.35","478.10","528.00","360.00",2837564,"1,356,630,127.35",16669
"23-Mar-2012","EQ","480.80","488.90","475.50","477.00","484.55","484.95","484.47","528.00","360.00",2696410,"1,306,323,167.45",11187
"22-Mar-2012","EQ","492.00","495.85","469.50","491.85","477.00","477.00","481.13","528.00","360.00",1290270,"620,791,639.60",40877
"21-Mar-2012","EQ","489.50","497.00","487.95","492.00","492.00","491.85","492.32","528.00","360.00",655722,"322,824,184.45",24199
"20-Mar-2012","EQ","499.00","500.95","485.70","498.95","489.00","492.00","495.87","528.00","360.00",502713,"249,280,048.50",7055
"19-Mar-2012","EQ","494.05","502.45","488.00","497.15","499.00","498.95","495.08","528.00","360.00",2907052,"1,439,219,235.65",13091
"16-Mar-2012","EQ","499.00","506.00","490.60","496.20","498.00","497.15","500.00","528.00","360.00",697277,"348,640,975.70",24119
"15-Mar-2012","EQ","502.40","505.75","493.35","504.80","496.00","496.20","498.40","528.00","360.00",511564,"254,963,971.25",9603
"14-Mar-2012","EQ","510.00","519.20","502.15","505.10","503.50","504.80","507.53","528.00","360.00",913924,"463,845,045.10",14516
"13-Mar-2012","EQ","508.00","509.90","496.20","506.95","506.60","505.10","503.73","528.00","360.00",1109657,"558,971,607.30",23864
"12-Mar-2012","EQ","507.00","512.00","500.20","506.90","508.00","506.95","508.65","528.00","360.00",1286670,"654,468,668.00",21901
"09-Mar-2012","EQ","497.20","513.20","497.20","494.90","504.00","506.90","505.90","528.00","360.00",1675244,"847,513,582.85",32987
