"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2014","EQ","734.05","744.80","733.90","739.40","738.80","738.15","739.19","760.75","528.00",1301988,"962,413,436.40",23184
"10-Apr-2014","EQ","744.65","748.65","736.00","741.85","736.60","739.40","743.00","760.75","528.00",1873698,"1,392,164,230.30",27978
"09-Apr-2014","EQ","728.05","744.90","721.75","725.35","743.25","741.85","732.06","760.75","528.00",2630096,"1,925,382,857.25",33713
"07-Apr-2014","EQ","725.00","732.00","723.10","725.45","723.40","725.35","727.61","760.75","528.00",2933289,"2,134,303,395.35",23930
"04-Apr-2014","EQ","725.55","733.00","720.05","728.80","726.05","725.45","726.90","760.75","528.00",1855602,"1,348,835,982.80",21215
"03-Apr-2014","EQ","736.00","738.00","726.25","731.90","727.80","728.80","730.73","760.75","528.00",1389926,"1,015,666,989.10",18739
"02-Apr-2014","EQ","744.95","746.00","721.90","738.10","734.45","731.90","728.75","760.75","528.00",2599688,"1,894,510,401.60",35507
"01-Apr-2014","EQ","751.50","753.55","732.55","748.80","738.30","738.10","739.97","760.75","528.00",2012958,"1,489,537,425.40",27983
"31-Mar-2014","EQ","747.95","753.00","743.10","744.95","748.25","748.80","748.83","760.75","528.00",2065607,"1,546,791,605.35",41091
"28-Mar-2014","EQ","749.95","754.10","735.05","746.75","745.20","744.95","741.82","760.75","528.00",3040225,"2,255,307,200.20",26709
"27-Mar-2014","EQ","750.00","760.75","742.00","746.05","745.05","746.75","749.16","760.75","528.00",6138733,"4,598,872,483.30",39580
"26-Mar-2014","EQ","752.80","756.30","744.10","750.15","747.05","746.05","747.48","760.55","528.00",2352328,"1,758,312,847.45",25000
"25-Mar-2014","EQ","750.00","760.55","747.75","750.65","750.75","750.15","753.73","760.55","528.00",2007773,"1,513,310,463.00",27686
"24-Mar-2014","EQ","734.50","752.90","734.00","732.40","752.75","750.65","748.04","752.90","528.00",2928465,"2,190,604,554.15",30914
"22-Mar-2014","EQ","736.00","736.00","729.45","733.85","733.65","732.40","732.11","749.50","528.00",105882,"77,517,070.15",1336
"21-Mar-2014","EQ","735.15","737.50","731.20","730.20","733.95","733.85","734.09","749.50","528.00",1881398,"1,381,120,849.65",18439
"20-Mar-2014","EQ","738.45","738.45","728.00","738.45","730.50","730.20","731.33","749.50","528.00",1298771,"949,826,148.35",22983
"19-Mar-2014","EQ","740.00","743.30","735.75","734.00","740.70","738.45","738.25","749.50","528.00",1513784,"1,117,544,356.45",24816
"18-Mar-2014","EQ","735.40","744.80","728.30","732.15","732.40","734.00","735.14","749.50","528.00",2025681,"1,489,159,073.60",23884
"14-Mar-2014","EQ","735.00","739.90","724.00","742.35","732.30","732.15","730.89","749.50","528.00",3052120,"2,230,755,524.50",32816
"13-Mar-2014","EQ","727.50","749.50","727.50","725.55","741.15","742.35","742.13","749.50","528.00",2862113,"2,124,048,456.90",37535
"12-Mar-2014","EQ","721.25","733.00","716.50","725.15","725.80","725.55","725.33","740.00","528.00",1777554,"1,289,318,426.55",22746
"11-Mar-2014","EQ","734.50","740.00","719.55","734.45","727.30","725.15","727.30","740.00","528.00",3250118,"2,363,823,761.10",44226
"10-Mar-2014","EQ","706.50","736.90","700.00","711.45","736.50","734.45","726.76","736.90","528.00",6530963,"4,746,427,466.50",78589
"07-Mar-2014","EQ","679.60","714.90","676.20","675.60","711.15","711.45","700.40","727.30","528.00",5691892,"3,986,615,144.45",68319
"06-Mar-2014","EQ","673.00","677.70","668.10","669.75","677.00","675.60","673.12","727.30","528.00",1237170,"832,760,078.30",23224
"05-Mar-2014","EQ","673.50","675.00","662.50","671.70","669.00","669.75","667.23","727.30","528.00",1001746,"668,395,538.80",19353
"04-Mar-2014","EQ","666.00","673.85","664.25","666.20","670.05","671.70","669.59","727.30","528.00",1610967,"1,078,682,512.40",16600
"03-Mar-2014","EQ","665.20","672.00","663.20","669.60","665.25","666.20","667.66","727.30","528.00",919608,"613,981,996.75",16536
"28-Feb-2014","EQ","682.00","682.90","665.15","677.40","669.00","669.60","669.50","727.30","528.00",1225896,"820,738,136.10",23933
"26-Feb-2014","EQ","670.00","679.20","668.55","671.10","674.95","677.40","675.27","727.30","528.00",1137835,"768,340,538.05",17995
"25-Feb-2014","EQ","674.00","676.00","666.00","671.00","670.30","671.10","670.77","727.30","528.00",1005140,"674,216,286.65",20643
"24-Feb-2014","EQ","662.10","673.00","655.75","664.40","672.00","671.00","666.54","727.30","528.00",1254746,"836,339,176.70",17081
"21-Feb-2014","EQ","659.85","669.60","659.70","662.75","662.10","664.40","665.39","727.30","528.00",760968,"506,340,593.45",10536
"20-Feb-2014","EQ","665.80","667.45","660.85","670.05","662.70","662.75","663.35","727.30","528.00",862109,"571,876,666.15",8476
"19-Feb-2014","EQ","656.20","672.25","655.00","660.40","671.05","670.05","665.01","727.30","528.00",1015237,"675,143,054.75",15980
"18-Feb-2014","EQ","648.50","664.40","647.40","650.40","659.30","660.40","660.54","727.30","528.00",1254918,"828,920,228.05",27417
"17-Feb-2014","EQ","642.00","652.00","641.10","641.80","651.45","650.40","648.74","727.30","528.00",912530,"591,996,336.55",15067
"14-Feb-2014","EQ","634.00","643.85","629.35","632.50","642.70","641.80","637.00","727.30","528.00",1062278,"676,673,643.55",24260
"13-Feb-2014","EQ","646.00","648.00","631.25","645.45","631.65","632.50","636.19","727.30","528.00",788800,"501,824,381.80",18659
"12-Feb-2014","EQ","646.60","652.80","643.65","644.80","644.95","645.45","646.93","727.30","528.00",1609240,"1,041,063,965.50",16291
"11-Feb-2014","EQ","646.00","647.15","639.30","643.90","645.00","644.80","644.72","727.30","528.00",1116214,"719,642,401.40",20172
"10-Feb-2014","EQ","647.65","650.15","636.00","647.75","644.50","643.90","643.35","727.30","528.00",1570205,"1,010,186,926.20",29684
"07-Feb-2014","EQ","652.40","654.50","642.10","647.00","646.85","647.75","648.40","727.30","528.00",1007367,"653,177,561.90",18131
"06-Feb-2014","EQ","638.75","649.60","629.50","637.45","647.50","647.00","640.68","727.30","528.00",3366736,"2,157,000,222.20",34141
"05-Feb-2014","EQ","631.00","639.80","625.10","630.60","637.00","637.45","633.90","727.30","528.00",1726346,"1,094,336,727.15",27596
"04-Feb-2014","EQ","621.65","635.50","616.80","626.50","633.30","630.60","627.63","727.30","528.00",1852326,"1,162,569,086.20",30498
"03-Feb-2014","EQ","629.95","634.00","625.10","628.50","626.40","626.50","629.26","727.30","528.00",1194205,"751,464,653.60",18364
"31-Jan-2014","EQ","630.00","636.30","625.10","631.80","628.00","628.50","628.37","727.30","528.00",2405246,"1,511,382,390.55",43444
"30-Jan-2014","EQ","637.50","639.90","627.65","645.45","631.30","631.80","633.09","727.30","528.00",2856365,"1,808,338,233.80",40925
"29-Jan-2014","EQ","647.50","650.90","640.55","644.45","647.05","645.45","645.59","727.30","528.00",2742731,"1,770,692,667.00",24511
"28-Jan-2014","EQ","648.00","656.00","638.60","649.20","645.00","644.45","645.82","727.30","528.00",4598856,"2,970,020,913.80",67271
"27-Jan-2014","EQ","664.90","664.90","645.60","673.40","655.00","649.20","652.74","727.30","528.00",4265112,"2,784,012,568.50",49205
