"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2012","EQ","1,970.00","1,983.55","1,953.00","1,978.00","1,970.00","1,972.65","1,972.40","2,249.70","1,575.15",193859,"382,366,541.65",25387
"10-Apr-2012","EQ","1,988.40","1,988.40","1,944.45","1,974.50","1,972.25","1,978.00","1,970.93","2,249.70","1,575.15",176648,"348,161,218.90",22033
"09-Apr-2012","EQ","2,000.00","2,008.05","1,962.05","2,011.95","1,963.00","1,974.50","1,979.01","2,249.70","1,575.15",274615,"543,466,868.75",20645
"04-Apr-2012","EQ","2,009.90","2,042.45","1,990.05","2,008.60","2,019.00","2,011.95","2,015.19","2,249.70","1,575.15",302795,"610,190,024.45",20930
"03-Apr-2012","EQ","2,065.45","2,067.00","2,005.00","2,058.15","2,006.80","2,008.60","2,027.90","2,249.70","1,575.15",334775,"678,891,622.80",26742
"02-Apr-2012","EQ","2,070.00","2,072.00","2,033.40","2,055.25","2,057.00","2,058.15","2,053.78","2,249.70","1,575.15",176537,"362,568,908.35",12679
"30-Mar-2012","EQ","2,045.00","2,065.00","2,035.30","2,035.95","2,053.65","2,055.25","2,051.58","2,249.70","1,481.55",572601,"1,174,738,544.00",31350
"29-Mar-2012","EQ","1,981.00","2,049.80","1,971.65","1,987.40","2,020.05","2,035.95","2,028.12","2,249.70","1,481.55",793922,"1,610,165,612.70",29558
"28-Mar-2012","EQ","2,005.90","2,010.80","1,969.75","2,010.00","1,998.50","1,987.40","1,990.00","2,249.70","1,481.55",466478,"928,293,016.10",25211
"27-Mar-2012","EQ","2,010.00","2,039.80","1,988.60","2,000.75","2,011.00","2,010.00","2,012.11","2,249.70","1,481.55",379483,"763,562,212.40",26798
"26-Mar-2012","EQ","2,023.85","2,023.85","1,958.00","2,017.45","1,995.00","2,000.75","1,993.89","2,249.70","1,481.55",369262,"736,269,618.30",26746
"23-Mar-2012","EQ","1,940.15","2,058.80","1,922.00","1,945.25","2,015.00","2,017.45","1,977.89","2,249.70","1,413.80",693429,"1,371,526,489.95",32714
"22-Mar-2012","EQ","1,925.00","1,961.00","1,925.00","1,926.40","1,937.30","1,945.25","1,947.47","2,249.70","1,413.80",387490,"754,623,753.35",20130
"21-Mar-2012","EQ","1,944.70","1,944.70","1,910.00","1,931.90","1,931.95","1,926.40","1,926.87","2,249.70","1,413.80",230468,"444,081,916.35",15341
"20-Mar-2012","EQ","1,949.95","1,958.00","1,890.50","1,941.45","1,940.00","1,931.90","1,920.68","2,249.70","1,413.80",337667,"648,549,973.40",33579
"19-Mar-2012","EQ","1,959.30","1,964.80","1,920.15","1,957.00","1,927.00","1,941.45","1,941.05","2,249.70","1,413.80",222531,"431,943,531.70",11155
"16-Mar-2012","EQ","1,982.00","1,982.00","1,925.10","1,966.40","1,956.10","1,957.00","1,949.49","2,249.70","1,413.80",358530,"698,949,469.30",29793
"15-Mar-2012","EQ","1,978.00","1,978.00","1,919.00","1,972.55","1,960.05","1,966.40","1,949.91","2,249.70","1,413.80",302877,"590,583,507.15",19732
"14-Mar-2012","EQ","1,982.00","1,995.00","1,950.10","1,962.95","1,973.95","1,972.55","1,976.90","2,249.70","1,413.80",283383,"560,220,703.90",26409
"13-Mar-2012","EQ","1,940.10","1,974.50","1,940.10","1,932.55","1,964.80","1,962.95","1,961.57","2,249.70","1,413.80",421131,"826,076,805.70",37459
"12-Mar-2012","EQ","1,921.05","1,942.00","1,904.70","1,911.05","1,929.00","1,932.55","1,929.62","2,249.70","1,413.80",432510,"834,580,971.95",29377
"09-Mar-2012","EQ","1,923.00","1,933.90","1,890.00","1,889.60","1,913.10","1,911.05","1,913.63","2,249.70","1,413.80",507925,"971,978,420.10",37929
"07-Mar-2012","EQ","1,890.00","1,899.80","1,871.70","1,871.70","1,889.40","1,889.60","1,890.88","2,249.70","1,413.80",609323,"1,152,155,293.65",35209
"06-Mar-2012","EQ","1,890.00","1,932.30","1,810.05","1,886.95","1,863.15","1,871.70","1,880.42","2,249.70","1,413.80",738094,"1,387,929,030.40",51083
"05-Mar-2012","EQ","1,948.00","1,948.00","1,873.10","1,947.15","1,874.95","1,886.95","1,892.58","2,249.70","1,413.80",656672,"1,242,807,242.60",66961
"03-Mar-2012","EQ","1,955.00","1,955.00","1,940.70","1,941.45","1,950.00","1,947.15","1,949.14","2,249.70","1,413.80",17919,"34,926,670.95",1072
"02-Mar-2012","EQ","1,969.90","1,975.85","1,926.30","1,937.55","1,936.10","1,941.45","1,947.71","2,249.70","1,413.80",553634,"1,078,320,912.70",35459
"01-Mar-2012","EQ","1,957.00","1,982.40","1,920.00","1,946.10","1,929.00","1,937.55","1,953.81","2,249.70","1,413.80",887044,"1,733,111,513.00",45762
"29-Feb-2012","EQ","1,984.00","2,015.00","1,930.00","1,966.20","1,950.00","1,946.10","1,977.78","2,249.70","1,413.80",462912,"915,538,151.75",32480
"28-Feb-2012","EQ","1,941.00","1,986.90","1,941.00","1,931.90","1,966.00","1,966.20","1,968.72","2,249.70","1,413.80",412572,"812,240,471.90",22994
"27-Feb-2012","EQ","2,087.00","2,087.00","1,915.00","2,072.90","1,935.00","1,931.90","1,971.52","2,249.70","1,413.80",635329,"1,252,562,987.90",33334
"24-Feb-2012","EQ","2,095.00","2,109.00","2,057.25","2,088.85","2,083.00","2,072.90","2,078.84","2,249.70","1,375.75",257059,"534,385,804.95",21055
"23-Feb-2012","EQ","2,159.95","2,167.90","2,066.80","2,140.30","2,088.00","2,088.85","2,107.98","2,249.70","1,375.75",582980,"1,228,910,035.45",38927
"22-Feb-2012","EQ","2,127.15","2,198.00","2,127.15","2,147.25","2,150.00","2,140.30","2,166.13","2,249.70","1,375.75",273429,"592,282,116.45",19233
"21-Feb-2012","EQ","2,121.50","2,157.00","2,121.50","2,109.35","2,146.00","2,147.25","2,143.91","2,249.70","1,375.75",276256,"592,267,151.60",17493
"17-Feb-2012","EQ","2,200.00","2,209.95","2,093.35","2,190.05","2,104.00","2,109.35","2,147.46","2,249.70","1,375.75",514786,"1,105,482,648.95",46977
"16-Feb-2012","EQ","2,088.55","2,203.15","2,002.00","2,094.05","2,185.00","2,190.05","2,143.09","2,249.70","1,375.75",480246,"1,029,208,809.10",24257
"15-Feb-2012","EQ","2,090.65","2,100.20","2,068.00","2,081.80","2,091.00","2,094.05","2,089.97","2,249.70","1,375.75",349374,"730,180,012.65",26135
"14-Feb-2012","EQ","2,012.10","2,090.00","2,012.10","2,012.75","2,084.00","2,081.80","2,057.78","2,249.70","1,375.75",616998,"1,269,646,031.55",30592
"13-Feb-2012","EQ","1,975.00","2,019.95","1,963.50","1,970.50","2,010.00","2,012.75","2,010.66","2,249.70","1,375.75",437763,"880,192,953.10",31417
"10-Feb-2012","EQ","1,985.00","2,024.00","1,953.40","1,993.85","1,965.25","1,970.50","1,986.35","2,249.70","1,375.75",281152,"558,465,579.95",25642
"09-Feb-2012","EQ","1,983.00","2,035.00","1,970.70","1,998.20","1,990.30","1,993.85","2,010.99","2,249.70","1,375.75",689667,"1,386,913,468.80",37745
"08-Feb-2012","EQ","1,958.00","2,009.45","1,953.05","1,949.85","2,008.00","1,998.20","1,984.64","2,249.70","1,375.75",398783,"791,442,633.25",28110
