"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","88.15","93.20","87.85","87.70","91.75","92.20","90.94","145.10","58.80",15187158,"1,381,154,569.90",40729
"08-Apr-2016","EQ","87.25","89.50","86.00","87.30","87.70","87.70","88.23","145.10","58.80",10212068,"900,998,365.45",48505
"07-Apr-2016","EQ","89.00","89.40","86.75","88.95","87.45","87.30","87.78","145.10","58.80",6979457,"612,663,045.50",21177
"06-Apr-2016","EQ","85.75","89.70","85.50","84.90","88.95","88.95","88.44","145.10","58.80",14585715,"1,289,907,734.40",49815
"05-Apr-2016","EQ","88.20","89.40","84.35","89.10","85.35","84.90","86.50","145.10","58.80",11541211,"998,322,975.40",44773
"04-Apr-2016","EQ","87.45","90.65","86.50","86.65","89.10","89.10","89.26","145.10","58.80",14431538,"1,288,157,952.30",51296
"01-Apr-2016","EQ","87.50","87.65","86.05","87.95","86.35","86.65","86.77","145.10","58.80",8139439,"706,275,366.00",34654
"31-Mar-2016","EQ","87.85","89.00","86.50","88.00","88.20","87.95","87.74","145.10","58.80",16963906,"1,488,474,327.10",43849
"30-Mar-2016","EQ","85.50","89.30","85.25","84.40","87.80","88.00","87.58","145.10","58.80",15758559,"1,380,204,876.50",51910
"29-Mar-2016","EQ","83.90","86.15","83.50","83.25","84.20","84.40","85.01","145.10","58.80",14305542,"1,216,074,451.45",44643
"28-Mar-2016","EQ","92.50","92.50","82.55","91.30","83.60","83.25","86.34","145.10","58.80",20101957,"1,735,539,998.55",69472
"23-Mar-2016","EQ","88.00","91.70","87.90","87.00","90.80","91.30","90.62","145.10","58.80",22685606,"2,055,863,291.30",87993
"22-Mar-2016","EQ","85.90","88.00","84.85","86.00","87.75","87.00","86.18","145.10","58.80",12800780,"1,103,170,223.20",39837
"21-Mar-2016","EQ","85.70","87.00","84.30","85.20","85.95","86.00","85.80","145.10","58.80",12324190,"1,057,436,403.25",35463
"18-Mar-2016","EQ","82.40","85.50","82.00","81.00","85.45","85.20","84.19","145.10","58.80",14366152,"1,209,527,670.55",57753
"17-Mar-2016","EQ","82.50","83.80","80.70","81.50","80.85","81.00","82.16","145.10","58.80",8476015,"696,351,763.05",45713
"16-Mar-2016","EQ","84.00","84.25","79.35","83.90","81.60","81.50","81.03","145.10","58.80",13890592,"1,125,577,638.10",48528
