"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","2,670.00","2,697.70","2,665.00","2,663.75","2,682.75","2,676.20","2,682.75","2,870.00","1,300.15",1032539,"2,770,048,643.40",
"08-Apr-2010","EQ","2,640.00","2,677.90","2,630.00","2,643.75","2,657.20","2,663.75","2,661.74","2,870.00","1,300.15",903498,"2,404,876,730.25",
"07-Apr-2010","EQ","2,655.55","2,674.80","2,617.40","2,651.25","2,645.65","2,643.75","2,639.05","2,870.00","1,300.15",1047610,"2,764,698,128.20",
"06-Apr-2010","EQ","2,682.00","2,685.00","2,645.25","2,677.95","2,649.25","2,651.25","2,656.03","2,870.00","1,300.15",668601,"1,775,821,928.55",
"05-Apr-2010","EQ","2,679.00","2,690.00","2,638.00","2,670.45","2,676.00","2,677.95","2,669.65","2,870.00","1,300.15",914827,"2,442,271,656.85",
"01-Apr-2010","EQ","2,620.20","2,678.00","2,620.00","2,615.95","2,676.00","2,670.45","2,659.74","2,870.00","1,265.65",1023375,"2,721,909,454.55",
"31-Mar-2010","EQ","2,653.90","2,676.70","2,606.60","2,644.10","2,615.00","2,615.95","2,632.60","2,870.00","1,265.65",1633763,"4,301,048,450.85",
"30-Mar-2010","EQ","2,715.00","2,715.00","2,630.60","2,716.65","2,648.00","2,644.10","2,661.05","2,870.00","1,265.65",1331242,"3,542,495,330.75",
"29-Mar-2010","EQ","2,758.00","2,770.00","2,700.25","2,774.85","2,711.00","2,716.65","2,721.06","2,870.00","1,265.65",1747713,"4,755,623,618.50",
"26-Mar-2010","EQ","2,816.00","2,825.00","2,763.00","2,813.95","2,770.10","2,774.85","2,775.67","2,870.00","1,265.65",1138210,"3,159,297,917.35",
"25-Mar-2010","EQ","2,771.00","2,870.00","2,750.85","2,775.50","2,811.00","2,813.95","2,802.67","2,870.00","1,265.65",1900941,"5,327,704,190.05",
"23-Mar-2010","EQ","2,770.05","2,799.00","2,764.15","2,757.40","2,771.50","2,775.50","2,775.29","2,799.00","1,265.65",599070,"1,662,590,636.35",
"22-Mar-2010","EQ","2,752.10","2,777.00","2,742.90","2,772.35","2,752.15","2,757.40","2,761.28","2,795.00","1,265.65",513566,"1,418,100,977.80",
"19-Mar-2010","EQ","2,780.10","2,795.00","2,760.05","2,787.60","2,767.35","2,772.35","2,776.36","2,795.00","1,257.00",1572818,"4,366,701,376.10",
"18-Mar-2010","EQ","2,740.00","2,793.90","2,740.00","2,738.30","2,791.95","2,787.60","2,776.18","2,793.90","1,257.00",1115381,"3,096,497,600.15",
"17-Mar-2010","EQ","2,735.00","2,753.70","2,713.00","2,732.35","2,744.00","2,738.30","2,739.14","2,753.70","1,257.00",794000,"2,174,876,193.05",
"16-Mar-2010","EQ","2,700.00","2,744.95","2,682.30","2,701.25","2,740.00","2,732.35","2,708.07","2,744.95","1,257.00",735168,"1,990,886,201.65",
"15-Mar-2010","EQ","2,654.40","2,712.50","2,636.00","2,673.25","2,709.00","2,701.25","2,686.05","2,712.50","1,257.00",1322857,"3,553,254,768.20",
"12-Mar-2010","EQ","2,699.90","2,704.00","2,656.30","2,682.95","2,675.00","2,673.25","2,670.36","2,704.00","1,190.10",397115,"1,060,438,184.30",
"11-Mar-2010","EQ","2,665.00","2,695.00","2,650.00","2,659.25","2,689.00","2,682.95","2,680.00","2,702.90","1,190.10",537303,"1,439,971,378.50",
"10-Mar-2010","EQ","2,674.90","2,691.45","2,650.00","2,683.95","2,661.50","2,659.25","2,668.26","2,702.90","1,190.10",916369,"2,445,111,574.20",
"09-Mar-2010","EQ","2,650.05","2,701.50","2,617.85","2,659.55","2,685.00","2,683.95","2,687.42","2,702.90","1,190.10",994844,"2,673,562,052.00",
"08-Mar-2010","EQ","2,653.00","2,679.35","2,638.10","2,635.70","2,660.00","2,659.55","2,657.27","2,702.90","1,190.10",1083124,"2,878,148,649.35",
"05-Mar-2010","EQ","2,633.90","2,640.00","2,613.05","2,623.80","2,630.00","2,635.70","2,630.56","2,702.90","1,151.50",623101,"1,639,102,004.70",
"04-Mar-2010","EQ","2,662.00","2,664.00","2,604.00","2,666.25","2,626.00","2,623.80","2,620.14","2,702.90","1,151.50",844405,"2,212,461,625.85",
"03-Mar-2010","EQ","2,651.10","2,676.50","2,632.65","2,641.00","2,670.65","2,666.25","2,653.90","2,702.90","1,151.50",738122,"1,958,900,168.65",
"02-Mar-2010","EQ","2,631.55","2,650.75","2,622.65","2,601.95","2,639.00","2,641.00","2,636.83","2,702.90","1,151.50",1066832,"2,813,055,029.65",
"26-Feb-2010","EQ","2,619.00","2,630.00","2,582.10","2,617.35","2,600.00","2,601.95","2,605.72","2,702.90","1,145.50",1318296,"3,435,108,183.25",
"25-Feb-2010","EQ","2,570.60","2,629.70","2,570.60","2,576.30","2,615.00","2,617.35","2,597.71","2,702.90","1,145.50",1091196,"2,834,612,316.55",
"24-Feb-2010","EQ","2,568.00","2,598.30","2,551.00","2,581.30","2,579.80","2,576.30","2,582.75","2,702.90","1,145.50",678377,"1,752,076,551.95",
"23-Feb-2010","EQ","2,558.10","2,589.00","2,555.00","2,568.35","2,583.20","2,581.30","2,577.71","2,702.90","1,145.50",473254,"1,219,912,568.20",
"22-Feb-2010","EQ","2,555.10","2,591.70","2,555.10","2,532.40","2,567.15","2,568.35","2,578.12","2,702.90","1,145.50",731925,"1,886,993,280.15",
"19-Feb-2010","EQ","2,524.90","2,544.50","2,505.15","2,533.65","2,535.00","2,532.40","2,532.57","2,702.90","1,115.35",749874,"1,899,108,780.85",
"18-Feb-2010","EQ","2,523.00","2,547.00","2,512.00","2,518.65","2,530.65","2,533.65","2,533.28","2,702.90","1,115.35",465212,"1,178,511,818.80",
