"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","322.00","328.30","317.00","321.20","324.90","327.25","321.56","359.80","268.00",9222035,"2,965,431,690.10",94854
"08-Apr-2016","EQ","319.50","322.45","319.00","319.45","321.15","321.20","320.27","359.80","268.00",3200573,"1,025,036,577.35",43080
"07-Apr-2016","EQ","327.00","327.00","319.00","325.90","319.00","319.45","320.46","359.80","268.00",6684459,"2,142,112,251.40",80573
"06-Apr-2016","EQ","326.85","328.90","325.00","326.45","325.05","325.90","327.16","359.80","268.00",4424605,"1,447,533,671.10",60629
"05-Apr-2016","EQ","328.10","330.35","324.20","330.70","326.10","326.45","326.50","359.80","268.00",5754435,"1,878,833,468.70",66738
"04-Apr-2016","EQ","327.00","333.00","326.05","336.05","331.00","330.70","329.84","359.80","268.00",9121614,"3,008,701,674.45",231931
"01-Apr-2016","EQ","326.10","336.80","325.50","328.25","336.00","336.05","334.02","359.80","268.00",9533340,"3,184,365,520.00",101989
"31-Mar-2016","EQ","325.80","332.50","324.90","327.35","327.50","328.25","329.29","359.80","268.00",18314074,"6,030,641,871.20",116732
"30-Mar-2016","EQ","320.60","329.25","320.60","320.00","326.20","327.35","324.43","359.80","268.00",9266660,"3,006,386,646.55",79601
"29-Mar-2016","EQ","321.15","327.05","319.00","322.45","320.60","320.00","322.11","359.80","268.00",12005375,"3,867,054,949.25",70702
"28-Mar-2016","EQ","327.00","329.80","320.30","324.25","323.50","322.45","323.50","359.80","268.00",10959972,"3,545,516,495.20",62316
"23-Mar-2016","EQ","325.00","325.10","320.35","323.15","323.20","324.25","323.55","359.80","268.00",10280939,"3,326,433,617.75",82031
"22-Mar-2016","EQ","328.50","330.80","322.25","331.45","323.00","323.15","324.86","359.80","268.00",12698921,"4,125,388,880.35",77017
"21-Mar-2016","EQ","326.75","336.20","326.25","324.75","330.65","331.45","331.87","359.80","268.00",10773036,"3,575,233,158.70",163128
"18-Mar-2016","EQ","325.40","326.80","322.00","323.65","324.00","324.75","324.09","359.80","268.00",9233673,"2,992,524,210.65",58245
"17-Mar-2016","EQ","323.25","325.00","321.50","322.05","322.90","323.65","323.42","359.80","268.00",8368065,"2,706,424,029.95",69623
"16-Mar-2016","EQ","316.55","323.40","316.00","316.50","321.00","322.05","320.75","359.80","268.00",6245124,"2,003,148,381.30",74778
"15-Mar-2016","EQ","326.00","326.00","315.00","325.05","316.80","316.50","318.29","359.80","268.00",10405850,"3,312,053,722.80",67585
"14-Mar-2016","EQ","322.50","326.00","322.00","321.30","324.90","325.05","324.47","359.80","268.00",4948566,"1,605,673,914.65",60551
"11-Mar-2016","EQ","316.10","322.00","315.00","316.10","321.55","321.30","319.32","359.80","268.00",7799610,"2,490,557,717.70",91058
"10-Mar-2016","EQ","319.75","321.80","312.85","319.90","316.40","316.10","315.97","359.80","268.00",8933222,"2,822,590,529.70",94716
"09-Mar-2016","EQ","317.00","320.70","312.70","320.25","319.40","319.90","315.45","359.80","268.00",13418972,"4,233,004,998.10",128869
"08-Mar-2016","EQ","316.00","324.00","316.00","315.20","320.20","320.25","320.70","359.80","268.00",8415752,"2,698,909,964.40",97649
"04-Mar-2016","EQ","320.00","321.75","314.75","318.15","316.75","315.20","317.10","359.80","268.00",7586791,"2,405,740,801.75",70805
"03-Mar-2016","EQ","323.00","325.00","316.75","319.55","318.85","318.15","320.46","359.80","268.00",6565522,"2,103,963,765.90",63427
"02-Mar-2016","EQ","328.00","333.90","318.45","325.35","319.50","319.55","322.96","359.80","268.00",15843544,"5,116,766,841.25",148093
"01-Mar-2016","EQ","305.00","327.00","305.00","295.65","326.50","325.35","320.19","359.80","268.00",43268307,"13,854,192,868.45",304412
"29-Feb-2016","EQ","290.00","301.65","268.00","290.95","295.70","295.65","286.81","359.80","268.00",50990820,"14,624,830,889.05",312496
"26-Feb-2016","EQ","289.00","292.00","285.15","286.20","290.25","290.95","288.57","409.95","284.00",8004124,"2,309,725,137.15",78308
