"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","670.90","674.95","660.30","665.35","669.85","671.30","667.55","1,475.30","585.75",1990818,"1,328,970,565.20",42521
"08-Apr-2016","EQ","658.10","670.40","658.10","662.50","665.10","665.35","665.57","1,475.30","585.75",1007741,"670,726,939.45",27284
"07-Apr-2016","EQ","667.00","668.00","655.50","668.00","663.85","662.50","662.70","1,475.30","585.75",1619424,"1,073,197,836.05",69714
"06-Apr-2016","EQ","669.00","674.30","664.30","668.75","668.40","668.00","669.30","1,475.30","585.75",1683758,"1,126,935,130.25",74449
"05-Apr-2016","EQ","684.00","684.75","664.75","687.30","665.50","668.75","674.27","1,475.30","585.75",2892523,"1,950,342,657.80",51208
"04-Apr-2016","EQ","681.50","689.30","674.25","679.90","685.30","687.30","680.84","1,475.30","585.75",2059957,"1,402,507,904.70",52460
"01-Apr-2016","EQ","682.00","686.65","677.15","680.65","678.10","679.90","680.69","1,475.30","585.75",1470326,"1,000,838,149.25",59174
"31-Mar-2016","EQ","677.10","694.90","677.10","683.85","682.95","680.65","683.49","1,475.30","585.75",3982132,"2,721,739,261.45",74415
"30-Mar-2016","EQ","675.05","686.50","665.50","671.50","684.60","683.85","677.12","1,475.30","585.75",2827418,"1,914,498,180.10",92647
"29-Mar-2016","EQ","670.05","682.00","668.95","669.60","672.15","671.50","674.29","1,475.30","585.75",1966330,"1,325,875,539.15",39305
"28-Mar-2016","EQ","664.45","677.90","660.55","659.95","671.25","669.60","669.87","1,475.30","585.75",2904848,"1,945,880,068.70",63463
"23-Mar-2016","EQ","666.00","675.80","655.10","666.30","661.95","659.95","662.09","1,475.30","585.75",3269570,"2,164,763,525.65",56716
"22-Mar-2016","EQ","660.05","669.85","655.00","663.70","668.00","666.30","661.34","1,475.30","585.75",1179559,"780,088,030.40",33478
"21-Mar-2016","EQ","660.05","665.00","652.60","658.80","661.00","663.70","659.89","1,475.30","585.75",1164363,"768,353,458.50",35851
"18-Mar-2016","EQ","650.00","660.95","648.80","651.25","657.60","658.80","655.32","1,475.30","585.75",1939198,"1,270,803,873.45",50000
"17-Mar-2016","EQ","655.90","657.25","644.20","651.25","646.80","651.25","652.78","1,475.30","585.75",5790597,"3,779,993,968.75",90650
"16-Mar-2016","EQ","636.50","653.35","635.50","639.50","653.00","651.25","645.46","1,475.30","585.75",2153716,"1,390,146,863.75",53058
"15-Mar-2016","EQ","637.90","643.00","632.05","636.80","639.00","639.50","638.92","1,475.30","585.75",2150997,"1,374,311,631.20",72622
"14-Mar-2016","EQ","649.90","650.10","632.55","642.65","633.35","636.80","641.43","1,475.30","585.75",2566102,"1,645,980,182.30",71906
"11-Mar-2016","EQ","657.00","659.10","640.50","654.60","644.00","642.65","649.34","1,475.30","585.75",4293624,"2,788,019,043.30",54526
"10-Mar-2016","EQ","670.00","670.00","651.10","659.90","656.50","654.60","658.44","1,475.30","585.75",3566707,"2,348,473,183.80",56243
