"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2016","EQ","183.85","188.90","182.00","183.10","188.45","188.25","185.17","305.00","148.25",18990364,"3,516,413,527.90",106419
"08-Apr-2016","EQ","181.65","183.95","180.20","181.95","183.45","183.10","182.68","305.00","148.25",15805231,"2,887,350,774.35",106622
"07-Apr-2016","EQ","183.80","185.65","181.00","183.85","182.00","181.95","183.24","305.00","148.25",19430601,"3,560,435,990.20",128307
"06-Apr-2016","EQ","185.00","185.50","182.20","184.35","183.80","183.85","184.04","305.00","148.25",16350631,"3,009,183,153.20",118379
"05-Apr-2016","EQ","193.90","194.55","183.30","194.70","183.75","184.35","189.13","305.00","148.25",36635637,"6,928,984,285.10",225354
"04-Apr-2016","EQ","197.30","197.45","192.55","195.65","194.75","194.70","194.94","305.00","148.25",15732565,"3,066,858,073.50",97228
"01-Apr-2016","EQ","193.70","197.25","192.00","194.25","195.25","195.65","195.16","305.00","148.25",21752206,"4,245,259,280.20",115244
"31-Mar-2016","EQ","197.85","198.75","192.35","197.55","194.00","194.25","195.64","305.00","148.25",30132473,"5,894,972,138.00",149396
"30-Mar-2016","EQ","192.25","198.30","190.50","189.50","197.05","197.55","194.81","305.00","148.25",20709407,"4,034,427,688.15",126461
"29-Mar-2016","EQ","188.50","191.25","186.65","188.30","189.30","189.50","189.51","305.00","148.25",16804848,"3,184,611,760.10",97810
"28-Mar-2016","EQ","195.80","198.25","187.65","196.60","188.70","188.30","192.01","305.00","148.25",19760603,"3,794,322,276.50",122344
"23-Mar-2016","EQ","196.90","197.60","195.30","197.50","196.25","196.60","196.39","305.00","148.25",13362780,"2,624,328,980.40",79259
"22-Mar-2016","EQ","196.80","198.25","194.50","196.80","197.90","197.50","196.38","305.00","148.25",16728809,"3,285,173,329.40",116859
"21-Mar-2016","EQ","193.00","197.30","193.00","191.25","197.05","196.80","195.30","305.00","148.25",20678069,"4,038,513,853.50",143523
"18-Mar-2016","EQ","186.85","192.00","186.00","186.35","191.50","191.25","189.06","305.00","148.25",21144216,"3,997,511,142.15",134926
"17-Mar-2016","EQ","188.00","189.30","185.00","185.20","185.20","186.35","187.64","305.00","148.25",21560986,"4,045,649,929.65",140622
"16-Mar-2016","EQ","185.00","185.90","181.60","185.30","185.60","185.20","184.15","305.00","148.25",19237834,"3,542,620,830.15",107162
"15-Mar-2016","EQ","181.65","186.20","181.65","181.75","185.05","185.30","184.71","305.00","148.25",22369600,"4,131,972,680.70",154226
"14-Mar-2016","EQ","182.45","183.40","180.70","180.10","181.70","181.75","181.80","305.00","148.25",14369755,"2,612,424,161.20",90248
