"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","511.00","522.90","510.30","508.25","520.00","521.45","517.41","699.85","432.70",5693850,"2,946,070,527.95",66951
"10-Apr-2018","EQ","512.40","515.90","507.50","510.85","508.50","508.25","510.46","699.85","432.70",2645876,"1,350,620,637.25",52902
"09-Apr-2018","EQ","512.00","517.75","507.35","512.60","511.10","510.85","512.02","699.85","432.70",2395291,"1,226,442,234.50",49172
"06-Apr-2018","EQ","508.00","515.30","507.00","507.55","512.05","512.60","512.59","699.85","432.70",2772128,"1,420,963,738.05",44810
"05-Apr-2018","EQ","506.00","513.00","505.10","502.25","507.65","507.55","508.73","699.85","432.70",2409577,"1,225,822,344.05",37510
"04-Apr-2018","EQ","514.95","514.95","501.00","510.00","501.95","502.25","508.16","699.85","432.70",3120925,"1,585,931,607.10",43355
"03-Apr-2018","EQ","506.00","512.20","504.50","507.85","509.55","510.00","508.69","699.85","432.70",2709038,"1,378,065,912.50",36261
"02-Apr-2018","EQ","500.90","510.00","496.05","495.10","507.50","507.85","504.34","699.85","432.70",2924481,"1,474,943,076.35",53805
"28-Mar-2018","EQ","504.00","504.70","492.00","505.10","497.10","495.10","498.06","703.35","432.70",6856832,"3,415,123,566.70",123198
"27-Mar-2018","EQ","506.00","512.25","503.20","503.20","504.50","505.10","507.55","703.35","432.70",4458072,"2,262,716,316.55",55613
"26-Mar-2018","EQ","502.40","506.90","496.10","502.40","504.00","503.20","501.53","703.35","432.70",4203954,"2,108,388,311.75",65421
"23-Mar-2018","EQ","501.80","506.75","497.55","508.40","501.55","502.40","502.23","711.00","432.70",5098042,"2,560,414,529.40",62454
"22-Mar-2018","EQ","520.00","521.00","505.10","504.50","508.80","508.40","510.77","711.00","432.70",8691889,"4,439,551,844.40",114923
"21-Mar-2018","EQ","513.95","515.60","502.55","508.75","504.85","504.50","509.53","711.00","432.70",3986735,"2,031,370,609.50",71257
"20-Mar-2018","EQ","496.75","511.00","493.75","497.65","509.90","508.75","503.64","711.00","432.70",4615574,"2,324,592,727.55",67540
"19-Mar-2018","EQ","506.80","508.55","496.00","503.05","497.00","497.65","500.78","711.00","432.70",5580228,"2,794,467,947.80",69069
"16-Mar-2018","EQ","512.05","522.00","501.30","516.45","503.25","503.05","508.05","729.05","432.70",8924919,"4,534,309,618.10",102841
"15-Mar-2018","EQ","520.00","529.00","514.75","520.10","515.80","516.45","522.34","729.05","432.70",3013808,"1,574,227,073.25",41586
"14-Mar-2018","EQ","523.30","523.30","516.10","523.30","520.30","520.10","519.03","729.05","432.70",2469628,"1,281,818,825.60",32970
"13-Mar-2018","EQ","512.65","525.50","512.65","512.65","524.50","523.30","520.36","729.05","432.70",4795084,"2,495,180,479.00",69568
"12-Mar-2018","EQ","511.00","516.00","506.55","506.80","514.35","512.65","511.79","729.05","432.70",4632925,"2,371,066,717.75",51740
"09-Mar-2018","EQ","514.00","519.90","505.00","514.60","506.40","506.80","513.08","729.05","432.70",4996423,"2,563,550,722.35",67453
"08-Mar-2018","EQ","529.70","530.50","509.50","524.85","510.00","514.60","517.09","729.05","432.70",9316674,"4,817,580,004.90",89212
"07-Mar-2018","EQ","532.00","534.15","520.10","531.75","523.35","524.85","526.19","729.05","432.70",6282066,"3,305,557,741.00",67981
"06-Mar-2018","EQ","561.00","563.00","530.00","548.55","530.45","531.75","544.25","729.05","432.70",9825945,"5,347,798,766.20",115197
"05-Mar-2018","EQ","535.10","552.70","527.05","535.40","547.35","548.55","542.06","729.05","432.70",7343286,"3,980,485,799.80",111214
"01-Mar-2018","EQ","537.95","541.50","533.25","535.35","535.25","535.40","537.00","729.05","432.70",4264631,"2,290,107,548.55",59197
