"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2012","EQ","1,149.70","1,155.00","1,135.20","1,156.20","1,139.70","1,138.10","1,143.93","1,280.85","902.00",890793,"1,019,008,695.95",32484
"10-Apr-2012","EQ","1,166.30","1,175.65","1,152.25","1,164.10","1,155.95","1,156.20","1,158.41","1,280.85","902.00",766496,"887,919,626.70",36657
"09-Apr-2012","EQ","1,170.00","1,188.00","1,158.25","1,178.45","1,165.35","1,164.10","1,175.84","1,280.85","902.00",788314,"926,933,112.30",27903
"04-Apr-2012","EQ","1,169.00","1,189.80","1,167.00","1,178.00","1,179.75","1,178.45","1,180.33","1,280.85","902.00",1082527,"1,277,743,113.20",40516
"03-Apr-2012","EQ","1,200.20","1,207.35","1,175.30","1,194.25","1,175.75","1,178.00","1,183.46","1,280.85","902.00",1134577,"1,342,721,560.15",43520
"02-Apr-2012","EQ","1,170.00","1,199.00","1,170.00","1,168.80","1,198.00","1,194.25","1,186.71","1,280.85","902.00",1163494,"1,380,729,194.10",37095
"30-Mar-2012","EQ","1,145.50","1,175.75","1,145.50","1,141.20","1,165.00","1,168.80","1,163.32","1,280.85","902.00",1271671,"1,479,355,646.90",45363
"29-Mar-2012","EQ","1,151.00","1,164.00","1,132.40","1,165.10","1,148.95","1,141.20","1,144.18","1,280.85","902.00",1340607,"1,533,901,351.15",37545
"28-Mar-2012","EQ","1,174.00","1,174.65","1,154.45","1,174.75","1,165.00","1,165.10","1,164.29","1,280.85","902.00",1025548,"1,194,032,632.35",41552
"27-Mar-2012","EQ","1,173.00","1,179.65","1,151.95","1,161.60","1,176.00","1,174.75","1,166.22","1,280.85","902.00",794123,"926,120,039.10",26851
"26-Mar-2012","EQ","1,177.00","1,185.00","1,154.00","1,184.65","1,158.00","1,161.60","1,161.92","1,280.85","902.00",1526692,"1,773,889,180.45",58733
"23-Mar-2012","EQ","1,175.00","1,191.90","1,164.80","1,167.75","1,185.00","1,184.65","1,184.32","1,280.85","902.00",1579218,"1,870,298,593.95",56107
"22-Mar-2012","EQ","1,174.70","1,189.70","1,160.00","1,175.75","1,167.20","1,167.75","1,175.59","1,280.85","902.00",1710847,"2,011,254,682.00",45288
"21-Mar-2012","EQ","1,136.95","1,179.80","1,136.55","1,134.85","1,173.95","1,175.75","1,168.03","1,280.85","902.00",2276621,"2,659,156,505.95",75903
"20-Mar-2012","EQ","1,129.00","1,145.00","1,120.00","1,122.00","1,133.70","1,134.85","1,136.90","1,280.85","902.00",1841602,"2,093,708,789.65",52465
"19-Mar-2012","EQ","1,169.55","1,169.55","1,111.80","1,169.55","1,124.75","1,122.00","1,125.12","1,280.85","902.00",2566432,"2,887,533,930.55",90251
