"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","852.00","858.25","847.00","850.50","850.05","850.05","851.65","1,158.00","283.25",220588,"187,863,361.05",
"08-Apr-2010","EQ","853.00","861.00","845.40","851.05","850.00","850.50","854.04","1,158.00","283.25",344166,"293,930,614.00",
"07-Apr-2010","EQ","855.00","867.05","841.10","861.15","849.50","851.05","857.42","1,158.00","283.25",307165,"263,370,919.45",
"06-Apr-2010","EQ","864.30","866.90","851.55","860.75","860.30","861.15","859.10","1,158.00","283.25",343822,"295,378,858.20",
"05-Apr-2010","EQ","870.00","870.00","849.10","859.50","861.45","860.75","860.55","1,158.00","283.25",238893,"205,578,889.05",
"01-Apr-2010","EQ","854.00","867.40","833.00","853.10","859.15","859.50","859.71","1,158.00","250.00",391499,"336,574,605.65",
"31-Mar-2010","EQ","880.00","881.30","849.00","882.55","851.80","853.10","864.27","1,158.00","250.00",661109,"571,378,878.85",
"30-Mar-2010","EQ","904.30","909.95","880.00","904.30","883.10","882.55","892.76","1,158.00","250.00",417329,"372,574,741.65",
"29-Mar-2010","EQ","910.50","914.80","901.10","907.05","904.00","904.30","906.19","1,158.00","250.00",133002,"120,525,691.60",
"26-Mar-2010","EQ","904.00","910.95","898.10","894.30","907.10","907.05","906.15","1,158.00","250.00",209916,"190,216,257.55",
"25-Mar-2010","EQ","916.20","919.70","890.10","910.15","893.55","894.30","901.63","1,158.00","250.00",489614,"441,451,095.45",
"23-Mar-2010","EQ","914.00","918.20","903.60","911.65","910.25","910.15","911.69","1,158.00","250.00",152337,"138,884,580.05",
"22-Mar-2010","EQ","900.00","913.50","895.00","906.45","912.00","911.65","910.55","1,158.00","250.00",272409,"248,041,633.00",
"19-Mar-2010","EQ","912.15","917.00","903.35","906.75","907.00","906.45","908.33","1,158.00","250.00",225096,"204,462,242.55",
"18-Mar-2010","EQ","925.00","925.00","905.05","918.55","905.05","906.75","910.14","1,158.00","250.00",385571,"350,925,284.90",
"17-Mar-2010","EQ","920.00","934.25","916.25","913.45","920.10","918.55","925.23","1,158.00","250.00",529406,"489,823,248.60",
"16-Mar-2010","EQ","905.00","919.50","905.00","902.50","910.35","913.45","915.28","1,158.00","250.00",194955,"178,438,403.10",
"15-Mar-2010","EQ","908.00","910.00","897.15","907.05","906.00","902.50","902.65","1,158.00","250.00",267912,"241,831,649.40",
"12-Mar-2010","EQ","905.00","916.00","900.40","903.50","907.45","907.05","907.80","1,158.00","248.30",251970,"228,737,428.70",
"11-Mar-2010","EQ","871.00","908.35","871.00","899.35","906.90","903.50","900.36","1,158.00","248.30",203485,"183,210,369.50",
"10-Mar-2010","EQ","907.60","920.90","888.00","907.25","900.00","899.35","907.31","1,158.00","248.30",276269,"250,662,221.30",
"09-Mar-2010","EQ","911.00","921.90","904.00","911.60","908.50","907.25","911.25","1,158.00","248.30",495487,"451,510,088.20",
"08-Mar-2010","EQ","949.00","958.00","909.00","931.70","910.00","911.60","919.44","1,158.00","248.30",412432,"379,207,686.50",
"05-Mar-2010","EQ","924.95","944.90","918.85","918.50","929.00","931.70","935.65","1,158.00","240.40",552560,"517,003,107.25",
"04-Mar-2010","EQ","911.25","922.65","905.00","909.00","917.50","918.50","914.72","1,158.00","240.40",315465,"288,561,577.30",
"03-Mar-2010","EQ","904.00","912.00","899.00","897.15","908.00","909.00","907.75","1,158.00","240.40",133190,"120,903,173.05",
"02-Mar-2010","EQ","901.00","907.30","890.60","890.85","898.50","897.15","898.05","1,158.00","240.40",206565,"185,506,306.45",
"26-Feb-2010","EQ","924.20","924.20","882.25","907.45","889.25","890.85","894.17","1,158.00","240.40",404739,"361,906,557.35",
"25-Feb-2010","EQ","922.00","931.00","898.35","917.95","908.00","907.45","913.45","1,158.00","240.40",219033,"200,075,425.80",
"24-Feb-2010","EQ","921.05","940.40","913.25","928.50","919.20","917.95","924.42","1,158.00","240.40",173981,"160,831,968.00",
"23-Feb-2010","EQ","931.00","937.00","920.00","940.55","926.00","928.50","930.62","1,158.00","240.40",122335,"113,846,878.00",
"22-Feb-2010","EQ","955.15","957.45","933.90","940.15","938.60","940.55","949.48","1,158.00","240.40",104530,"99,248,735.05",
"19-Feb-2010","EQ","953.00","956.65","932.00","958.90","937.00","940.15","946.42","1,158.00","215.25",110230,"104,323,873.90",
"18-Feb-2010","EQ","964.90","974.60","951.65","959.80","955.50","958.90","966.11","1,158.00","215.25",127291,"122,977,656.70",
"17-Feb-2010","EQ","958.00","971.00","954.00","949.90","957.50","959.80","963.02","1,158.00","215.25",206810,"199,161,409.75",
"16-Feb-2010","EQ","956.00","956.00","941.00","947.95","954.90","949.90","948.00","1,158.00","215.25",104088,"98,675,364.10",
"15-Feb-2010","EQ","942.00","956.20","940.10","940.70","946.10","947.95","949.28","1,158.00","215.25",98056,"93,082,517.30",
"11-Feb-2010","EQ","952.00","956.10","936.00","932.95","938.00","940.70","946.77","1,158.00","215.25",109290,"103,472,361.60",
"10-Feb-2010","EQ","948.00","964.00","928.15","942.00","931.00","932.95","950.70","1,158.00","215.25",147005,"139,756,958.80",
"09-Feb-2010","EQ","922.10","954.40","922.10","943.05","940.95","942.00","945.04","1,158.00","215.25",134805,"127,395,562.20",
"08-Feb-2010","EQ","945.00","961.25","925.00","942.45","945.00","943.05","943.71","1,158.00","215.25",156412,"147,608,069.00",
"06-Feb-2010","EQ","941.00","951.00","936.00","936.70","942.45","942.45","942.80","1,158.00","215.25",27121,"25,569,632.60",
"05-Feb-2010","EQ","930.10","955.00","906.00","943.65","930.45","936.70","929.91","1,158.00","215.25",213528,"198,562,600.90",
"04-Feb-2010","EQ","959.90","967.80","935.80","963.90","949.00","943.65","955.90","1,158.00","215.25",236002,"225,595,328.80",
"03-Feb-2010","EQ","970.00","986.00","959.25","948.80","964.00","963.90","971.67","1,158.00","215.25",321629,"312,517,354.15",
"02-Feb-2010","EQ","973.90","997.80","942.25","968.60","948.00","948.80","972.32","1,158.00","215.25",295905,"287,714,456.95",
"01-Feb-2010","EQ","965.00","990.90","952.70","972.50","972.50","968.60","976.90","1,158.00","215.25",289706,"283,013,525.15",
"29-Jan-2010","EQ","976.00","993.00","937.70","996.85","973.30","972.50","962.83","1,158.00","208.00",328147,"315,948,799.10",
"28-Jan-2010","EQ","958.50","1,010.50","949.00","944.45","1,009.80","996.85","974.65","1,158.00","208.00",749301,"730,307,599.15",
"27-Jan-2010","EQ","1,040.00","1,040.00","927.10","1,049.10","932.00","944.45","983.32","1,158.00","208.00",671501,"660,302,715.65",
"25-Jan-2010","EQ","1,130.00","1,130.00","1,025.60","1,137.65","1,050.00","1,049.10","1,048.06","1,158.00","208.00",1075580,"1,127,275,136.65",
"22-Jan-2010","EQ","1,091.00","1,158.00","1,077.30","1,107.40","1,139.70","1,137.65","1,131.01","1,158.00","205.00",544092,"615,375,125.05",
"21-Jan-2010","EQ","1,115.00","1,135.00","1,081.35","1,120.10","1,101.15","1,107.40","1,113.25","1,154.00","205.00",196877,"219,172,343.90",
"20-Jan-2010","EQ","1,122.00","1,144.00","1,106.45","1,117.40","1,122.20","1,120.10","1,124.28","1,154.00","205.00",164357,"184,782,944.25",
"19-Jan-2010","EQ","1,076.50","1,149.90","1,076.50","1,137.05","1,129.00","1,117.40","1,125.68","1,154.00","205.00",157430,"177,215,317.30",
"18-Jan-2010","EQ","1,131.00","1,154.00","1,125.80","1,137.15","1,140.10","1,137.05","1,140.03","1,154.00","205.00",302219,"344,537,951.85",
"15-Jan-2010","EQ","1,100.00","1,144.00","1,086.00","1,081.45","1,139.20","1,137.15","1,123.11","1,148.70","205.00",967714,"1,086,846,272.35",
"14-Jan-2010","EQ","1,104.00","1,104.00","1,071.00","1,087.10","1,082.00","1,081.45","1,084.32","1,148.70","205.00",340517,"369,229,369.30",
"13-Jan-2010","EQ","1,035.00","1,090.95","1,030.00","1,045.55","1,088.00","1,087.10","1,069.47","1,148.70","205.00",727612,"778,159,918.05",
"12-Jan-2010","EQ","1,049.00","1,063.90","1,040.00","1,038.50","1,043.90","1,045.55","1,053.73","1,148.70","205.00",328778,"346,442,894.85",
"11-Jan-2010","EQ","1,050.00","1,064.70","1,032.10","1,045.10","1,043.00","1,038.50","1,051.58","1,148.70","205.00",329930,"346,949,407.05",
"08-Jan-2010","EQ","1,018.00","1,052.80","1,010.10","1,018.30","1,047.25","1,045.10","1,035.59","1,148.70","205.00",520240,"538,755,676.85",
"07-Jan-2010","EQ","1,043.00","1,045.00","1,009.95","1,041.20","1,021.50","1,018.30","1,023.94","1,148.70","205.00",183747,"188,146,274.50",
"06-Jan-2010","EQ","1,034.20","1,049.00","1,031.75","1,036.10","1,042.00","1,041.20","1,040.82","1,148.70","205.00",210090,"218,665,938.80",
"05-Jan-2010","EQ","1,034.00","1,052.00","1,029.10","1,023.00","1,033.20","1,036.10","1,041.87","1,148.70","205.00",426652,"444,515,669.60",
"04-Jan-2010","EQ","996.80","1,033.00","992.00","991.20","1,033.00","1,023.00","1,015.28","1,148.70","205.00",317189,"322,034,873.80",
"31-Dec-2009","EQ","985.00","1,010.00","985.00","990.60","988.15","991.20","994.04","1,148.70","205.00",210977,"209,719,854.35",
"30-Dec-2009","EQ","1,000.00","1,009.80","985.00","998.60","987.30","990.60","997.56","1,148.70","205.00",182631,"182,184,763.70",
"29-Dec-2009","EQ","1,010.00","1,013.65","996.10","1,002.85","997.20","998.60","1,002.53","1,148.70","205.00",77948,"78,144,884.30",
"24-Dec-2009","EQ","1,015.10","1,020.75","997.45","1,008.85","1,000.05","1,002.85","1,010.94","1,148.70","205.00",191956,"194,055,603.10",
"23-Dec-2009","EQ","997.00","1,016.05","992.30","994.35","1,007.00","1,008.85","1,007.95","1,148.70","205.00",238739,"240,637,452.85",
"22-Dec-2009","EQ","1,000.00","1,005.00","990.00","996.15","992.00","994.35","997.23","1,148.70","205.00",93139,"92,881,373.10",
"21-Dec-2009","EQ","1,010.00","1,010.00","991.00","992.00","998.00","996.15","997.65","1,148.70","205.00",159083,"158,709,217.30",
"18-Dec-2009","EQ","1,148.70","1,148.70","986.40","1,005.95","988.10","992.00","1,003.83","1,148.70","205.00",188704,"189,427,364.50",
"17-Dec-2009","EQ","996.10","1,014.00","988.00","991.75","1,008.80","1,005.95","1,006.63","1,079.00","205.00",230811,"232,340,406.65",
"16-Dec-2009","EQ","990.00","999.00","982.65","988.65","995.00","991.75","991.55","1,079.00","205.00",132667,"131,545,723.10",
"15-Dec-2009","EQ","995.15","1,010.20","981.15","1,003.20","985.00","988.65","997.58","1,079.00","205.00",190439,"189,978,380.75",
"14-Dec-2009","EQ","1,002.00","1,014.70","986.05","1,002.00","1,003.05","1,003.20","1,003.43","1,079.00","205.00",255093,"255,968,759.95",
"11-Dec-2009","EQ","1,020.00","1,027.55","995.20","1,017.50","1,000.10","1,002.00","1,011.08","1,079.00","205.00",180893,"182,896,462.30",
"10-Dec-2009","EQ","1,014.20","1,036.80","1,005.00","995.65","1,017.00","1,017.50","1,024.50","1,079.00","205.00",535823,"548,951,946.00",
"09-Dec-2009","EQ","985.10","1,014.90","982.85","989.30","996.00","995.65","1,003.08","1,079.00","205.00",409906,"411,167,726.30",
"08-Dec-2009","EQ","970.35","996.20","963.35","978.50","994.50","989.30","979.14","1,079.00","205.00",310277,"303,803,921.90",
"07-Dec-2009","EQ","979.90","990.00","969.50","968.05","976.35","978.50","981.28","1,079.00","205.00",413747,"406,003,622.55",
"04-Dec-2009","EQ","956.00","983.10","955.20","958.30","966.95","968.05","972.50","1,079.00","205.00",445238,"432,993,417.65",
"03-Dec-2009","EQ","935.00","971.70","935.00","929.05","958.25","958.30","958.50","1,079.00","205.00",586530,"562,188,210.55",
"02-Dec-2009","EQ","948.00","969.00","924.00","938.30","925.40","929.05","938.16","1,079.00","205.00",264405,"248,053,937.80",
"01-Dec-2009","EQ","935.00","947.10","926.70","928.65","937.90","938.30","938.90","1,079.00","205.00",215274,"202,121,040.40",
"30-Nov-2009","EQ","936.90","936.90","911.20","916.55","928.50","928.65","925.08","1,079.00","205.00",368641,"341,022,389.85",
"27-Nov-2009","EQ","892.90","924.95","880.50","909.25","914.65","916.55","905.63","1,079.00","205.00",938846,"850,250,428.55",
"26-Nov-2009","EQ","912.00","934.40","881.30","924.05","902.65","909.25","911.48","1,079.00","205.00",1831729,"1,669,582,247.35",
"25-Nov-2009","EQ","970.00","978.70","904.00","971.95","929.70","924.05","932.65","1,079.00","205.00",930372,"867,712,698.60",
"24-Nov-2009","EQ","972.00","994.00","965.60","986.55","973.25","971.95","976.51","1,079.00","205.00",297083,"290,105,981.20",
"23-Nov-2009","EQ","981.20","998.50","977.10","984.00","989.00","986.55","987.92","1,079.00","205.00",248518,"245,517,053.65",
"20-Nov-2009","EQ","970.00","992.95","927.40","974.05","981.20","984.00","973.84","1,079.00","205.00",305016,"297,036,157.55",
"19-Nov-2009","EQ","1,006.00","1,018.90","965.15","1,016.50","973.00","974.05","989.47","1,079.00","205.00",391679,"387,555,719.60",
"18-Nov-2009","EQ","1,014.00","1,040.90","1,006.25","1,020.35","1,010.00","1,016.50","1,026.17","1,079.00","205.00",288314,"295,858,752.40",
"17-Nov-2009","EQ","1,010.00","1,029.90","1,004.05","1,005.50","1,013.55","1,020.35","1,019.61","1,079.00","205.00",399474,"407,307,046.40",
"16-Nov-2009","EQ","1,009.00","1,019.00","992.20","1,002.00","1,005.95","1,005.50","1,005.65","1,079.00","205.00",598460,"601,843,280.10",
"13-Nov-2009","EQ","1,023.00","1,056.55","996.65","1,048.65","1,003.60","1,002.00","1,017.92","1,079.00","205.00",546198,"555,983,315.65",
"12-Nov-2009","EQ","1,079.00","1,079.00","1,003.40","1,054.25","1,048.00","1,048.65","1,052.16","1,079.00","205.00",685836,"721,608,408.05",
"11-Nov-2009","EQ","1,000.00","1,064.00","990.00","999.60","1,058.00","1,054.25","1,039.15","1,064.00","205.00",1110930,"1,154,424,668.40",
"10-Nov-2009","EQ","1,042.00","1,049.00","988.15","1,029.50","994.00","999.60","1,023.30","1,049.00","205.00",1107454,"1,133,261,005.40",
"09-Nov-2009","EQ","940.00","1,037.55","930.00","934.05","1,035.00","1,029.50","1,001.60","1,037.55","205.00",1717479,"1,720,232,710.85",
"06-Nov-2009","EQ","918.40","944.00","906.00","930.40","934.20","934.05","936.54","1,022.00","205.00",123791,"115,935,412.10",
"05-Nov-2009","EQ","914.60","934.95","897.10","917.90","930.50","930.40","914.73","1,022.00","205.00",188362,"172,300,076.30",
"04-Nov-2009","EQ","900.00","925.80","873.00","896.65","923.80","917.90","897.90","1,022.00","205.00",303078,"272,134,959.35",
"03-Nov-2009","EQ","929.00","934.95","887.00","934.35","890.00","896.65","917.22","1,022.00","205.00",315623,"289,496,301.40",
"30-Oct-2009","EQ","944.00","956.00","916.00","929.10","935.00","934.35","938.65","1,022.00","205.00",479455,"450,040,512.45",
"29-Oct-2009","EQ","937.00","940.65","915.55","943.05","928.00","929.10","930.53","1,022.00","205.00",449623,"418,388,124.70",
"28-Oct-2009","EQ","930.50","947.30","912.50","936.05","943.50","943.05","932.98","1,022.00","205.00",234563,"218,842,239.70",
"27-Oct-2009","EQ","935.00","953.80","930.05","939.35","937.00","936.05","939.01","1,022.00","205.00",483835,"454,327,805.25",
"26-Oct-2009","EQ","942.00","946.70","928.00","939.05","940.00","939.35","938.00","1,022.00","205.00",254792,"238,994,101.10",
"23-Oct-2009","EQ","949.05","950.00","935.30","938.70","939.20","939.05","941.57","1,022.00","205.00",223875,"210,794,633.35",
"22-Oct-2009","EQ","942.00","949.45","935.00","943.30","940.00","938.70","939.81","1,022.00","205.00",371970,"349,580,659.35",
"21-Oct-2009","EQ","950.00","959.00","938.00","941.60","942.00","943.30","947.34","1,022.00","205.00",665491,"630,447,234.05",
"20-Oct-2009","EQ","943.00","960.50","935.05","940.75","942.75","941.60","950.71","1,022.00","205.00",591465,"562,312,937.60",
"17-Oct-2009","EQ","921.00","958.90","921.00","950.00","936.50","940.75","944.04","1,022.00","205.00",75529,"71,302,222.15",
"16-Oct-2009","EQ","934.00","953.15","926.00","929.25","949.00","950.00","942.87","1,022.00","205.00",534178,"503,659,515.65",
"15-Oct-2009","EQ","941.90","947.00","918.70","933.55","928.00","929.25","933.29","1,022.00","205.00",581677,"542,874,629.10",
"14-Oct-2009","EQ","942.00","943.25","925.00","924.60","933.65","933.55","934.97","1,022.00","205.00",336600,"314,710,115.10",
"12-Oct-2009","EQ","915.00","932.90","914.00","919.35","923.10","924.60","925.82","1,022.00","205.00",252871,"234,113,667.60",
"09-Oct-2009","EQ","912.00","932.45","905.05","907.75","919.05","919.35","920.91","1,022.00","205.00",512430,"471,899,574.35",
"08-Oct-2009","EQ","925.00","926.85","901.15","919.65","908.15","907.75","910.35","1,022.00","205.00",326606,"297,327,371.10",
"07-Oct-2009","EQ","940.00","940.00","910.25","934.60","922.00","919.65","918.90","1,022.00","205.00",637901,"586,166,105.80",
"06-Oct-2009","EQ","957.00","957.00","920.00","938.15","933.25","934.60","931.12","1,022.00","205.00",421380,"392,356,378.80",
"05-Oct-2009","EQ","939.00","956.40","925.00","946.00","939.10","938.15","944.57","1,022.00","205.00",598026,"564,877,169.45",
"01-Oct-2009","EQ","930.00","958.75","930.00","936.15","943.40","946.00","949.27","1,022.00","205.00",853020,"809,749,712.95",
"30-Sep-2009","EQ","931.00","946.90","928.00","926.40","936.00","936.15","937.64","1,022.00","205.00",792645,"743,213,369.85",
"29-Sep-2009","EQ","940.00","949.70","922.50","934.70","926.05","926.40","930.83","1,022.00","205.00",663384,"617,499,243.65",
"25-Sep-2009","EQ","893.20","944.95","888.05","893.20","932.10","934.70","925.07","1,022.00","205.00",1459936,"1,350,541,422.10",
"24-Sep-2009","EQ","895.00","900.00","883.90","902.20","890.65","893.20","892.96","1,022.00","205.00",589549,"526,445,887.35",
