"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","1,930.00","1,930.00","1,890.05","1,886.45","1,907.75","1,905.50","1,907.53","1,930.00","720.00",29551,"56,369,371.60",
"08-Apr-2010","EQ","1,884.80","1,921.80","1,870.30","1,880.30","1,880.15","1,886.45","1,899.86","1,921.80","720.00",84591,"160,711,164.70",
"07-Apr-2010","EQ","1,880.00","1,890.00","1,865.00","1,870.65","1,885.00","1,880.30","1,880.20","1,902.00","720.00",104009,"195,557,883.35",
"06-Apr-2010","EQ","1,880.00","1,880.00","1,852.00","1,871.55","1,871.05","1,870.65","1,863.96","1,902.00","720.00",20217,"37,683,714.80",
"05-Apr-2010","EQ","1,894.90","1,894.90","1,861.00","1,872.60","1,871.05","1,871.55","1,875.26","1,902.00","720.00",36710,"68,840,612.10",
"01-Apr-2010","EQ","1,840.00","1,879.00","1,838.00","1,840.60","1,879.00","1,872.60","1,862.09","1,902.00","720.00",63460,"118,168,535.20",
"31-Mar-2010","EQ","1,821.00","1,853.00","1,821.00","1,832.50","1,840.00","1,840.60","1,841.64","1,902.00","720.00",63928,"117,732,579.20",
"30-Mar-2010","EQ","1,860.00","1,865.00","1,830.00","1,847.35","1,832.00","1,832.50","1,846.85","1,902.00","720.00",49592,"91,588,855.90",
"29-Mar-2010","EQ","1,825.00","1,852.00","1,815.00","1,816.70","1,850.00","1,847.35","1,840.65","1,902.00","720.00",69728,"128,344,597.60",
"26-Mar-2010","EQ","1,785.00","1,833.80","1,785.00","1,775.35","1,817.60","1,816.70","1,815.68","1,902.00","718.05",71067,"129,034,815.50",
"25-Mar-2010","EQ","1,777.10","1,807.85","1,765.80","1,780.85","1,781.00","1,775.35","1,778.54","1,902.00","718.05",125499,"223,204,953.55",
"23-Mar-2010","EQ","1,797.40","1,820.00","1,773.65","1,787.35","1,785.00","1,780.85","1,790.33","1,902.00","718.05",60985,"109,183,146.85",
"22-Mar-2010","EQ","1,800.00","1,825.00","1,781.35","1,823.50","1,789.00","1,787.35","1,800.03","1,902.00","718.05",41769,"75,185,440.20",
"19-Mar-2010","EQ","1,821.00","1,847.50","1,811.00","1,811.95","1,818.00","1,823.50","1,828.36","1,902.00","718.05",47550,"86,938,478.65",
"18-Mar-2010","EQ","1,834.00","1,834.00","1,808.00","1,807.45","1,810.25","1,811.95","1,818.27","1,902.00","718.05",42566,"77,396,447.60",
"17-Mar-2010","EQ","1,805.00","1,848.00","1,797.35","1,802.15","1,803.00","1,807.45","1,828.79","1,902.00","718.05",119386,"218,332,243.30",
"16-Mar-2010","EQ","1,810.00","1,812.80","1,786.55","1,790.85","1,806.00","1,802.15","1,802.22","1,902.00","718.05",73883,"133,153,616.30",
"15-Mar-2010","EQ","1,797.00","1,814.90","1,785.00","1,803.90","1,789.00","1,790.85","1,795.89","1,902.00","718.05",48339,"86,811,623.35",
"12-Mar-2010","EQ","1,817.90","1,832.95","1,796.30","1,812.10","1,800.10","1,803.90","1,813.52","1,902.00","666.60",81268,"147,381,493.70",
"11-Mar-2010","EQ","1,767.00","1,825.00","1,767.00","1,798.75","1,811.10","1,812.10","1,799.06","1,902.00","666.60",52475,"94,405,428.60",
"10-Mar-2010","EQ","1,801.05","1,842.00","1,792.05","1,814.40","1,805.00","1,798.75","1,819.53","1,902.00","666.60",103177,"187,733,815.80",
"09-Mar-2010","EQ","1,810.00","1,834.90","1,792.05","1,810.20","1,812.45","1,814.40","1,817.09","1,902.00","666.60",82861,"150,566,167.70",
"08-Mar-2010","EQ","1,849.00","1,859.00","1,805.05","1,830.50","1,808.95","1,810.20","1,817.83","1,902.00","666.60",86205,"156,705,904.50",
"05-Mar-2010","EQ","1,880.00","1,902.00","1,822.50","1,867.35","1,835.20","1,830.50","1,862.55","1,902.00","666.60",104248,"194,166,686.50",
"04-Mar-2010","EQ","1,816.00","1,877.90","1,808.00","1,814.20","1,874.00","1,867.35","1,855.89","1,877.90","666.60",135134,"250,794,241.45",
"03-Mar-2010","EQ","1,797.40","1,827.00","1,797.40","1,791.45","1,810.05","1,814.20","1,813.02","1,853.55","666.60",42772,"77,546,613.40",
"02-Mar-2010","EQ","1,768.00","1,800.00","1,760.05","1,746.25","1,800.00","1,791.45","1,785.97","1,853.55","666.60",54525,"97,379,981.20",
"26-Feb-2010","EQ","1,737.80","1,774.00","1,701.55","1,723.55","1,745.00","1,746.25","1,749.96","1,853.55","666.60",116519,"203,903,415.15",
"25-Feb-2010","EQ","1,725.00","1,749.70","1,718.00","1,735.60","1,725.25","1,723.55","1,731.24","1,853.55","666.60",52990,"91,738,352.90",
"24-Feb-2010","EQ","1,730.00","1,762.00","1,725.00","1,747.40","1,726.25","1,735.60","1,745.04","1,853.55","666.60",41359,"72,173,269.05",
"23-Feb-2010","EQ","1,750.00","1,774.00","1,728.60","1,763.10","1,742.00","1,747.40","1,751.39","1,853.55","666.60",171298,"300,008,802.70",
"22-Feb-2010","EQ","1,829.90","1,853.55","1,755.00","1,811.55","1,763.00","1,763.10","1,800.40","1,853.55","666.60",173619,"312,583,045.70",
"19-Feb-2010","EQ","1,800.00","1,847.00","1,795.10","1,825.65","1,810.35","1,811.55","1,820.15","1,850.00","666.60",68911,"125,428,541.45",
"18-Feb-2010","EQ","1,795.00","1,850.00","1,790.05","1,797.25","1,816.00","1,825.65","1,833.35","1,850.00","666.60",208558,"382,359,395.30",
"17-Feb-2010","EQ","1,739.00","1,819.00","1,733.30","1,727.50","1,800.20","1,797.25","1,782.91","1,819.00","666.60",213417,"380,503,434.85",
"16-Feb-2010","EQ","1,740.00","1,742.00","1,712.10","1,717.00","1,723.80","1,727.50","1,727.76","1,780.00","666.60",23264,"40,194,600.20",
"15-Feb-2010","EQ","1,728.95","1,753.50","1,711.35","1,737.20","1,713.20","1,717.00","1,730.51","1,780.00","666.60",34625,"59,919,029.80",
"11-Feb-2010","EQ","1,740.40","1,755.00","1,718.30","1,723.65","1,729.00","1,737.20","1,735.19","1,780.00","666.60",80234,"139,221,604.65",
"10-Feb-2010","EQ","1,709.00","1,780.00","1,709.00","1,701.30","1,720.00","1,723.65","1,746.90","1,780.00","666.60",203996,"356,360,936.40",
"09-Feb-2010","EQ","1,708.80","1,723.70","1,685.15","1,700.35","1,703.90","1,701.30","1,704.91","1,777.00","666.60",82786,"141,142,933.90",
"08-Feb-2010","EQ","1,709.00","1,739.00","1,676.55","1,697.25","1,700.60","1,700.35","1,704.05","1,777.00","666.60",112866,"192,329,536.20",
"06-Feb-2010","EQ","1,684.00","1,716.00","1,684.00","1,682.65","1,697.25","1,697.25","1,700.10","1,777.00","666.60",12261,"20,844,922.35",
"05-Feb-2010","EQ","1,670.00","1,719.00","1,650.45","1,702.40","1,680.00","1,682.65","1,686.89","1,777.00","666.60",124577,"210,147,315.55",
"04-Feb-2010","EQ","1,748.00","1,775.00","1,677.10","1,732.85","1,700.00","1,702.40","1,736.00","1,777.00","666.60",196283,"340,746,819.35",
"03-Feb-2010","EQ","1,680.00","1,777.00","1,678.00","1,670.25","1,723.00","1,732.85","1,746.81","1,777.00","666.60",296856,"518,551,924.85",
"02-Feb-2010","EQ","1,715.00","1,740.00","1,658.00","1,708.50","1,665.10","1,670.25","1,694.03","1,740.00","666.60",158146,"267,904,520.75",
"01-Feb-2010","EQ","1,525.00","1,727.00","1,524.75","1,500.90","1,719.00","1,708.50","1,663.38","1,727.00","666.60",373420,"621,138,288.85",
"29-Jan-2010","EQ","1,515.00","1,530.00","1,475.00","1,524.65","1,500.00","1,500.90","1,495.02","1,580.00","666.60",22107,"33,050,468.05",
"28-Jan-2010","EQ","1,470.00","1,539.00","1,456.05","1,498.75","1,522.25","1,524.65","1,489.96","1,580.00","666.60",75162,"111,988,548.50",
"27-Jan-2010","EQ","1,473.60","1,514.00","1,473.60","1,502.65","1,490.00","1,498.75","1,487.08","1,580.00","666.60",38845,"57,765,697.75",
"25-Jan-2010","EQ","1,501.10","1,513.50","1,490.00","1,520.65","1,505.00","1,502.65","1,499.59","1,580.00","666.60",14343,"21,508,687.65",
"22-Jan-2010","EQ","1,495.00","1,528.90","1,436.00","1,524.10","1,520.05","1,520.65","1,493.89","1,580.00","666.60",27865,"41,627,207.70",
"21-Jan-2010","EQ","1,556.50","1,559.70","1,508.00","1,555.55","1,529.00","1,524.10","1,535.94","1,580.00","666.60",43412,"66,678,433.55",
"20-Jan-2010","EQ","1,547.00","1,580.00","1,536.00","1,534.15","1,555.00","1,555.55","1,553.95","1,580.00","666.60",127497,"198,124,352.10",
"19-Jan-2010","EQ","1,476.60","1,568.00","1,411.00","1,505.80","1,531.00","1,534.15","1,550.60","1,580.00","666.60",112559,"174,534,339.15",
"18-Jan-2010","EQ","1,529.00","1,529.00","1,486.00","1,515.65","1,502.00","1,505.80","1,509.27","1,580.00","666.60",11959,"18,049,406.45",
"15-Jan-2010","EQ","1,520.00","1,529.90","1,496.60","1,517.30","1,512.10","1,515.65","1,516.45","1,580.00","666.60",32970,"49,997,288.40",
"14-Jan-2010","EQ","1,484.50","1,524.90","1,477.00","1,469.30","1,520.00","1,517.30","1,509.02","1,580.00","666.60",56431,"85,155,553.20",
"13-Jan-2010","EQ","1,480.00","1,491.00","1,460.00","1,480.80","1,465.25","1,469.30","1,471.59","1,580.00","666.60",26264,"38,649,778.30",
"12-Jan-2010","EQ","1,504.90","1,504.90","1,474.00","1,484.60","1,478.00","1,480.80","1,490.98","1,580.00","666.60",19693,"29,361,929.25",
"11-Jan-2010","EQ","1,520.00","1,520.00","1,478.90","1,496.70","1,484.70","1,484.60","1,496.04","1,580.00","666.60",20314,"30,390,458.75",
"08-Jan-2010","EQ","1,525.00","1,525.00","1,456.55","1,510.65","1,498.00","1,496.70","1,497.88","1,580.00","666.60",23912,"35,817,266.00",
"07-Jan-2010","EQ","1,465.00","1,533.00","1,465.00","1,474.00","1,508.80","1,510.65","1,509.14","1,580.00","666.60",160917,"242,846,655.45",
"06-Jan-2010","EQ","1,471.00","1,488.00","1,465.00","1,450.65","1,469.80","1,474.00","1,475.48","1,580.00","666.60",65925,"97,270,988.80",
"05-Jan-2010","EQ","1,449.00","1,462.00","1,424.00","1,421.50","1,447.50","1,450.65","1,449.17","1,580.00","666.60",64133,"92,939,778.10",
"04-Jan-2010","EQ","1,425.00","1,449.00","1,407.20","1,423.35","1,420.10","1,421.50","1,420.54","1,580.00","666.60",24544,"34,865,853.40",
"31-Dec-2009","EQ","1,460.00","1,477.75","1,415.35","1,458.10","1,415.35","1,423.35","1,444.85","1,580.00","666.60",63846,"92,248,019.25",
"30-Dec-2009","EQ","1,425.00","1,467.85","1,403.05","1,436.15","1,462.30","1,458.10","1,450.89","1,580.00","666.60",47234,"68,531,389.50",
"29-Dec-2009","EQ","1,430.00","1,580.00","1,422.20","1,419.55","1,438.00","1,436.15","1,442.58","1,580.00","666.60",65079,"93,881,899.40",
"24-Dec-2009","EQ","1,373.00","1,433.00","1,373.00","1,373.80","1,420.00","1,419.55","1,420.02","1,488.40","666.60",142443,"202,272,235.50",
"23-Dec-2009","EQ","1,373.00","1,396.85","1,363.05","1,369.00","1,373.90","1,373.80","1,378.55","1,488.40","666.60",26917,"37,106,325.75",
"22-Dec-2009","EQ","1,377.00","1,406.00","1,360.20","1,377.90","1,362.25","1,369.00","1,385.90","1,488.40","666.60",41925,"58,103,898.30",
"21-Dec-2009","EQ","1,329.30","1,412.00","1,329.30","1,329.30","1,381.00","1,377.90","1,386.92","1,488.40","666.60",168102,"233,143,650.25",
"18-Dec-2009","EQ","1,306.10","1,349.00","1,295.15","1,326.65","1,342.00","1,329.30","1,322.41","1,488.40","666.60",44624,"59,011,026.65",
"17-Dec-2009","EQ","1,270.25","1,333.00","1,270.25","1,277.50","1,329.00","1,326.65","1,313.38","1,488.40","666.60",40463,"53,143,295.60",
"16-Dec-2009","EQ","1,286.00","1,298.70","1,262.25","1,291.90","1,281.00","1,277.50","1,272.20","1,488.40","666.60",18982,"24,148,866.05",
"15-Dec-2009","EQ","1,300.00","1,307.00","1,283.00","1,298.00","1,293.00","1,291.90","1,293.68","1,488.40","666.60",10749,"13,905,805.15",
"14-Dec-2009","EQ","1,347.00","1,369.90","1,290.15","1,335.40","1,299.95","1,298.00","1,313.07","1,488.40","666.60",30211,"39,669,245.40",
"11-Dec-2009","EQ","1,339.00","1,357.80","1,330.00","1,334.20","1,335.00","1,335.40","1,341.71","1,488.40","666.60",10981,"14,733,272.70",
"10-Dec-2009","EQ","1,345.00","1,346.80","1,305.00","1,338.30","1,335.00","1,334.20","1,326.16","1,488.40","666.60",19953,"26,460,859.35",
"09-Dec-2009","EQ","1,350.00","1,353.50","1,333.50","1,355.50","1,336.20","1,338.30","1,342.99","1,488.40","666.60",8364,"11,232,740.05",
"08-Dec-2009","EQ","1,375.00","1,375.00","1,340.10","1,351.15","1,345.00","1,355.50","1,361.35","1,488.40","666.60",12547,"17,080,863.70",
"07-Dec-2009","EQ","1,360.00","1,365.00","1,313.60","1,353.65","1,360.85","1,351.15","1,343.67","1,488.40","666.60",19197,"25,794,340.20",
"04-Dec-2009","EQ","1,350.00","1,377.00","1,332.10","1,353.60","1,346.15","1,353.65","1,362.76","1,488.40","666.60",22859,"31,151,304.75",
"03-Dec-2009","EQ","1,340.00","1,359.90","1,331.15","1,328.70","1,352.35","1,353.60","1,350.03","1,488.40","666.60",17475,"23,591,725.95",
"02-Dec-2009","EQ","1,357.95","1,359.90","1,325.00","1,340.75","1,334.00","1,328.70","1,341.40","1,488.40","666.60",8497,"11,397,848.75",
"01-Dec-2009","EQ","1,345.00","1,358.00","1,326.00","1,338.45","1,335.15","1,340.75","1,340.69","1,488.40","666.60",14169,"18,996,288.10",
"30-Nov-2009","EQ","1,290.00","1,349.00","1,282.70","1,282.75","1,348.70","1,338.45","1,319.22","1,488.40","666.60",28504,"37,602,949.55",
"27-Nov-2009","EQ","1,274.70","1,299.00","1,252.10","1,281.35","1,280.10","1,282.75","1,280.79","1,488.40","666.60",34859,"44,647,184.80",
"26-Nov-2009","EQ","1,335.00","1,348.90","1,270.10","1,333.10","1,278.45","1,281.35","1,318.31","1,488.40","666.60",26236,"34,587,087.95",
"25-Nov-2009","EQ","1,345.65","1,367.90","1,325.15","1,342.15","1,327.50","1,333.10","1,346.38","1,488.40","666.60",10097,"13,594,378.55",
