,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,09-Apr-2010,EQ,802.00,807.90,788.25,799.45,791.25,791.60,798.07,845.90,358.0,1509006,"1,204,298,349.05",
1,08-Apr-2010,EQ,796.00,807.50,790.0,798.05,795.10,799.45,802.48,845.90,358.0,2247219,"1,803,352,674.05",
2,07-Apr-2010,EQ,790.00,809.00,781.15,796.05,798.20,798.05,792.39,845.90,358.0,1512279,"1,198,317,151.60",
3,06-Apr-2010,EQ,808.90,808.90,792.15,803.35,796.00,796.05,798.23,845.90,358.0,1851183,"1,477,678,141.80",
4,05-Apr-2010,EQ,817.00,817.00,799.25,807.80,803.00,803.35,804.15,845.90,358.0,1500918,"1,206,963,881.50",
5,01-Apr-2010,EQ,786.35,809.80,782.1,780.65,808.00,807.80,798.67,845.90,358.0,2890716,"2,308,727,906.60",
6,31-Mar-2010,EQ,800.00,807.25,777.3,800.00,779.50,780.65,790.46,845.90,358.0,3541523,"2,799,434,173.95",
7,30-Mar-2010,EQ,808.60,816.10,797.15,811.95,800.25,800.00,801.59,845.90,358.0,1548580,"1,241,322,200.00",
8,29-Mar-2010,EQ,824.00,829.30,808.55,825.05,813.00,811.95,815.48,845.90,358.0,1721633,"1,403,964,976.60",
9,26-Mar-2010,EQ,830.00,836.00,822.3,829.80,823.30,825.05,826.89,845.90,358.0,998903,"825,981,475.80",
10,25-Mar-2010,EQ,824.10,836.80,818.0,828.65,830.75,829.80,827.43,845.90,358.0,2758791,"2,282,695,525.25",
11,23-Mar-2010,EQ,830.00,833.00,822.1,827.60,828.30,828.65,828.37,845.90,358.0,847482,"702,025,455.40",
12,22-Mar-2010,EQ,814.90,833.80,806.15,820.90,826.15,827.60,827.38,845.90,358.0,1655055,"1,369,353,152.70",
13,19-Mar-2010,EQ,805.25,834.45,805.25,825.85,819.10,820.90,824.47,845.90,358.0,2358312,"1,944,353,313.35",
14,18-Mar-2010,EQ,845.00,845.00,820.5,840.70,826.20,825.85,827.99,845.90,358.0,1862277,"1,541,949,258.95",
15,17-Mar-2010,EQ,834.00,845.90,830.0,829.00,841.00,840.70,839.84,845.90,358.0,2087397,"1,753,084,631.75",
16,16-Mar-2010,EQ,821.50,831.95,815.8,818.00,830.35,829.00,823.29,831.95,358.0,1544428,"1,271,509,337.25",
17,15-Mar-2010,EQ,796.95,820.00,791.15,796.95,819.05,818.00,811.29,829.00,358.0,3027217,"2,455,958,644.00",
18,12-Mar-2010,EQ,800.00,800.00,792.0,791.60,798.80,796.95,795.64,829.00,358.0,1255488,"998,914,838.05",
19,11-Mar-2010,EQ,780.05,794.90,771.95,780.05,794.90,791.60,789.11,829.00,358.0,1607015,"1,268,117,698.20",
20,10-Mar-2010,EQ,763.70,784.45,760.0,768.70,777.50,780.05,777.67,829.00,358.0,2293937,"1,783,919,685.90",
21,09-Mar-2010,EQ,763.00,778.50,763.0,762.70,768.85,768.70,772.92,829.00,358.0,1728866,"1,336,270,872.05",
22,08-Mar-2010,EQ,767.60,770.00,760.3,762.60,765.50,762.70,763.79,829.00,358.0,1507870,"1,151,697,125.20",
23,05-Mar-2010,EQ,765.00,766.95,760.15,763.90,762.00,762.60,763.53,829.00,358.0,643656,"491,448,309.90",
24,04-Mar-2010,EQ,768.00,770.00,757.0,768.75,763.50,763.90,761.67,829.00,358.0,1026803,"782,087,046.60",
25,03-Mar-2010,EQ,769.00,774.00,764.15,763.20,769.15,768.75,769.09,829.00,358.0,1377371,"1,059,321,950.85",
26,02-Mar-2010,EQ,762.00,769.00,755.0,761.80,764.45,763.20,760.01,829.00,358.0,2026676,"1,540,289,437.05",
27,26-Feb-2010,EQ,767.10,778.55,746.15,766.25,760.20,761.80,764.23,829.00,358.0,1507967,"1,152,436,177.65",
28,25-Feb-2010,EQ,769.80,769.80,761.25,765.35,768.25,766.25,765.26,829.00,358.0,1336492,"1,022,763,267.10",
29,24-Feb-2010,EQ,756.00,770.70,752.1,762.10,764.60,765.35,766.33,829.00,358.0,2038029,"1,561,812,241.40",
30,23-Feb-2010,EQ,759.00,765.00,751.25,757.25,762.00,762.10,762.02,829.00,358.0,926526,"706,028,131.85",
31,22-Feb-2010,EQ,757.00,763.70,753.8,750.55,755.75,757.25,759.59,829.00,358.0,1071730,"814,071,180.70",
32,19-Feb-2010,EQ,754.90,759.50,745.8,758.80,750.00,750.55,752.92,829.00,358.0,1107940,"834,194,929.35",
33,18-Feb-2010,EQ,760.00,766.95,755.5,758.65,757.55,758.80,761.21,829.00,358.0,907403,"690,722,493.40",
34,17-Feb-2010,EQ,764.90,767.95,752.55,758.15,757.15,758.65,759.68,829.00,358.0,1264145,"960,341,421.05",
35,16-Feb-2010,EQ,747.25,764.95,742.2,746.15,764.10,758.15,751.87,829.00,358.0,830245,"624,240,390.20",
36,15-Feb-2010,EQ,750.00,750.00,738.55,742.70,746.25,746.15,744.97,829.00,358.0,978241,"728,759,285.65",
37,11-Feb-2010,EQ,737.95,747.95,735.0,732.30,742.50,742.70,742.93,829.00,358.0,1206578,"896,397,906.50",
38,10-Feb-2010,EQ,739.90,743.70,728.1,735.15,733.50,732.30,734.62,829.00,358.0,1168687,"858,544,046.65",
39,09-Feb-2010,EQ,725.00,741.95,721.05,724.15,734.15,735.15,735.12,829.00,358.0,1502947,"1,104,842,707.95",
40,08-Feb-2010,EQ,729.00,734.75,708.15,729.70,724.20,724.15,721.91,829.00,358.0,2085172,"1,505,309,547.50",
41,06-Feb-2010,EQ,728.00,732.50,721.15,723.50,729.70,729.70,729.20,829.00,358.0,79487,"57,962,023.90",
42,05-Feb-2010,EQ,735.00,735.00,716.6,738.70,722.90,723.50,724.32,829.00,358.0,2303559,"1,668,515,695.75",
43,04-Feb-2010,EQ,752.95,753.90,732.5,752.95,741.10,738.70,741.69,829.00,358.0,1358306,"1,007,439,146.70",
44,03-Feb-2010,EQ,744.00,756.90,735.5,738.40,754.80,752.95,749.54,829.00,358.0,1488838,"1,115,950,146.50",
45,02-Feb-2010,EQ,755.00,762.65,735.0,746.15,738.00,738.40,752.58,829.00,358.0,2369594,"1,783,313,585.55",
46,01-Feb-2010,EQ,734.35,762.80,720.0,736.20,760.05,746.15,734.96,829.00,358.0,1689006,"1,241,345,965.10",
47,29-Jan-2010,EQ,734.00,739.80,712.15,741.75,735.00,736.20,724.64,829.00,358.0,2736663,"1,983,095,245.15",
48,28-Jan-2010,EQ,749.50,757.95,727.7,743.30,741.80,741.75,742.72,829.00,358.0,3268598,"2,427,651,257.15",
49,27-Jan-2010,EQ,750.00,759.70,740.15,756.20,742.25,743.30,748.61,829.00,358.0,2422199,"1,813,292,938.65",
50,25-Jan-2010,EQ,757.50,765.50,741.15,757.85,754.00,756.20,752.96,829.00,358.0,1504143,"1,132,560,772.55",
51,22-Jan-2010,EQ,761.00,765.00,744.7,770.65,757.05,757.85,755.65,829.00,358.0,3787495,"2,862,010,289.40",
52,21-Jan-2010,EQ,772.25,791.95,767.9,779.40,772.00,770.65,780.86,829.00,358.0,2544752,"1,987,082,650.60",
53,20-Jan-2010,EQ,792.20,792.20,770.9,780.70,778.70,779.40,777.34,829.00,358.0,2173527,"1,689,569,382.35",
54,19-Jan-2010,EQ,802.20,802.20,778.65,802.20,781.30,780.70,786.78,829.00,358.0,2577425,"2,027,855,856.95",
55,18-Jan-2010,EQ,800.00,829.00,793.0,791.40,800.60,802.20,802.49,829.00,358.0,3630542,"2,913,486,456.90",
56,15-Jan-2010,EQ,796.00,799.60,772.25,779.85,795.05,791.40,790.76,805.00,358.0,3972504,"3,141,278,026.25",
57,14-Jan-2010,EQ,798.45,798.45,769.35,788.55,780.50,779.85,780.54,805.00,358.0,5163807,"4,030,540,161.95",
58,13-Jan-2010,EQ,745.00,796.40,744.65,750.05,788.80,788.55,774.83,805.00,358.0,5455136,"4,226,821,098.70",
59,12-Jan-2010,EQ,732.00,754.00,727.0,714.20,748.00,750.05,744.12,805.00,358.0,4513845,"3,358,845,930.20",
60,11-Jan-2010,EQ,704.00,720.10,700.4,699.80,718.00,714.20,709.62,805.00,358.0,2159204,"1,532,223,874.75",
61,08-Jan-2010,EQ,716.00,718.50,696.5,714.40,696.50,699.80,704.68,805.00,358.0,3024089,"2,131,007,862.20",
62,07-Jan-2010,EQ,735.50,739.40,711.0,734.85,711.85,714.40,717.63,805.00,358.0,3237446,"2,323,274,542.95",
