"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2014","EQ","193.50","200.60","188.15","193.00","194.00","193.65","194.23","204.40","116.65",8768812,"1,703,125,061.20",89145
"10-Apr-2014","EQ","183.35","204.40","183.35","183.45","193.00","193.00","196.07","204.40","116.65",15336233,"3,007,038,494.40",120503
"09-Apr-2014","EQ","178.80","184.20","176.90","177.00","183.25","183.45","181.77","192.80","116.65",3813131,"693,128,266.35",43076
"07-Apr-2014","EQ","180.25","182.80","175.50","179.85","176.55","177.00","178.08","192.80","116.65",2230925,"397,283,808.30",53245
"04-Apr-2014","EQ","182.00","183.40","178.35","181.30","179.50","179.85","180.55","192.80","116.65",2928018,"528,663,242.10",35710
"03-Apr-2014","EQ","186.05","187.80","179.10","186.00","180.55","181.30","182.31","192.80","116.65",2074961,"378,289,767.75",35625
"02-Apr-2014","EQ","187.90","189.70","175.15","186.30","186.40","186.00","184.85","192.80","116.65",2072685,"383,133,295.80",32674
"01-Apr-2014","EQ","188.70","189.40","184.30","187.45","187.00","186.30","186.74","192.80","116.65",1143086,"213,464,101.35",38978
"31-Mar-2014","EQ","187.40","192.80","185.75","186.15","186.55","187.45","188.78","192.80","116.65",3889451,"734,265,933.60",30110
"28-Mar-2014","EQ","179.35","188.10","179.35","179.75","186.05","186.15","184.57","190.75","116.65",5268789,"972,482,934.60",44275
"27-Mar-2014","EQ","178.50","180.55","177.80","178.80","179.35","179.75","179.80","190.75","116.65",1595618,"286,899,126.55",13226
"26-Mar-2014","EQ","180.55","183.00","177.80","179.90","179.15","178.80","179.87","190.75","116.65",1836011,"330,248,484.70",15887
"25-Mar-2014","EQ","179.00","182.20","177.00","178.50","179.90","179.90","180.36","190.75","116.65",1468660,"264,894,116.70",18208
"24-Mar-2014","EQ","182.00","182.90","174.60","181.60","178.10","178.50","178.05","190.75","116.65",1389494,"247,398,490.95",20823
"22-Mar-2014","EQ","182.95","182.95","181.00","181.70","181.80","181.60","181.73","190.75","116.65",84234,"15,307,666.45",1296
"21-Mar-2014","EQ","183.00","184.40","179.80","181.60","181.20","181.70","182.15","190.75","116.65",1492705,"271,897,691.70",15951
"20-Mar-2014","EQ","184.05","186.90","180.75","185.20","181.90","181.60","183.90","190.75","116.65",1230749,"226,330,466.05",20013
"19-Mar-2014","EQ","189.95","189.95","184.30","188.75","185.05","185.20","187.15","190.75","116.65",1385598,"259,317,321.55",23132
"18-Mar-2014","EQ","183.50","189.80","183.50","183.20","188.50","188.75","188.29","190.75","116.65",3061068,"576,379,429.25",45596
"14-Mar-2014","EQ","177.00","185.35","175.20","179.20","184.10","183.20","181.24","190.75","116.65",1715374,"310,896,761.30",17544
"13-Mar-2014","EQ","183.65","185.70","177.90","183.65","178.30","179.20","182.69","190.75","116.65",923751,"168,761,477.95",12224
"12-Mar-2014","EQ","183.25","186.35","182.05","184.60","183.85","183.65","183.93","190.75","116.65",1067157,"196,285,149.05",29377
"11-Mar-2014","EQ","188.10","188.50","183.65","187.85","183.85","184.60","186.34","190.75","116.65",1741685,"324,548,551.65",23247
"10-Mar-2014","EQ","185.95","190.75","182.30","186.90","187.80","187.85","187.00","190.75","116.65",2522084,"471,625,541.95",24292
"07-Mar-2014","EQ","179.70","189.70","176.55","179.15","184.70","186.90","184.02","189.70","116.65",4517490,"831,288,506.75",45069
"06-Mar-2014","EQ","177.25","179.70","175.75","176.90","178.30","179.15","178.10","179.70","116.65",1618425,"288,242,105.15",21939
"05-Mar-2014","EQ","176.20","178.65","175.05","175.45","176.50","176.90","177.21","178.65","116.65",2423656,"429,497,843.20",18600
"04-Mar-2014","EQ","172.30","176.80","171.10","171.65","175.00","175.45","174.04","176.80","116.65",2792682,"486,032,443.35",34960
"03-Mar-2014","EQ","168.00","173.80","167.40","167.25","171.50","171.65","171.75","175.00","116.65",1937906,"332,837,993.50",24225
"28-Feb-2014","EQ","160.60","169.80","160.15","160.75","168.85","167.25","164.78","175.00","116.65",2464976,"406,182,024.15",41558
"26-Feb-2014","EQ","160.00","161.70","154.85","159.00","160.60","160.75","158.17","175.00","116.65",1778597,"281,322,779.30",17492
"25-Feb-2014","EQ","164.85","166.60","158.05","164.50","159.45","159.00","161.86","175.00","116.65",1682365,"272,301,868.70",20500
"24-Feb-2014","EQ","167.00","170.70","163.35","167.25","163.50","164.50","167.07","175.00","116.65",2124447,"354,924,412.65",22595
"21-Feb-2014","EQ","166.40","168.40","162.55","164.80","166.65","167.25","165.70","175.00","116.65",2288323,"379,167,552.50",34414
"20-Feb-2014","EQ","161.05","167.50","160.15","164.10","165.20","164.80","164.44","175.00","116.65",2344760,"385,575,362.90",41406
"19-Feb-2014","EQ","160.00","165.00","158.50","159.65","163.50","164.10","162.68","175.00","116.65",2624162,"426,898,146.15",33562
"18-Feb-2014","EQ","152.00","160.40","151.45","151.20","160.40","159.65","155.99","175.00","116.65",3306662,"515,807,894.90",69262
"17-Feb-2014","EQ","148.40","152.00","146.20","147.05","152.00","151.20","149.22","175.00","116.65",647048,"96,554,886.85",11253
"14-Feb-2014","EQ","143.35","148.40","143.35","144.15","147.40","147.05","146.71","175.00","116.65",919174,"134,853,780.50",14430
"13-Feb-2014","EQ","146.10","147.25","143.50","146.05","144.00","144.15","144.74","175.00","116.65",734478,"106,305,299.15",26586
"12-Feb-2014","EQ","149.00","149.20","144.35","148.25","146.00","146.05","146.66","175.00","116.65",835543,"122,538,696.90",20550
"11-Feb-2014","EQ","149.90","150.00","147.55","148.05","148.30","148.25","148.47","175.00","116.65",2114388,"313,915,308.65",9885
"10-Feb-2014","EQ","147.25","149.10","146.70","147.50","147.50","148.05","147.55","175.00","116.65",1981260,"292,334,165.30",8064
"07-Feb-2014","EQ","147.50","152.50","146.70","146.40","147.20","147.50","147.85","175.00","116.65",6366201,"941,260,676.15",23181
"06-Feb-2014","EQ","148.00","148.85","145.70","145.70","146.00","146.40","147.15","175.00","116.65",720689,"106,050,932.45",10724
"05-Feb-2014","EQ","146.90","148.50","144.50","146.90","146.00","145.70","147.33","175.00","116.65",2446824,"360,482,898.20",7110
"04-Feb-2014","EQ","142.50","148.50","141.95","143.95","148.00","146.90","145.35","175.00","116.65",787885,"114,517,074.70",13103
"03-Feb-2014","EQ","146.40","146.65","143.40","146.95","144.00","143.95","144.47","175.00","116.65",520680,"75,221,580.10",15378
"31-Jan-2014","EQ","143.00","147.55","142.30","141.65","146.00","146.95","145.29","175.00","116.65",765126,"111,161,992.80",10890
"30-Jan-2014","EQ","144.70","146.35","141.00","146.65","142.80","141.65","142.34","175.00","116.65",1530051,"217,787,850.85",14734
"29-Jan-2014","EQ","144.00","147.80","143.35","142.00","147.35","146.65","146.25","175.00","116.65",1503702,"219,921,492.30",19935
"28-Jan-2014","EQ","143.60","146.40","141.05","143.95","142.40","142.00","143.74","175.00","116.65",1453706,"208,962,731.90",25671
"27-Jan-2014","EQ","143.55","147.40","141.25","145.00","144.40","143.95","144.27","175.00","116.65",2467215,"355,944,506.30",32326
"24-Jan-2014","EQ","147.50","149.20","143.15","148.30","144.40","145.00","145.60","175.00","116.65",4192128,"610,355,550.55",8882
"23-Jan-2014","EQ","147.20","149.60","147.20","147.90","148.50","148.30","148.34","175.00","116.65",1518047,"225,191,548.55",8977
"22-Jan-2014","EQ","147.65","149.60","146.65","147.65","147.95","147.90","148.04","175.00","116.65",732908,"108,496,740.30",7239
"21-Jan-2014","EQ","151.00","151.45","146.15","150.95","147.10","147.65","147.85","175.00","116.65",1112972,"164,551,455.00",13165
"20-Jan-2014","EQ","149.10","152.50","148.75","148.65","150.60","150.95","151.27","175.00","116.65",1223239,"185,033,961.25",13074
"17-Jan-2014","EQ","150.20","151.60","145.10","150.80","148.95","148.65","148.24","175.00","116.65",1122874,"166,449,511.50",15328
"16-Jan-2014","EQ","149.10","152.45","149.10","150.10","150.20","150.80","150.91","175.00","116.65",1193550,"180,118,034.35",15444
"15-Jan-2014","EQ","147.10","150.90","147.10","147.05","150.40","150.10","149.14","175.00","116.65",1073586,"160,118,151.05",13541
"14-Jan-2014","EQ","143.00","149.70","142.00","143.75","147.40","147.05","146.58","175.00","116.65",2065518,"302,758,117.90",26431
"13-Jan-2014","EQ","148.50","149.95","142.20","148.30","145.10","143.75","144.47","175.00","116.65",1444514,"208,687,499.40",15664
"10-Jan-2014","EQ","150.30","152.00","147.70","149.55","147.75","148.30","149.69","175.00","116.65",820545,"122,826,561.20",11919
"09-Jan-2014","EQ","149.45","153.20","148.55","150.75","150.35","149.55","150.08","175.00","116.65",1377312,"206,708,053.55",17929
"08-Jan-2014","EQ","147.10","152.20","144.40","145.95","150.55","150.75","149.21","175.00","116.65",1195550,"178,384,348.55",22012
"07-Jan-2014","EQ","150.85","152.20","145.30","150.85","145.50","145.95","148.08","175.00","116.65",1069056,"158,307,484.65",9638
"06-Jan-2014","EQ","150.50","152.50","149.00","149.90","151.00","150.85","150.93","175.00","116.65",750034,"113,204,338.60",8146
"03-Jan-2014","EQ","151.50","153.85","147.50","152.65","149.65","149.90","150.35","175.00","116.65",1636752,"246,085,304.35",16311
"02-Jan-2014","EQ","155.70","159.40","151.10","156.30","151.75","152.65","156.21","175.00","116.65",2862278,"447,107,915.80",20462
"01-Jan-2014","EQ","154.55","157.75","154.55","155.40","156.50","156.30","156.56","175.00","116.65",851727,"133,347,248.00",5166
"31-Dec-2013","EQ","157.20","158.75","154.65","157.05","155.30","155.40","156.24","175.00","116.65",983269,"153,625,168.90",9733
"30-Dec-2013","EQ","161.35","161.65","156.30","160.00","157.00","157.05","157.76","175.00","116.65",1300968,"205,234,210.90",11574
"27-Dec-2013","EQ","160.70","163.50","159.55","159.95","160.30","160.00","161.21","175.00","116.65",534707,"86,198,152.50",7614
"26-Dec-2013","EQ","160.00","164.30","158.90","159.30","160.05","159.95","161.63","175.00","116.65",2433227,"393,287,049.60",29153
"24-Dec-2013","EQ","163.20","164.50","158.60","161.95","159.30","159.30","161.70","175.00","116.65",750508,"121,359,064.20",6981
"23-Dec-2013","EQ","164.00","165.60","161.50","163.20","162.00","161.95","162.71","175.00","116.65",1846021,"300,369,304.05",20273
"20-Dec-2013","EQ","167.00","168.00","161.60","167.20","163.75","163.20","163.79","175.00","116.65",1737990,"284,659,603.45",16776
"19-Dec-2013","EQ","160.00","168.45","156.30","158.30","166.55","167.20","163.34","175.00","116.65",2524728,"412,376,857.25",28444
"18-Dec-2013","EQ","156.30","160.20","156.30","157.55","158.20","158.30","158.71","175.00","116.65",2880051,"457,103,402.70",18514
"17-Dec-2013","EQ","157.45","159.75","156.55","156.35","158.00","157.55","158.17","175.00","116.65",1182370,"187,021,134.00",17602
"16-Dec-2013","EQ","150.50","157.30","150.50","152.00","156.85","156.35","154.17","175.00","116.65",1748287,"269,530,814.50",20590
"13-Dec-2013","EQ","153.00","155.70","151.10","154.20","152.40","152.00","153.50","175.00","116.65",1293806,"198,605,418.80",16996
"12-Dec-2013","EQ","156.20","158.25","153.00","156.95","154.50","154.20","155.40","175.00","116.65",986715,"153,339,705.75",12059
"11-Dec-2013","EQ","159.90","159.90","155.60","159.95","157.05","156.95","157.05","175.00","116.65",1147763,"180,251,298.70",9883
"10-Dec-2013","EQ","164.85","164.85","158.75","164.85","160.40","159.95","160.78","175.00","116.65",1777162,"285,731,455.05",19958
"09-Dec-2013","EQ","168.00","169.15","164.00","163.30","165.00","164.85","166.47","175.00","116.65",3404813,"566,797,976.10",30546
"06-Dec-2013","EQ","159.60","165.35","158.40","160.40","163.60","163.30","162.80","175.00","116.65",3596446,"585,512,561.15",28819
"05-Dec-2013","EQ","159.90","162.25","158.25","154.45","161.00","160.40","159.99","175.00","116.65",6219677,"995,115,435.25",52757
"04-Dec-2013","EQ","157.60","161.65","152.40","158.10","154.50","154.45","157.95","175.00","116.65",3191123,"504,046,518.35",32077
"03-Dec-2013","EQ","159.55","161.90","156.65","159.70","158.00","158.10","159.19","175.00","116.65",1900138,"302,491,329.35",19987
"02-Dec-2013","EQ","158.55","161.25","157.30","157.95","159.50","159.70","159.69","175.00","116.65",2244372,"358,412,359.05",22920
"29-Nov-2013","EQ","157.85","162.05","156.45","157.05","157.35","157.95","159.30","175.00","116.65",2648844,"421,949,089.90",24288
"28-Nov-2013","EQ","153.80","159.45","153.25","151.70","157.50","157.05","156.57","175.00","116.65",3487149,"545,977,199.30",40802
"27-Nov-2013","EQ","158.90","158.90","150.70","158.05","152.00","151.70","152.65","175.00","116.65",1401835,"213,994,553.00",17829
"26-Nov-2013","EQ","160.10","162.40","156.30","161.25","157.65","158.05","158.77","175.00","116.65",1910831,"303,375,870.50",31500
