"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","3,732.00","3,755.00","3,681.00","3,718.30","3,747.35","3,739.35","3,715.19","4,091.95","3,179.00",291118,"1,081,559,744.15",11795
"10-Apr-2018","EQ","3,815.00","3,815.00","3,714.00","3,798.70","3,722.00","3,718.30","3,751.25","4,091.95","3,179.00",321682,"1,206,710,363.65",36718
"09-Apr-2018","EQ","3,784.00","3,807.10","3,775.20","3,779.45","3,800.00","3,798.70","3,797.54","4,091.95","3,179.00",265991,"1,010,111,521.55",23877
"06-Apr-2018","EQ","3,781.00","3,787.95","3,750.00","3,782.15","3,761.50","3,779.45","3,773.58","4,091.95","3,175.00",213101,"804,153,767.80",16317
"05-Apr-2018","EQ","3,700.00","3,796.00","3,699.95","3,667.15","3,790.00","3,782.15","3,753.95","4,091.95","3,175.00",440824,"1,654,832,345.50",36121
"04-Apr-2018","EQ","3,653.50","3,695.00","3,627.00","3,644.95","3,646.30","3,667.15","3,671.91","4,091.95","3,175.00",526063,"1,931,657,762.65",31871
"03-Apr-2018","EQ","3,644.95","3,669.00","3,621.00","3,646.00","3,640.40","3,644.95","3,642.80","4,091.95","3,175.00",318581,"1,160,527,924.05",26697
"02-Apr-2018","EQ","3,544.00","3,654.65","3,512.20","3,542.80","3,640.00","3,646.00","3,592.76","4,091.95","3,175.00",244943,"880,020,770.55",24452
"28-Mar-2018","EQ","3,455.00","3,579.00","3,428.05","3,464.70","3,534.00","3,542.80","3,516.82","4,091.95","3,175.00",786796,"2,767,016,722.45",55307
"27-Mar-2018","EQ","3,485.10","3,488.00","3,436.00","3,481.70","3,471.00","3,464.70","3,460.51","4,091.95","3,175.00",325438,"1,126,182,872.55",20197
"26-Mar-2018","EQ","3,414.00","3,501.70","3,365.50","3,413.75","3,468.20","3,481.70","3,429.65","4,091.95","3,175.00",359650,"1,233,472,000.25",36687
"23-Mar-2018","EQ","3,435.10","3,435.10","3,361.05","3,452.30","3,414.50","3,413.75","3,396.59","4,091.95","3,175.00",423299,"1,437,772,074.60",39418
"22-Mar-2018","EQ","3,473.20","3,484.85","3,440.00","3,463.60","3,455.00","3,452.30","3,455.26","4,091.95","3,175.00",482411,"1,666,857,634.85",39040
