"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","177.00","180.80","177.00","176.50","179.00","178.80","179.20","188.40","52.00",4913419,"880,472,040.05",
"08-Apr-2010","EQ","184.70","185.00","175.65","184.60","176.00","176.50","179.29","188.40","52.00",7047391,"1,263,510,434.20",
"07-Apr-2010","EQ","184.60","186.65","182.70","184.60","184.55","184.60","184.75","188.40","52.00",4052396,"748,663,896.05",
"06-Apr-2010","EQ","187.25","188.40","183.75","187.25","184.65","184.60","185.35","188.40","52.00",4279282,"793,178,144.90",
"05-Apr-2010","EQ","184.00","187.95","183.90","183.75","187.70","187.25","186.23","187.95","52.00",5644992,"1,051,246,633.05",
"01-Apr-2010","EQ","182.00","184.70","180.60","181.25","183.75","183.75","182.82","186.90","49.05",5545989,"1,013,892,049.05",
"31-Mar-2010","EQ","184.00","185.30","179.60","183.95","181.30","181.25","181.62","186.90","49.05",10320209,"1,874,406,586.30",
"30-Mar-2010","EQ","184.80","186.90","183.40","184.25","184.10","183.95","185.14","186.90","49.05",8173731,"1,513,252,939.55",
"29-Mar-2010","EQ","170.20","185.95","170.20","178.65","184.20","184.25","183.87","185.95","49.05",11598451,"2,132,554,047.25",
"26-Mar-2010","EQ","178.00","180.45","176.55","177.65","178.55","178.65","178.78","180.45","47.70",6747907,"1,206,377,899.50",
"25-Mar-2010","EQ","169.80","180.00","169.10","170.45","179.35","177.65","175.02","180.00","47.70",19185843,"3,357,857,096.60",
"23-Mar-2010","EQ","170.10","171.70","168.10","169.25","170.10","170.45","170.26","179.80","47.70",5860011,"997,749,660.25",
"22-Mar-2010","EQ","174.00","174.85","168.60","175.60","168.85","169.25","171.74","179.80","47.70",6053740,"1,039,675,712.80",
"19-Mar-2010","EQ","176.60","177.90","174.30","176.35","174.85","175.60","175.88","179.80","41.35",5724048,"1,006,767,951.45",
"18-Mar-2010","EQ","175.00","177.80","172.55","173.45","177.50","176.35","174.74","179.80","41.35",9317430,"1,628,082,130.35",
"17-Mar-2010","EQ","169.30","174.70","169.30","169.55","173.65","173.45","173.00","179.80","41.35",11135993,"1,926,539,824.05",
"16-Mar-2010","EQ","160.40","170.35","160.40","165.65","169.60","169.55","167.68","179.80","41.35",7951866,"1,333,404,705.70",
"15-Mar-2010","EQ","165.00","168.00","162.60","165.05","165.60","165.65","165.66","179.80","41.35",8289897,"1,373,319,802.45",
"12-Mar-2010","EQ","160.80","166.65","159.80","159.75","165.05","165.05","163.79","179.80","37.20",13238296,"2,168,260,693.85",
"11-Mar-2010","EQ","162.90","162.90","158.15","162.70","160.85","159.75","160.16","179.80","37.20",8638775,"1,383,589,563.20",
"10-Mar-2010","EQ","163.00","165.20","160.75","162.10","162.90","162.70","162.85","179.80","37.20",6348450,"1,033,851,435.65",
"09-Mar-2010","EQ","167.80","167.80","161.50","166.20","161.65","162.10","163.71","179.80","37.20",7726110,"1,264,866,817.15",
"08-Mar-2010","EQ","170.10","171.10","165.15","168.00","166.35","166.20","167.31","179.80","37.20",6279658,"1,050,667,626.70",
"05-Mar-2010","EQ","169.00","172.50","167.40","169.20","167.50","168.00","169.85","179.80","36.75",8038800,"1,365,367,890.10",
"04-Mar-2010","EQ","171.00","171.00","167.15","171.45","168.60","169.20","169.02","179.80","36.75",9418953,"1,592,034,070.50",
"03-Mar-2010","EQ","170.00","172.65","168.65","169.25","171.15","171.45","170.49","179.80","36.75",12093085,"2,061,729,316.00",
"02-Mar-2010","EQ","164.00","172.80","163.60","162.65","171.45","169.25","166.68","179.80","36.75",16002606,"2,667,323,898.85",
"26-Feb-2010","EQ","154.00","164.90","153.35","153.35","162.45","162.65","159.31","179.80","36.75",22690392,"3,614,806,915.30",
"25-Feb-2010","EQ","156.00","156.95","152.10","155.00","153.75","153.35","154.25","179.80","36.75",10630962,"1,639,836,355.55",
"24-Feb-2010","EQ","154.00","158.40","151.90","154.80","155.25","155.00","155.58","179.80","36.75",14604618,"2,272,174,753.35",
"23-Feb-2010","EQ","153.50","156.40","151.85","154.15","155.70","154.80","154.73","179.80","36.75",11954477,"1,849,676,323.50",
"22-Feb-2010","EQ","151.90","156.50","151.90","149.90","154.55","154.15","154.60","179.80","36.75",13256828,"2,049,544,052.10",
"19-Feb-2010","EQ","151.00","152.25","146.40","152.60","149.90","149.90","149.42","179.80","36.75",16060506,"2,399,759,767.25",
"18-Feb-2010","EQ","153.40","154.80","150.30","152.75","153.00","152.60","152.55","179.80","36.75",19301034,"2,944,442,996.75",
"17-Feb-2010","EQ","147.90","154.80","147.45","145.40","152.90","152.75","152.33","179.80","36.75",17420796,"2,653,691,236.25",
"16-Feb-2010","EQ","141.90","146.50","139.50","140.85","146.25","145.40","142.90","179.80","36.75",8799233,"1,257,427,410.85",
"15-Feb-2010","EQ","139.00","141.70","137.65","138.25","140.60","140.85","139.31","179.80","36.75",10201088,"1,421,102,309.25",
"11-Feb-2010","EQ","137.25","140.35","137.00","136.50","138.50","138.25","138.84","179.80","36.75",7393889,"1,026,565,887.45",
"10-Feb-2010","EQ","136.00","140.75","135.00","134.40","136.10","136.50","137.74","179.80","36.75",14882092,"2,049,864,089.50",
"09-Feb-2010","EQ","137.00","138.25","133.55","136.20","134.10","134.40","135.63","179.80","36.75",18330897,"2,486,237,962.85",
"08-Feb-2010","EQ","137.00","143.80","133.70","141.25","136.45","136.20","137.54","179.80","36.75",19708455,"2,710,673,788.20",
"06-Feb-2010","EQ","143.00","143.00","140.00","138.15","142.20","141.25","140.86","179.80","36.75",1257267,"177,100,941.35",
"05-Feb-2010","EQ","142.40","143.45","136.30","146.15","138.10","138.15","139.36","179.80","36.75",14972307,"2,086,485,565.95",
"04-Feb-2010","EQ","147.00","155.00","144.20","156.25","146.75","146.15","149.27","179.80","36.75",9673582,"1,444,004,245.00",
"03-Feb-2010","EQ","152.10","157.45","152.10","151.05","155.80","156.25","155.74","179.80","36.75",8298172,"1,292,330,972.65",
"02-Feb-2010","EQ","152.00","155.75","150.25","149.40","151.20","151.05","153.62","179.80","36.75",17608116,"2,704,938,468.20",
"01-Feb-2010","EQ","145.00","151.50","142.20","147.35","149.25","149.40","147.05","179.80","36.75",11674392,"1,716,760,094.80",
"29-Jan-2010","EQ","147.00","149.00","139.80","148.00","148.50","147.35","143.83","179.80","36.75",12497942,"1,797,601,777.40",
"28-Jan-2010","EQ","150.65","156.35","145.80","150.05","148.10","148.00","149.77","179.80","36.75",10480370,"1,569,634,606.10",
"27-Jan-2010","EQ","156.50","157.40","148.65","159.20","150.60","150.05","152.48","179.80","36.75",11669010,"1,779,262,521.95",
"25-Jan-2010","EQ","161.10","165.70","157.25","161.35","159.50","159.20","161.41","179.80","36.75",16233827,"2,620,312,825.25",
"22-Jan-2010","EQ","160.10","163.10","155.25","162.85","160.95","161.35","160.31","179.80","36.75",13929809,"2,233,018,614.60",
"21-Jan-2010","EQ","165.00","165.75","161.70","165.75","163.80","162.85","163.65","179.80","36.75",12563207,"2,055,986,779.85",
"20-Jan-2010","EQ","163.00","167.15","162.60","163.00","166.00","165.75","164.51","179.80","36.75",8116917,"1,335,331,624.80",
"19-Jan-2010","EQ","166.00","168.95","162.00","167.25","162.10","163.00","165.97","179.80","36.75",7199947,"1,194,998,611.20",
