"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Apr-2010","EQ","179.00","181.70","178.50","178.50","179.00","178.80","179.86","185.45","33.70",258720,"46,534,540.60",
"08-Apr-2010","EQ","177.75","181.95","176.95","180.00","178.05","178.50","179.16","185.45","33.70",356217,"63,818,525.55",
"07-Apr-2010","EQ","180.80","184.60","179.15","180.35","179.90","180.00","182.29","185.45","33.70",541218,"98,657,306.95",
"06-Apr-2010","EQ","182.40","182.90","179.10","180.80","181.25","180.35","180.42","185.45","33.70",1212356,"218,733,819.50",
"05-Apr-2010","EQ","177.10","182.90","177.10","177.20","181.10","180.80","181.08","185.45","33.70",1308907,"237,019,582.20",
"01-Apr-2010","EQ","171.00","177.90","171.00","170.10","177.40","177.20","175.48","185.45","31.10",431262,"75,678,949.35",
"31-Mar-2010","EQ","173.50","175.80","168.85","171.40","171.50","170.10","172.11","185.45","31.10",438401,"75,454,329.30",
"30-Mar-2010","EQ","181.00","183.45","167.20","179.75","173.75","171.40","176.10","185.45","31.10",776190,"136,686,945.60",
"29-Mar-2010","EQ","180.95","185.45","177.55","178.25","181.40","179.75","181.72","185.45","31.10",2037744,"370,295,887.40",
"26-Mar-2010","EQ","169.70","179.00","169.70","170.75","178.55","178.25","175.46","179.00","30.30",894845,"157,006,283.40",
"25-Mar-2010","EQ","169.40","171.95","169.00","169.40","170.90","170.75","170.49","174.90","30.30",294993,"50,294,347.50",
"23-Mar-2010","EQ","169.10","172.50","167.00","168.05","168.95","169.40","170.03","174.90","30.30",603425,"102,602,238.15",
"22-Mar-2010","EQ","167.75","171.95","165.00","174.25","168.45","168.05","168.02","174.90","30.30",1056589,"177,526,412.35",
"19-Mar-2010","EQ","170.00","174.90","167.70","170.00","174.25","174.25","173.23","174.90","29.80",1241408,"215,046,493.90",
"18-Mar-2010","EQ","169.00","171.20","165.25","168.00","170.15","170.00","169.09","171.20","29.80",1357236,"229,491,078.75",
"17-Mar-2010","EQ","167.05","169.70","164.60","165.50","168.10","168.00","167.73","169.70","29.80",1147875,"192,538,655.45",
"16-Mar-2010","EQ","159.00","167.00","159.00","160.35","165.30","165.50","164.13","168.40","29.80",983978,"161,505,000.25",
"15-Mar-2010","EQ","160.10","161.45","158.00","162.10","160.45","160.35","159.98","168.40","29.80",250539,"40,081,623.20",
"12-Mar-2010","EQ","156.75","162.70","156.50","155.55","161.80","162.10","160.27","168.40","27.60",1126288,"180,507,497.60",
"11-Mar-2010","EQ","163.50","163.80","154.60","162.95","155.30","155.55","157.85","168.40","27.60",691260,"109,112,281.25",
"10-Mar-2010","EQ","157.00","163.65","156.35","155.35","162.40","162.95","161.06","168.40","27.60",1022096,"164,615,772.45",
"09-Mar-2010","EQ","161.00","161.00","155.00","159.00","155.55","155.35","156.64","168.40","27.60",317483,"49,730,717.85",
"08-Mar-2010","EQ","161.40","161.95","157.55","159.75","160.20","159.00","160.03","168.40","27.60",551828,"88,310,102.40",
"05-Mar-2010","EQ","160.05","162.95","157.85","159.55","158.00","159.75","160.91","168.40","26.15",857824,"138,036,627.50",
"04-Mar-2010","EQ","166.00","168.40","158.10","164.80","159.90","159.55","164.24","168.40","26.15",1517950,"249,303,412.05",
"03-Mar-2010","EQ","153.95","167.30","152.70","152.50","166.95","164.80","161.39","167.30","26.15",2258245,"364,453,702.45",
"02-Mar-2010","EQ","150.60","155.90","149.60","148.90","153.50","152.50","152.55","160.80","26.15",1168171,"178,205,771.05",
"26-Feb-2010","EQ","147.00","152.90","146.15","147.00","147.30","148.90","149.29","160.80","26.15",677344,"101,123,772.10",
"25-Feb-2010","EQ","151.45","151.45","146.15","149.95","147.50","147.00","148.52","160.80","26.15",307061,"45,603,314.95",
"24-Feb-2010","EQ","148.00","151.10","146.30","148.55","150.00","149.95","149.85","160.80","26.15",723246,"108,377,202.35",
"23-Feb-2010","EQ","154.60","154.60","147.15","154.60","148.40","148.55","149.48","160.80","26.15",1220032,"182,365,192.15",
"22-Feb-2010","EQ","158.50","160.80","154.00","155.55","154.10","154.60","155.86","160.80","26.15",342134,"53,325,936.60",
"19-Feb-2010","EQ","151.35","156.95","151.35","153.75","155.60","155.55","153.83","159.65","26.15",632934,"97,364,661.25",
"18-Feb-2010","EQ","152.10","154.90","151.60","153.80","154.75","153.75","153.07","159.65","26.15",607890,"93,051,524.55",
"17-Feb-2010","EQ","152.60","156.30","151.05","151.05","152.75","153.80","154.40","159.65","26.15",584525,"90,251,719.70",
"16-Feb-2010","EQ","150.30","151.95","149.55","149.85","151.40","151.05","150.97","159.65","26.15",319679,"48,260,549.45",
"15-Feb-2010","EQ","149.85","152.00","148.95","149.85","151.10","149.85","150.11","159.65","26.15",204309,"30,668,890.15",
"11-Feb-2010","EQ","151.00","151.85","149.10","150.15","149.60","149.85","150.42","159.65","26.15",205608,"30,928,203.35",
"10-Feb-2010","EQ","152.00","153.00","149.05","151.00","150.30","150.15","150.73","159.65","26.15",395238,"59,575,321.40",
"09-Feb-2010","EQ","147.80","152.80","145.75","148.35","152.00","151.00","149.76","159.65","26.15",751119,"112,488,101.80",
"08-Feb-2010","EQ","151.70","151.70","144.00","149.55","148.75","148.35","147.09","159.65","26.15",533258,"78,436,178.30",
"06-Feb-2010","EQ","147.40","150.90","147.40","146.10","150.05","149.55","148.98","159.65","26.15",60791,"9,056,341.50",
"05-Feb-2010","EQ","150.00","152.80","143.35","155.05","146.85","146.10","146.93","159.65","26.15",898213,"131,976,571.05",
"04-Feb-2010","EQ","156.50","156.50","153.95","156.25","154.90","155.05","155.27","159.65","26.15",955491,"148,360,828.40",
"03-Feb-2010","EQ","152.50","159.65","152.50","151.55","156.90","156.25","157.48","159.65","26.15",2106019,"331,651,343.55",
"02-Feb-2010","EQ","150.00","153.65","149.10","148.55","151.40","151.55","151.23","155.95","26.15",877414,"132,691,179.35",
"01-Feb-2010","EQ","147.70","149.90","145.00","147.90","148.80","148.55","147.65","155.95","26.15",417317,"61,615,688.70",
"29-Jan-2010","EQ","142.00","148.90","139.30","145.60","147.90","147.90","144.24","155.95","26.15",904441,"130,458,505.20",
"28-Jan-2010","EQ","142.00","147.00","140.55","140.15","146.80","145.60","145.21","155.95","26.15",793199,"115,183,085.60",
"27-Jan-2010","EQ","143.00","143.90","136.75","144.85","139.35","140.15","140.59","155.95","26.15",1038743,"146,033,071.40",
"25-Jan-2010","EQ","151.00","152.00","142.60","150.60","143.35","144.85","146.43","155.95","26.15",660970,"96,787,963.95",
"22-Jan-2010","EQ","145.00","152.00","142.00","147.20","151.50","150.60","147.31","155.95","26.15",762809,"112,369,486.45",
"21-Jan-2010","EQ","152.00","155.95","145.00","151.90","149.00","147.20","150.26","155.95","26.15",1115507,"167,613,892.65",
"20-Jan-2010","EQ","150.10","154.70","149.50","148.00","152.00","151.90","153.09","154.70","26.15",2238831,"342,741,706.10",
