"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","1,358.40","1,359.40","1,340.00","1,349.90","1,350.85","1,352.75","1,349.54","1,833.95","1,113.05",1536552,"2,073,643,479.40",65020
"10-Apr-2018","EQ","1,328.00","1,355.45","1,328.00","1,327.90","1,350.00","1,349.90","1,346.18","1,833.95","1,113.05",2177789,"2,931,697,094.10",95505
"09-Apr-2018","EQ","1,318.00","1,333.00","1,317.85","1,316.55","1,327.00","1,327.90","1,326.58","1,833.95","1,113.05",1118116,"1,483,267,408.15",69138
"06-Apr-2018","EQ","1,305.20","1,323.00","1,305.20","1,328.80","1,317.75","1,316.55","1,314.70","1,833.95","1,113.05",1492796,"1,962,575,550.30",52913
"05-Apr-2018","EQ","1,314.00","1,335.05","1,311.00","1,296.15","1,329.30","1,328.80","1,327.23","1,833.95","1,113.05",1758313,"2,333,684,286.95",56297
"04-Apr-2018","EQ","1,331.00","1,332.70","1,290.20","1,330.40","1,296.00","1,296.15","1,310.83","1,833.95","1,113.05",1285513,"1,685,087,845.55",60904
"03-Apr-2018","EQ","1,332.75","1,339.00","1,318.05","1,335.95","1,329.10","1,330.40","1,325.89","1,833.95","1,113.05",1123582,"1,489,743,284.20",50902
"02-Apr-2018","EQ","1,313.00","1,339.50","1,312.05","1,310.90","1,336.00","1,335.95","1,332.24","1,833.95","1,113.05",1302024,"1,734,606,116.40",45220
"28-Mar-2018","EQ","1,301.10","1,325.00","1,292.40","1,307.55","1,309.90","1,310.90","1,307.65","1,833.95","1,113.05",3989865,"5,217,365,841.00",79490
"27-Mar-2018","EQ","1,307.00","1,314.00","1,301.00","1,297.40","1,309.95","1,307.55","1,306.94","1,833.95","1,113.05",2003736,"2,618,761,666.35",52840
"26-Mar-2018","EQ","1,268.00","1,300.10","1,268.00","1,267.90","1,297.10","1,297.40","1,285.51","1,833.95","1,113.05",1697069,"2,181,599,734.05",82390
"23-Mar-2018","EQ","1,278.60","1,283.30","1,261.50","1,296.25","1,265.10","1,267.90","1,269.49","1,833.95","1,113.05",2280525,"2,895,104,773.90",88000
"22-Mar-2018","EQ","1,314.80","1,321.40","1,289.00","1,309.35","1,297.40","1,296.25","1,303.33","1,833.95","1,113.05",1834024,"2,390,340,677.60",59289
"21-Mar-2018","EQ","1,295.00","1,313.60","1,295.00","1,293.50","1,309.00","1,309.35","1,308.51","1,833.95","1,113.05",2835466,"3,710,249,025.30",90766
"20-Mar-2018","EQ","1,275.00","1,300.00","1,275.00","1,279.55","1,292.45","1,293.50","1,292.59","1,833.95","1,113.05",2831066,"3,659,402,737.25",92701
"19-Mar-2018","EQ","1,280.00","1,292.00","1,265.85","1,269.30","1,281.00","1,279.55","1,280.30","1,833.95","1,113.05",4452882,"5,701,031,883.00",93583
"16-Mar-2018","EQ","1,299.90","1,303.90","1,260.40","1,295.10","1,278.80","1,269.30","1,279.51","1,833.95","1,113.05",5152611,"6,592,804,053.60",95019
"15-Mar-2018","EQ","1,304.90","1,309.60","1,292.10","1,303.25","1,294.95","1,295.10","1,299.94","1,833.95","1,113.05",1178352,"1,531,787,281.75",43360
"14-Mar-2018","EQ","1,303.00","1,313.00","1,292.00","1,302.75","1,304.00","1,303.25","1,301.58","1,833.95","1,113.05",1714051,"2,230,978,249.80",51379
"13-Mar-2018","EQ","1,311.40","1,322.95","1,294.05","1,310.05","1,304.00","1,302.75","1,309.88","1,833.95","1,113.05",1915199,"2,508,682,253.30",78413
"12-Mar-2018","EQ","1,300.00","1,312.00","1,297.00","1,290.50","1,310.00","1,310.05","1,304.04","1,833.95","1,113.05",2267260,"2,956,603,335.05",65878
"09-Mar-2018","EQ","1,285.20","1,296.05","1,280.00","1,283.80","1,289.85","1,290.50","1,291.83","1,833.95","1,113.05",2508919,"3,241,105,759.10",91260
"08-Mar-2018","EQ","1,271.90","1,289.80","1,259.25","1,263.30","1,280.30","1,283.80","1,269.96","1,833.95","1,113.05",3588828,"4,557,680,620.05",99459
"07-Mar-2018","EQ","1,284.00","1,293.90","1,260.00","1,283.40","1,261.95","1,263.30","1,271.69","1,833.95","1,113.05",2156582,"2,742,503,626.40",75126
"06-Mar-2018","EQ","1,308.70","1,318.90","1,275.00","1,300.70","1,280.75","1,283.40","1,302.80","1,833.95","1,113.05",2381856,"3,103,087,991.75",70324
"05-Mar-2018","EQ","1,312.70","1,312.70","1,297.95","1,315.20","1,301.00","1,300.70","1,302.64","1,833.95","1,113.05",1302005,"1,696,044,973.00",47808
"01-Mar-2018","EQ","1,319.00","1,332.90","1,313.10","1,318.15","1,315.00","1,315.20","1,319.69","1,833.95","1,113.05",1927606,"2,543,832,888.05",78099
"28-Feb-2018","EQ","1,328.00","1,331.60","1,310.60","1,338.10","1,318.65","1,318.15","1,320.91","1,833.95","1,113.05",2439968,"3,222,984,367.60",93303
"27-Feb-2018","EQ","1,347.50","1,355.80","1,331.30","1,344.25","1,337.20","1,338.10","1,339.72","1,833.95","1,113.05",2243499,"3,005,659,185.45",101451
"26-Feb-2018","EQ","1,306.00","1,347.70","1,306.00","1,301.70","1,344.00","1,344.25","1,331.42","1,833.95","1,113.05",2239306,"2,981,467,443.35",76700
"23-Feb-2018","EQ","1,292.60","1,305.00","1,280.40","1,292.00","1,303.00","1,301.70","1,295.15","1,833.95","1,113.05",2176017,"2,818,264,003.40",67966
"22-Feb-2018","EQ","1,278.00","1,298.00","1,276.00","1,282.80","1,285.50","1,292.00","1,288.15","1,833.95","1,113.05",3028574,"3,901,248,513.20",71930
