"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2018","EQ","967.00","981.40","958.10","962.25","981.40","979.95","972.78","981.40","460.10",3452488,"3,358,527,901.40",45390
"10-Apr-2018","EQ","964.85","968.90","953.10","960.65","960.00","962.25","961.72","971.80","460.10",2434826,"2,341,626,248.50",52417
"09-Apr-2018","EQ","950.00","971.80","947.05","940.30","959.50","960.65","964.27","971.80","460.10",5116819,"4,933,973,527.60",88898
"06-Apr-2018","EQ","922.00","946.00","908.05","920.05","938.40","940.30","931.24","964.00","455.80",2819200,"2,625,351,090.55",46807
"05-Apr-2018","EQ","915.00","924.00","902.65","904.35","921.00","920.05","915.94","964.00","455.80",4148653,"3,799,918,124.40",65946
"04-Apr-2018","EQ","939.70","939.70","902.00","931.95","902.45","904.35","912.23","964.00","455.80",2930774,"2,673,528,288.75",68927
"03-Apr-2018","EQ","944.90","951.70","924.55","944.10","929.25","931.95","934.70","964.00","455.80",2454365,"2,294,091,914.75",49788
"02-Apr-2018","EQ","943.10","948.50","926.30","942.30","941.50","944.10","938.65","964.00","455.80",2764385,"2,594,789,683.30",58618
"28-Mar-2018","EQ","938.20","964.00","918.00","942.40","926.30","942.30","945.63","964.00","440.75",11431588,"10,810,045,621.35",108053
"27-Mar-2018","EQ","948.45","949.50","932.35","939.05","943.00","942.40","941.35","949.80","440.75",2756923,"2,595,238,454.85",72437
"26-Mar-2018","EQ","896.45","949.80","896.45","895.05","940.00","939.05","927.43","949.80","440.75",5918775,"5,489,247,721.85",103079
"23-Mar-2018","EQ","874.10","900.00","872.85","887.55","895.00","895.05","893.35","938.50","440.75",4132765,"3,692,024,484.15",87783
"22-Mar-2018","EQ","873.00","892.00","872.25","872.25","888.60","887.55","884.44","938.50","440.75",3186401,"2,818,165,928.45",89718
"21-Mar-2018","EQ","875.00","884.70","869.60","871.75","870.15","872.25","877.55","938.50","440.75",1859947,"1,632,199,510.15",54887
"20-Mar-2018","EQ","867.00","880.00","860.10","869.00","871.20","871.75","873.47","938.50","440.75",1985478,"1,734,245,732.75",42418
"19-Mar-2018","EQ","879.70","891.85","864.00","879.25","864.70","869.00","878.98","938.50","440.75",2536517,"2,229,548,391.80",65804
"16-Mar-2018","EQ","879.00","883.40","862.10","872.50","878.10","879.25","873.97","938.50","440.75",2538310,"2,218,408,791.80",56152
"15-Mar-2018","EQ","864.90","875.75","860.00","865.00","874.00","872.50","869.74","938.50","440.75",2486538,"2,162,638,967.50",60021
"14-Mar-2018","EQ","851.00","867.85","849.95","851.95","867.00","865.00","859.08","938.50","440.75",1889040,"1,622,830,162.15",37637
"13-Mar-2018","EQ","836.00","860.00","830.00","829.10","852.10","851.95","846.83","938.50","440.75",2754435,"2,332,542,030.75",65269
"12-Mar-2018","EQ","824.00","831.60","822.40","819.10","829.90","829.10","827.31","938.50","440.75",1033715,"855,206,755.25",27347
"09-Mar-2018","EQ","820.00","827.60","815.50","817.70","818.60","819.10","822.27","938.50","434.60",1061685,"872,995,061.50",31118
"08-Mar-2018","EQ","820.00","822.30","808.05","814.85","816.90","817.70","814.81","938.50","434.60",1109489,"904,018,901.80",39084
"07-Mar-2018","EQ","806.00","820.10","800.20","807.65","816.95","814.85","810.75","938.50","434.60",1826249,"1,480,627,438.25",41483
"06-Mar-2018","EQ","812.50","823.20","799.05","808.90","800.50","807.65","814.91","938.50","434.60",1358775,"1,107,273,272.00",42695
"05-Mar-2018","EQ","810.00","814.85","801.00","810.20","810.00","808.90","808.24","938.50","434.60",1262568,"1,020,453,045.90",56177
"01-Mar-2018","EQ","814.00","822.30","808.00","816.15","810.20","810.20","815.05","938.50","425.75",975986,"795,477,288.80",32719
"28-Feb-2018","EQ","819.80","825.90","810.40","822.60","816.15","816.15","818.52","938.50","425.75",1583674,"1,296,275,717.50",45413
"27-Feb-2018","EQ","825.00","835.70","819.25","819.70","822.40","822.60","828.94","938.50","425.75",2089446,"1,732,022,771.25",49963
"26-Feb-2018","EQ","819.95","823.35","805.00","814.20","823.00","819.70","814.57","938.50","425.75",2438241,"1,986,117,834.35",68229
"23-Feb-2018","EQ","822.20","823.60","810.25","817.50","814.65","814.20","815.68","938.50","425.75",2446637,"1,995,664,781.45",64735
"22-Feb-2018","EQ","825.00","836.00","814.05","822.90","816.95","817.50","825.68","938.50","425.75",3244314,"2,678,769,477.00",81461
"21-Feb-2018","EQ","837.95","841.50","818.75","832.25","822.95","822.90","829.51","938.50","425.75",2067029,"1,714,612,209.25",49102
"20-Feb-2018","EQ","803.95","837.90","797.65","803.95","832.50","832.25","825.28","938.50","425.75",3881439,"3,203,255,155.40",72467
"19-Feb-2018","EQ","805.00","809.00","790.00","803.20","801.80","803.95","798.56","938.50","425.75",1699508,"1,357,156,042.40",35264
"16-Feb-2018","EQ","820.00","826.90","798.65","814.85","803.20","803.20","813.97","938.50","408.55",1698333,"1,382,385,113.70",25906
"15-Feb-2018","EQ","822.70","823.30","800.00","813.70","817.00","814.85","815.28","938.50","408.55",2225089,"1,814,066,761.15",42374
"14-Feb-2018","EQ","814.00","825.90","809.10","809.05","810.00","813.70","819.83","938.50","408.55",2154852,"1,766,612,683.45",56150
"12-Feb-2018","EQ","803.00","812.80","796.55","796.80","808.00","809.05","806.38","938.50","408.55",2067452,"1,667,156,976.85",41891
"09-Feb-2018","EQ","790.10","804.00","783.05","800.75","796.05","796.80","796.06","938.50","383.15",1564899,"1,245,747,232.90",43947
"08-Feb-2018","EQ","785.10","808.90","780.80","783.65","800.80","800.75","795.94","938.50","383.15",2219546,"1,766,626,655.70",70462
"07-Feb-2018","EQ","785.00","801.00","780.00","782.65","784.00","783.65","791.39","938.50","383.15",2686877,"2,126,363,479.40",79600
"06-Feb-2018","EQ","765.00","788.40","752.70","802.30","781.45","782.65","770.10","938.50","383.15",3188895,"2,455,754,204.95",106398
"05-Feb-2018","EQ","810.00","816.75","795.20","822.20","806.00","802.30","806.28","938.50","383.15",3079541,"2,482,986,278.95",70102
"02-Feb-2018","EQ","810.00","849.75","784.15","831.00","825.00","822.20","818.10","938.50","359.00",8088986,"6,617,637,722.00",137993
"01-Feb-2018","EQ","877.50","879.10","812.75","869.55","827.00","831.00","837.98","938.50","359.00",6097492,"5,109,601,495.00",121411
"31-Jan-2018","EQ","883.00","884.95","859.40","884.15","867.65","869.55","872.90","938.50","359.00",1431670,"1,249,708,945.45",65955
"30-Jan-2018","EQ","899.25","911.60","878.35","896.20","881.50","884.15","898.87","938.50","359.00",2101888,"1,889,323,149.25",43925
"29-Jan-2018","EQ","887.40","901.50","880.50","884.10","896.20","896.20","893.86","938.50","359.00",1151570,"1,029,347,710.15",38193
"25-Jan-2018","EQ","882.00","905.30","876.75","886.90","887.20","884.10","890.74","938.50","356.90",3104669,"2,765,442,586.85",55452
"24-Jan-2018","EQ","905.70","909.25","881.00","905.70","883.00","886.90","892.01","938.50","356.90",1109233,"989,447,351.15",27024
"23-Jan-2018","EQ","910.70","914.70","898.30","909.75","905.00","905.70","906.63","938.50","356.90",1747166,"1,584,032,845.85",63888
"22-Jan-2018","EQ","890.00","912.00","887.10","891.45","910.00","909.75","904.59","938.50","356.90",1495629,"1,352,932,737.60",39313
"19-Jan-2018","EQ","879.10","897.55","879.10","885.85","893.50","891.45","887.44","938.50","356.90",1483177,"1,316,228,091.15",37487
"18-Jan-2018","EQ","897.75","903.60","875.00","893.10","884.70","885.85","893.84","938.50","356.90",1285534,"1,149,057,843.70",34051
"17-Jan-2018","EQ","892.80","895.55","862.50","889.40","895.00","893.10","885.24","938.50","356.90",2553841,"2,260,760,386.45",65828
"16-Jan-2018","EQ","927.00","927.50","882.60","918.25","893.00","889.40","907.52","938.50","356.90",2383484,"2,163,060,073.65",55920
"15-Jan-2018","EQ","909.00","921.90","897.70","903.80","918.75","918.25","911.98","938.50","356.90",2195562,"2,002,298,165.40",46395
"12-Jan-2018","EQ","906.00","917.40","892.45","906.90","901.95","903.80","906.66","938.50","351.60",1874518,"1,699,541,909.00",54136
"11-Jan-2018","EQ","916.90","917.70","903.30","917.60","905.40","906.90","911.05","938.50","351.60",1597329,"1,455,244,070.20",50180
"10-Jan-2018","EQ","932.50","935.40","911.90","932.95","915.00","917.60","924.34","938.50","351.60",1605433,"1,483,961,337.40",48586
"09-Jan-2018","EQ","925.00","938.50","917.25","926.10","932.00","932.95","930.73","938.50","351.60",2419079,"2,251,516,745.50",57878
"08-Jan-2018","EQ","911.00","930.00","906.75","909.70","924.70","926.10","920.35","930.00","351.60",2112170,"1,943,933,529.70",52466
"05-Jan-2018","EQ","895.00","913.95","893.50","892.90","909.00","909.70","906.89","913.95","325.50",4036882,"3,660,995,474.45",64752
"04-Jan-2018","EQ","864.40","897.45","853.10","856.30","894.55","892.90","879.34","897.45","325.50",3028931,"2,663,461,973.80",58681
"03-Jan-2018","EQ","863.90","869.40","853.00","845.15","854.90","856.30","860.41","872.00","325.50",2606556,"2,242,700,649.35",43601
"02-Jan-2018","EQ","854.10","858.45","840.60","852.45","846.75","845.15","848.54","872.00","325.50",1181949,"1,002,928,084.70",26802
"01-Jan-2018","EQ","857.70","862.05","851.05","858.15","853.80","852.45","856.81","872.00","325.50",472607,"404,934,218.15",12561
"29-Dec-2017","EQ","854.50","863.75","851.40","851.70","858.35","858.15","857.49","872.00","307.10",1245513,"1,068,012,114.25",38512
"28-Dec-2017","EQ","849.85","856.35","840.60","849.05","854.00","851.70","850.00","872.00","307.10",980277,"833,239,086.25",19716
"27-Dec-2017","EQ","856.40","860.20","842.00","854.80","843.30","849.05","854.42","872.00","307.10",735296,"628,247,945.50",22393
"26-Dec-2017","EQ","857.00","863.90","852.55","856.85","857.00","854.80","856.25","872.00","307.10",1467917,"1,256,903,994.40",28764
"22-Dec-2017","EQ","859.00","868.60","853.90","858.45","854.00","856.85","859.50","872.00","307.10",1381784,"1,187,639,890.10",34522
"21-Dec-2017","EQ","862.90","866.45","854.95","862.95","857.05","858.45","859.30","872.00","307.10",897152,"770,918,558.50",27055
"20-Dec-2017","EQ","869.35","872.00","861.30","868.35","863.95","862.95","865.09","872.00","307.10",1105619,"956,465,210.35",31233
"19-Dec-2017","EQ","845.00","871.00","843.10","840.10","871.00","868.35","859.89","871.00","307.10",3308280,"2,844,749,868.25",63205
"18-Dec-2017","EQ","830.00","846.35","802.00","832.85","837.50","840.10","837.91","846.35","307.10",1698653,"1,423,310,754.30",48268
"15-Dec-2017","EQ","826.25","836.00","818.50","816.25","831.55","832.85","829.45","844.25","307.10",2015120,"1,671,438,238.00",66107
"14-Dec-2017","EQ","820.00","828.00","805.10","818.95","817.05","816.25","813.64","844.25","307.10",3020320,"2,457,439,557.15",42933
