,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,09-Apr-2020,EQ,73.0,77.3,72.8,70.3,77.3,76.8,75.06,195.1,60.2,41602363,"3,122,603,213.30",146666
1,08-Apr-2020,EQ,65.95,73.4,65.0,66.75,70.4,70.3,69.91,195.1,60.2,49394737,"3,453,383,378.50",163600
2,07-Apr-2020,EQ,66.3,67.7,65.1,62.8,66.45,66.75,66.49,195.1,60.2,45746171,"3,041,665,821.90",124903
3,03-Apr-2020,EQ,64.0,64.45,62.2,62.65,62.8,62.8,62.81,195.1,60.2,24226287,"1,521,651,576.10",77561
4,01-Apr-2020,EQ,65.0,65.4,62.35,64.7,63.0,62.65,63.29,195.1,60.2,23338192,"1,477,124,032.80",92556
5,31-Mar-2020,EQ,63.45,67.0,62.6,61.55,64.9,64.7,65.2,195.1,60.2,44630391,"2,910,056,510.60",142087
6,30-Mar-2020,EQ,61.8,62.9,60.2,63.75,61.9,61.55,61.81,195.1,60.2,17613254,"1,088,610,444.45",79720
7,27-Mar-2020,EQ,68.55,68.85,63.0,65.8,63.8,63.75,65.27,195.1,61.65,26206043,"1,710,452,543.75",99533
8,26-Mar-2020,EQ,65.6,69.2,63.5,64.2,65.85,65.8,66.72,195.1,61.65,29684035,"1,980,594,054.40",114668
9,25-Mar-2020,EQ,62.7,65.0,62.35,62.8,64.2,64.2,63.92,195.1,61.65,29906847,"1,911,508,969.20",86458
10,24-Mar-2020,EQ,67.5,68.45,62.35,62.65,63.5,62.8,64.5,195.1,61.65,30625806,"1,975,267,873.75",115223
11,23-Mar-2020,EQ,67.95,71.3,61.65,75.45,63.0,62.65,65.27,195.1,61.65,22554580,"1,472,079,953.95",121239
12,20-Mar-2020,EQ,72.4,78.0,70.4,69.35,76.0,75.45,72.78,195.1,67.8,29770505,"2,166,576,538.45",135347
13,19-Mar-2020,EQ,69.45,73.65,67.8,72.95,69.7,69.35,70.76,195.1,67.8,31319910,"2,216,096,658.45",120150
14,18-Mar-2020,EQ,78.0,78.65,72.1,75.0,73.6,72.95,75.48,195.1,68.9,30564821,"2,306,942,217.70",120299
15,17-Mar-2020,EQ,76.55,80.45,74.4,74.85,75.05,75.0,77.58,195.1,68.9,32830615,"2,546,968,314.30",116885
16,16-Mar-2020,EQ,78.0,80.7,74.25,84.05,74.9,74.85,77.28,195.1,68.9,33777113,"2,610,199,594.25",149270
17,13-Mar-2020,EQ,73.15,86.6,68.9,79.85,85.2,84.05,79.23,195.1,68.9,45056264,"3,569,607,059.65",179642
18,12-Mar-2020,EQ,84.75,85.5,78.25,92.0,80.4,79.85,82.04,195.1,78.25,38860033,"3,187,905,925.25",149165
19,11-Mar-2020,EQ,92.0,95.5,91.25,94.9,91.35,92.0,93.34,195.1,91.25,33275612,"3,105,866,700.60",119713
20,09-Mar-2020,EQ,104.0,105.45,93.4,111.05,94.1,94.9,98.17,195.1,93.4,38812756,"3,810,440,944.70",168779
21,06-Mar-2020,EQ,111.7,113.4,108.1,117.1,111.2,111.05,111.58,195.1,108.1,16482554,"1,839,043,310.30",64906
22,05-Mar-2020,EQ,118.5,122.2,116.0,119.35,117.05,117.1,117.98,195.1,109.0,26357440,"3,109,739,343.30",83865
23,04-Mar-2020,EQ,119.0,120.0,115.1,119.55,119.3,119.35,117.44,195.1,109.0,38623129,"4,535,999,186.75",128090
24,03-Mar-2020,EQ,114.25,121.0,113.65,110.95,120.2,119.55,117.27,195.1,109.0,36975433,"4,336,032,298.35",140421
25,02-Mar-2020,EQ,117.55,119.4,109.0,114.0,111.15,110.95,115.82,195.1,109.0,32732879,"3,791,120,233.20",114317
26,28-Feb-2020,EQ,126.0,126.0,112.1,130.55,112.85,114.0,117.72,195.1,112.1,57363091,"6,753,049,202.15",196760
27,27-Feb-2020,EQ,130.0,131.4,126.4,130.25,130.2,130.55,128.99,195.1,125.3,15600307,"2,012,292,139.70",72698
28,26-Feb-2020,EQ,131.0,133.7,129.35,132.7,130.15,130.25,131.69,195.1,125.3,14605029,"1,923,378,358.55",64565
29,25-Feb-2020,EQ,134.4,135.9,132.05,133.2,133.2,132.7,133.64,195.1,125.3,14590593,"1,949,844,497.45",74110
30,24-Feb-2020,EQ,139.85,139.95,132.3,142.35,133.15,133.2,135.85,195.1,125.3,22666897,"3,079,294,506.95",108574
31,20-Feb-2020,EQ,141.8,144.75,140.8,142.65,142.6,142.35,143.0,195.1,125.3,11236035,"1,606,806,801.15",42130
32,19-Feb-2020,EQ,142.0,144.2,141.6,140.55,142.45,142.65,142.87,195.1,125.3,8824394,"1,260,730,353.65",37962
33,18-Feb-2020,EQ,141.75,141.75,137.5,142.1,140.7,140.55,139.25,195.1,125.3,13205238,"1,838,892,593.45",67595
34,17-Feb-2020,EQ,141.3,143.8,140.8,141.1,142.3,142.1,142.45,195.1,125.3,8475514,"1,207,365,318.65",41891
35,14-Feb-2020,EQ,142.7,143.9,140.75,142.5,141.0,141.1,142.35,195.1,125.3,6336170,"901,930,278.25",30921
36,13-Feb-2020,EQ,142.35,143.35,140.3,141.55,142.5,142.5,141.96,195.1,125.3,6820884,"968,314,543.30",33228
37,12-Feb-2020,EQ,142.0,143.9,141.15,140.75,142.0,141.55,142.34,195.1,125.3,9280214,"1,320,906,854.90",46946
38,11-Feb-2020,EQ,141.65,143.6,140.2,140.3,140.95,140.75,142.13,195.1,125.3,9087616,"1,291,646,110.30",38229
39,10-Feb-2020,EQ,143.7,143.7,139.55,144.6,140.6,140.3,140.63,195.1,125.3,10029897,"1,410,472,436.90",45696
40,07-Feb-2020,EQ,143.85,145.3,141.75,143.85,144.25,144.6,144.29,195.1,125.3,9671106,"1,395,400,229.50",35383
41,06-Feb-2020,EQ,144.85,146.8,142.7,143.1,143.7,143.85,144.79,195.1,125.3,15736536,"2,278,467,446.60",69080
42,05-Feb-2020,EQ,139.3,143.9,137.6,138.55,143.7,143.1,140.52,195.1,125.3,17304767,"2,431,610,605.35",72721
43,04-Feb-2020,EQ,135.9,138.9,134.8,134.15,138.4,138.55,137.37,195.1,125.3,11370911,"1,562,055,904.95",54605
44,03-Feb-2020,EQ,134.35,136.8,132.85,134.9,134.5,134.15,134.48,195.1,125.3,13658383,"1,836,844,457.75",66261
45,01-Feb-2020,EQ,138.75,139.0,133.5,137.9,134.35,134.9,136.58,198.25,125.3,15204251,"2,076,607,339.30",74198
46,31-Jan-2020,EQ,140.85,141.7,137.5,140.95,137.7,137.9,139.23,198.25,125.3,13980768,"1,946,541,079.25",58677
47,30-Jan-2020,EQ,142.15,143.4,139.8,142.2,140.6,140.95,141.47,198.25,125.3,15625276,"2,210,430,693.35",71238
48,29-Jan-2020,EQ,144.45,145.4,141.9,142.2,142.15,142.2,143.77,198.25,125.3,12603444,"1,812,022,096.25",65583
49,28-Jan-2020,EQ,147.75,147.75,141.55,148.85,142.1,142.2,144.1,198.25,125.3,22438597,"3,233,373,535.10",122737
50,27-Jan-2020,EQ,153.4,153.4,148.1,155.9,148.35,148.85,150.55,198.25,125.3,13357039,"2,010,932,468.90",76627
51,24-Jan-2020,EQ,155.0,157.1,153.75,154.15,155.8,155.9,155.88,200.5,125.3,8012015,"1,248,928,217.00",41537
52,23-Jan-2020,EQ,153.6,155.4,152.35,153.2,154.1,154.15,154.03,200.5,125.3,12087029,"1,861,789,115.65",63288
53,22-Jan-2020,EQ,155.85,158.25,152.8,153.9,153.55,153.2,155.56,200.5,125.3,15503961,"2,411,785,857.45",81461
54,21-Jan-2020,EQ,157.0,158.4,153.55,156.9,154.05,153.9,155.5,200.5,125.3,10481008,"1,629,827,043.90",46124
55,20-Jan-2020,EQ,159.35,159.9,156.2,159.5,157.15,156.9,157.29,200.5,125.3,7944434,"1,249,585,135.30",36352
56,17-Jan-2020,EQ,162.7,162.7,159.0,162.25,159.35,159.5,160.67,202.25,125.3,9518702,"1,529,351,413.15",42760
57,16-Jan-2020,EQ,162.9,163.7,160.4,164.65,162.5,162.25,161.85,202.25,125.3,11990967,"1,940,744,383.25",49793
58,15-Jan-2020,EQ,165.0,165.45,161.8,165.0,164.15,164.65,163.98,202.25,125.3,11633598,"1,907,648,420.85",52909
59,14-Jan-2020,EQ,161.4,166.1,161.0,160.45,165.05,165.0,164.45,202.25,125.3,19728091,"3,244,299,579.80",92637
60,13-Jan-2020,EQ,160.5,161.45,158.25,159.95,160.35,160.45,160.16,202.25,125.3,9331492,"1,494,542,943.15",41829
61,10-Jan-2020,EQ,159.5,163.3,157.6,158.15,159.65,159.95,161.07,202.25,125.3,20995863,"3,381,906,400.95",92376
62,09-Jan-2020,EQ,159.4,160.2,157.4,157.35,158.05,158.15,158.58,202.25,125.3,11725302,"1,859,352,842.45",54557
63,08-Jan-2020,EQ,153.25,158.2,152.45,156.0,156.9,157.35,155.89,202.25,125.3,18095375,"2,820,917,865.15",66403
64,07-Jan-2020,EQ,152.8,156.8,152.55,150.55,156.05,156.0,155.33,202.25,125.3,24417974,"3,792,743,643.60",104963
65,06-Jan-2020,EQ,156.9,157.7,150.05,157.75,150.7,150.55,153.36,202.25,125.3,11218355,"1,720,393,788.55",53420
66,03-Jan-2020,EQ,158.4,160.9,156.7,159.45,157.4,157.75,158.62,203.6,125.3,12108687,"1,920,629,426.70",52394
67,02-Jan-2020,EQ,155.3,159.85,155.3,154.6,159.45,159.45,157.86,203.6,125.3,17137897,"2,705,420,610.10",88006
68,01-Jan-2020,EQ,152.8,155.15,151.45,152.45,154.8,154.6,153.58,203.6,125.3,14266524,"2,191,104,949.15",67844
69,31-Dec-2019,EQ,154.0,155.5,152.0,154.5,152.25,152.45,153.68,203.6,125.3,13026542,"2,001,866,150.35",47442
70,30-Dec-2019,EQ,152.05,154.9,150.15,151.75,154.0,154.5,152.62,203.6,125.3,12606419,"1,923,951,690.00",46972
71,27-Dec-2019,EQ,151.45,152.9,150.05,150.7,152.0,151.75,151.53,203.6,125.3,12636170,"1,914,731,440.65",52858
72,26-Dec-2019,EQ,148.3,152.5,147.55,148.05,150.9,150.7,150.73,203.6,125.3,19969941,"3,009,975,731.40",82958
73,24-Dec-2019,EQ,148.35,149.4,147.2,147.75,147.8,148.05,148.39,203.6,125.3,10766485,"1,597,662,126.40",52426
74,23-Dec-2019,EQ,145.0,148.0,145.0,144.25,147.75,147.75,147.06,203.6,125.3,15357549,"2,258,468,093.15",74386
